t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,2020-W01,0,ACC_Accounts_Payable,1,ACC_Inventory,7765.85,0.0
0,2020-W01,1,ACC_Inventory,4,ACC_COGS,6520.5,0.0
0,2020-W01,2,ACC_Cash,3,ACC_Travel_Exp,1184.37,0.0
0,2020-W01,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,11688.16,0.0
1,2020-W02,0,ACC_Accounts_Payable,1,ACC_Inventory,6942.29,0.0
1,2020-W02,1,ACC_Inventory,4,ACC_COGS,10504.63,0.0
1,2020-W02,2,ACC_Cash,3,ACC_Travel_Exp,1355.92,0.0
1,2020-W02,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,18504.48,0.0
2,2020-W03,0,ACC_Accounts_Payable,1,ACC_Inventory,9003.53,4.0057
2,2020-W03,1,ACC_Inventory,4,ACC_COGS,13741.45,2.6249
2,2020-W03,2,ACC_Cash,3,ACC_Travel_Exp,1688.45,4.8768
2,2020-W03,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,23979.2,2.6064
3,2020-W04,0,ACC_Accounts_Payable,1,ACC_Inventory,7197.72,0.8336
3,2020-W04,1,ACC_Inventory,4,ACC_COGS,13244.04,1.012
3,2020-W04,2,ACC_Cash,3,ACC_Travel_Exp,1100.35,1.4777
3,2020-W04,2,ACC_Cash,7,ACC_Payroll_Exp,18973.66,0.0
3,2020-W04,2,ACC_Cash,8,ACC_Rent_Exp,6683.35,0.0
3,2020-W04,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,24510.13,1.2834
4,2020-W05,0,ACC_Accounts_Payable,1,ACC_Inventory,6392.52,1.6794
4,2020-W05,1,ACC_Inventory,4,ACC_COGS,14218.66,1.122
4,2020-W05,2,ACC_Cash,3,ACC_Travel_Exp,852.36,2.1299
4,2020-W05,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,25700.15,1.1655
4,2020-W05,6,ACC_Accounts_Receivable,2,ACC_Cash,756.96,0.0
5,2020-W06,0,ACC_Accounts_Payable,1,ACC_Inventory,7142.84,0.3572
5,2020-W06,1,ACC_Inventory,4,ACC_COGS,15120.77,1.2115
5,2020-W06,2,ACC_Cash,0,ACC_Accounts_Payable,7765.85,0.0
5,2020-W06,2,ACC_Cash,3,ACC_Travel_Exp,3366.67,7.6542
5,2020-W06,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,27839.6,1.3344
5,2020-W06,6,ACC_Accounts_Receivable,2,ACC_Cash,3448.05,10.8878
6,2020-W07,0,ACC_Accounts_Payable,1,ACC_Inventory,6132.73,1.5542
6,2020-W07,1,ACC_Inventory,4,ACC_COGS,16506.82,1.4658
6,2020-W07,2,ACC_Cash,3,ACC_Travel_Exp,1686.46,0.1141
6,2020-W07,5,ACC_Sales_Revenue,6,ACC_Accounts_Receivable,29035.09,1.2901
