t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0.0,0
1,2020-W02,0.0,0.0,0.0,0.0,0
2,2020-W03,0.0,0.0,0.7072,1.6121,0
3,2020-W04,0.0,-0.2693,0.5775,1.1069,0
4,2020-W05,0.0,0.3816,0.8662,2.6245,0
5,2020-W06,0.0,0.2968,0.9536,1.7369,0
6,2020-W07,0.0,2.8278,0.9515,8.9761,1
7,2020-W08,0.0,1.4048,0.8319,9.7742,1
8,2020-W09,0.0,4.0935,0.7057,10.7261,1
9,2020-W10,0.0,2.8053,0.7925,13.2438,1
10,2020-W11,0.0,2.1069,0.7884,4.7598,1
11,2020-W12,0.0,2.165,0.7428,4.7128,1
12,2020-W13,0.0,1.9044,0.5172,10.6934,1
13,2020-W14,0.0,1.3777,1.5181,4.8863,1
14,2020-W15,0.0,1.1812,3.5601,7.9734,1
15,2020-W16,0.0,1.6215,0.5581,10.7904,1
16,2020-W17,0.0,2.6908,1.5638,7.8237,1
17,2020-W18,0.0,1.288,1.6216,12.9715,1
18,2020-W19,0.0,1.7134,1.4688,4.9709,1
19,2020-W20,341.1,0.6798,1.4227,3.3124,1
20,2020-W21,0.0,1.7528,1.4205,8.2027,1
21,2020-W22,0.0,1.1313,1.3417,10.3044,1
22,2020-W23,0.0,1.4951,1.4157,5.1252,1
23,2020-W24,0.0,1.0658,1.3434,12.9827,1
24,2020-W25,0.0,0.8696,1.961,6.1891,1
25,2020-W26,0.0,2.2805,1.5498,6.7025,1
26,2020-W27,0.0,1.3808,1.2879,32.2282,1
27,2020-W28,0.0,0.9045,1.6792,4.9564,1
28,2020-W29,0.0,1.399,1.5318,3.4259,1
29,2020-W30,0.0,1.3132,2.355,28.548,1
30,2020-W31,0.0,0.7437,1.1298,4.5249,1
31,2020-W32,0.0,1.3527,1.2017,4.2754,1
32,2020-W33,865.77,0.9597,1.322,12.4254,1
33,2020-W34,0.0,1.3519,1.7619,22.6397,1
34,2020-W35,749.27,1.5379,1.2472,216.1487,1
35,2020-W36,0.0,0.6745,0.9232,14.6977,1
36,2020-W37,0.0,1.0409,1.1446,13.6821,1
37,2020-W38,0.0,0.0103,1.9207,7.9069,1
38,2020-W39,0.0,1.8276,1.3492,20.8775,1
39,2020-W40,0.0,0.9399,2.3935,11.5812,1
40,2020-W41,0.0,1.76,1.5107,6.592,1
41,2020-W42,1038.49,0.7052,1.3985,12.4317,1
42,2020-W43,0.0,2.6104,1.5582,9.7401,1
43,2020-W44,0.0,1.759,1.3451,4.2484,1
44,2020-W45,645.5,1.747,1.528,6.0894,1
45,2020-W46,0.0,0.7798,0.6811,7.5879,1
46,2020-W47,0.0,0.856,0.9461,3.5283,1
47,2020-W48,142.04,1.045,1.3965,10.1104,1
48,2020-W49,658.28,0.9594,2.0007,5.2836,1
49,2020-W50,0.0,0.7383,0.7249,5.8118,1
50,2020-W51,0.0,1.6631,1.2098,3.8892,1
51,2020-W52,0.0,2.8911,1.4226,297.0162,1
