t_idx,time_label,node_idx,node_label,account_category,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-01,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,49.99,0.0,0
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,10.0,0.0,0,29.0242,4.9344,7
0,2020-01,2,02_ACC_COGS,Expense,10.0,0.0,0,22.2746,3.7869,4
0,2020-01,3,03_ACC_Cash,Asset,18.5,5.0654,5,49.99,0.0,0
0,2020-01,4,04_ACC_Inventory,Asset,18.5,8.5,2,29.0242,4.9344,0
0,2020-01,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,39.784,4.0308,3
0,2020-01,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,48.4479,1.7291,3
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,18.5,8.5,1,49.99,0.0,0
0,2020-01,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,48.6649,1.6064,3
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,49.99,0.0,0
0,2020-01,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,49.99,0.0,0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,44.7627,2.0501,3
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,28.7162,8.4427,3,29.0242,4.9344,7
1,2020-02,2,02_ACC_COGS,Expense,10.0,0.0,0,21.6856,3.6867,4
1,2020-02,3,03_ACC_Cash,Asset,22.1006,3.5864,5,22.4418,3.7896,1
1,2020-02,4,04_ACC_Inventory,Asset,18.5,8.5,2,27.6688,4.704,0
1,2020-02,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,38.858,2.7874,3
1,2020-02,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,48.78,1.0297,3
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,34.4088,8.5,1,49.99,0.0,0
1,2020-02,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,47.3927,1.4869,3
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,49.9872,0.0573,1
1,2020-02,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,49.99,0.0,0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,118.2857,1
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,32.5315,8.4628,3,0.0,-10.7975,4
2,2020-03,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,-87.3643,1
2,2020-03,3,03_ACC_Cash,Asset,26.5803,5.1385,0,0.0,34.248,1
2,2020-03,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-20.2988,1
2,2020-03,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,107.8481,1
2,2020-03,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0004,-1325.5337,1
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,37.6518,8.5,1,0.0,-17.8124,1
2,2020-03,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,197.4346,1
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0071,5406.3086,1
2,2020-03,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,-9.5971,1
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,31.3523,8.5,3,0.0,-12.4747,0
3,2020-04,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,18.5129,0
3,2020-04,3,03_ACC_Cash,Asset,25.1204,4.2101,0,0.0,-13.2326,0
3,2020-04,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,16.0504,0
3,2020-04,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-28.7572,0
3,2020-04,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0013,-973.9453,0
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,36.6495,8.5,1,0.0,-22.3051,0
3,2020-04,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,-71.014,0
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0018,1098.7968,0
3,2020-04,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,-11.7636,1
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,33.4619,8.5,3,0.0,-9.2946,0
4,2020-05,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,21.6959,0
4,2020-05,3,03_ACC_Cash,Asset,27.6023,5.7884,0,0.0,-12.2737,0
4,2020-05,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,16.8996,0
4,2020-05,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-34.8445,0
4,2020-05,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0013,698.6406,0
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,38.4426,8.5,1,0.0,-11.4777,3
4,2020-05,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0,-82.3732,0
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0021,936.0893,0
4,2020-05,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0001,-33.4478,4
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,33.1169,8.5,3,0.0,-13.5289,4
5,2020-06,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,10.033,4
5,2020-06,3,03_ACC_Cash,Asset,27.1963,5.5303,0,0.0,-13.9256,4
5,2020-06,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-8.5948,7
5,2020-06,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-14.2117,4
5,2020-06,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0001,49.2804,4
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,38.1494,8.5,1,0.0,-13.7082,4
5,2020-06,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0001,-34.7826,4
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0067,338.6572,4
5,2020-06,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0,-14.569,5
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,32.4412,8.5,3,0.0,-13.7014,5
6,2020-07,2,02_ACC_COGS,Expense,10.0,0.0,0,0.0,-15.7925,5
6,2020-07,3,03_ACC_Cash,Asset,26.4014,5.0247,0,0.0,-9.7955,5
6,2020-07,4,04_ACC_Inventory,Asset,18.5,8.5,2,0.0,-11.9945,5
6,2020-07,5,05_ACC_Payroll_Exp,Expense,10.0,0.0,0,0.0,-4.3367,3
6,2020-07,6,06_ACC_Rent_Exp,Expense,10.0,0.0,0,0.0008,-63.8643,5
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,37.575,8.5,1,0.0,-9.7516,4
6,2020-07,8,08_ACC_Travel_Exp,Expense,10.0,0.0,0,0.0006,55.8028,5
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,10.0,0.0,0,0.0066,-186.354,5
6,2020-07,10,10_ACC_Equity_Capital,Equity,10.0,0.0,0,0.0,0.0,0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,25.725,8.5,4,0.0025,-21.1,2
