t_idx,src_idx,tgt_idx,value
0,0,1,11648.77
0,2,3,524.46
0,1,4,5960.27
0,5,6,11688.16
1,0,1,10413.43
1,2,3,2249.34
1,1,4,10227.22
1,5,6,18504.48
2,0,1,13505.3
2,2,3,534.33
2,1,4,12639.35
2,5,6,23979.2
3,0,1,10796.58
3,2,7,18973.66
3,2,8,6683.35
3,2,3,1063.23
3,1,4,12380.59
3,5,6,24510.13
4,0,1,9588.78
4,6,2,32780.59
4,2,6,32117.559999999998
4,2,3,2874.85
4,1,4,15038.43
4,5,6,57715.1
5,0,1,12723.71
5,6,2,3057.26
5,2,0,11648.77
5,2,3,422.94
5,1,4,15013.36
5,5,6,27770.91
6,0,1,9580.93
6,6,2,3990.0
6,2,3,2635.87
6,1,4,17692.63
6,5,6,31195.69
7,0,1,7138.1
7,6,2,5896.79
7,2,0,13505.3
7,2,3,545.35
7,1,4,15702.28
7,5,6,27766.29
8,0,1,14329.29
8,6,2,9768.44
8,6,9,742.6299999999999
8,2,7,18555.83
8,2,8,6052.11
8,2,3,4804.96
8,1,4,14781.619999999999
8,5,6,27331.23
9,0,1,11546.51
9,6,2,12275.78
9,2,3,1838.14
9,1,4,16565.09
9,5,6,29389.02
10,0,1,13050.36
10,6,2,20794.64
10,2,0,23137.14
10,2,3,1048.28
10,1,4,11788.59
10,5,6,21855.36
11,0,1,12249.13
11,6,2,14728.64
11,2,0,10796.58
11,2,3,100.18
11,1,4,13424.94
11,5,6,24360.66
12,0,1,11329.97
12,6,2,15066.24
12,2,7,16098.51
12,2,8,3279.09
12,2,3,1693.82
12,1,4,10379.91
12,5,6,19298.47
13,0,1,11928.31
13,6,2,24717.8
13,2,0,14329.29
13,1,4,10224.13
13,5,6,17460.97
14,0,1,11061.01
14,6,2,22066.95
14,2,3,922.85
14,1,4,7176.64
14,5,6,12710.78
15,0,1,11539.93
15,6,2,38565.770000000004
15,6,9,253.42
15,2,3,1674.22
15,1,4,7017.28
15,5,6,12931.99
16,0,1,14370.2
16,6,2,32798.35
16,2,0,21135.29
16,2,7,18794.63
16,2,8,4699.85
16,2,3,2251.32
16,1,4,6777.49
16,5,6,11492.55
17,0,1,12430.41
17,6,2,28060.94
17,2,0,9580.93
17,2,3,2085.83
17,1,4,5641.07
17,5,6,9720.99
18,0,1,11358.89
18,6,2,14996.17
18,2,0,11928.31
18,2,3,1743.2499999999998
18,1,4,5328.16
18,5,6,9534.33
19,0,1,12070.37
19,6,2,25271.17
19,2,3,2148.13
19,1,4,6320.65
19,5,6,11301.310000000001
20,0,1,8518.89
20,6,2,16197.74
20,2,0,43767.56
20,2,3,1928.4
20,1,4,5685.83
20,5,6,9535.71
21,0,1,10826.18
21,6,2,13058.949999999999
21,2,0,12430.41
21,2,7,15347.8
21,2,8,4041.07
21,2,3,2958.9
21,1,4,5552.13
21,5,6,9639.73
22,0,1,10841.0
22,6,2,23442.34
22,6,9,597.87
22,2,0,22600.940000000002
22,2,3,250.52
22,1,4,6012.08
22,5,6,10694.46
23,0,1,10137.75
23,6,2,18077.89
23,2,3,942.15
23,1,4,6642.93
23,5,6,12578.27
24,0,1,12790.41
