t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-W01,93251.36,0.0,0.0,-11688.16,6484.73,0.0,93251.36
1,2020-W02,151087.18,0.0,31167.25,-18504.48,12476.56,0.0,151087.18
2,2020-W03,226056.18,0.0,56798.9386,-23979.2,13173.68,0.0,226056.18
3,2020-W04,296669.6,1.0359,102003.1755,-24510.13,39100.83,0.0,191005.5577
4,2020-W05,431277.36,0.4097,151864.9924,-57715.1,17913.28,0.0,369053.3901
5,2020-W06,500324.2,0.219,183441.1383,-27770.91,15436.3,0.0,460141.7477
6,2020-W07,579169.18,0.0,212912.9193,-31195.69,20328.5,0.0,579169.18
7,2020-W08,654791.28,0.2368,238083.8629,-27766.29,16247.63,0.0,598407.3512
8,2020-W09,778305.9,1.684,267845.435,-27331.23,44194.52,0.0,327265.8554
9,2020-W10,849338.84,0.0,292613.6085,-29389.02,18403.23,0.0,849338.84
10,2020-W11,877134.02,0.2574,309390.0931,-21855.36,12836.87,0.0,797491.6707
11,2020-W12,923448.3,0.0754,323656.4679,-24360.66,13525.12,0.0,899045.1699
12,2020-W13,994815.42,1.0067,338790.8551,-19298.47,31451.33,0.0,653745.7605
13,2020-W14,1000750.02,0.0,320919.0873,-17460.97,10224.13,0.0,1000750.02
14,2020-W15,1006805.48,0.0,294638.5033,-12710.78,8099.49,0.0,1006805.48
15,2020-W16,1046704.02,0.0568,267694.0785,-12931.99,8691.5,0.0,1031505.3278
16,2020-W17,1050995.36,1.5898,241238.8689,-11492.55,32523.29,0.0,667467.1382
17,2020-W18,1076136.3,0.6774,230061.0692,-9720.99,7726.9,0.0,920290.712
18,2020-W19,1094066.12,0.5506,220501.896,-9534.33,7071.41,0.0,972664.9566
19,2020-W20,1140809.48,0.0,220642.9418,-11301.31,8468.78,0.0,1140809.48
20,2020-W21,1089383.56,0.2523,212479.824,-9535.71,7614.23,0.0,1035776.4415
21,2020-W22,1105454.56,1.7146,208457.8448,-9639.73,27899.9,0.0,748028.6756
22,2020-W23,1103323.6,0.2551,206739.1293,-10694.46,6262.6,0.0,1050588.0355
23,2020-W24,1148755.64,0.0,201065.0214,-12578.27,7585.08,0.0,1148755.64
24,2020-W25,1205702.06,0.0,193006.4804,-15682.8,9045.96,0.0,1205702.06
25,2020-W26,1240778.64,1.4828,186349.5082,-17425.65,36342.54,0.0,964452.4419
26,2020-W27,1283738.5,0.8073,177922.9203,-19620.4,13739.66,0.0,1140102.3252
27,2020-W28,1351043.94,0.0,170084.39,-22283.0,13893.16,0.0,1351043.94
28,2020-W29,1361784.04,0.3756,174088.4505,-27183.66,19929.08,0.0,1296394.8985
29,2020-W30,1477165.34,1.5419,193952.162,-29246.79,42150.41,0.0,1178114.6784
30,2020-W31,1530819.88,0.0,210004.9171,-24504.17,15838.4,0.0,1530819.88
31,2020-W32,1581802.98,0.0,223810.6589,-26321.46,15892.03,0.0,1581802.98
32,2020-W33,1643116.9,0.3387,233036.6757,-30659.71,17869.22,0.0,1564179.0806
33,2020-W34,1689156.24,0.2684,245124.1998,-26788.08,14878.3,0.0,1623361.6265
34,2020-W35,1786608.7,1.6701,262858.5064,-29297.11,44086.21,0.0,1347616.3852
35,2020-W36,1824052.98,0.34,273408.9693,-25527.36,16178.0,0.0,1731100.8841
36,2020-W37,1855257.14,0.1279,275423.2419,-25725.51,14161.01,0.0,1820020.5381
37,2020-W38,1926191.18,0.2721,272608.7814,-36781.85,12010.25,0.0,1852020.57
38,2020-W39,1975652.58,1.6215,270039.9738,-19312.55,36001.33,0.0,1537782.8096
39,2020-W40,1975264.7,0.4667,258934.7017,-16428.55,10575.87,0.0,1854414.7566
40,2020-W41,1980319.04,0.4675,240148.4998,-13823.07,10389.44,0.0,1868049.943
41,2020-W42,1996745.46,0.0,224640.1937,-10721.22,6020.12,0.0,1996745.46
42,2020-W43,2036369.34,1.0218,214595.9137,-8872.08,29152.24,0.0,1817103.1756
43,2020-W44,2080005.08,0.0565,210257.5679,-8523.22,4645.92,0.0,2068115.7249
44,2020-W45,2076367.1,0.2927,207359.2079,-7253.4,5127.93,0.0,2015672.8899
45,2020-W46,2120059.44,0.1227,208502.7493,-9711.11,7760.86,0.0,2094485.9252
46,2020-W47,2165511.88,0.0,209258.7004,-10304.45,7191.15,0.0,2165511.88
47,2020-W48,2182264.42,1.712,209068.7586,-9449.37,30458.56,0.0,1824346.5202
48,2020-W49,2156237.28,0.1086,200278.4618,-12658.68,7710.38,0.0,2134481.8813
49,2020-W50,2210230.36,0.0,193583.2506,-13201.59,7922.09,0.0,2210230.36
50,2020-W51,2249816.56,0.2834,188356.0638,-18165.42,9930.95,0.0,2196441.3509
51,2020-W52,2251014.26,1.4146,183915.7465,-11437.51,29313.19,0.0,1990854.484
