src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,ACC_Accounts_Payable,0,ACC_Accounts_Payable,0,1.0
0,ACC_Accounts_Payable,1,ACC_Inventory,3,0.2026
0,ACC_Accounts_Payable,2,ACC_Cash,2,0.2956
0,ACC_Accounts_Payable,3,ACC_Travel_Exp,6,0.2064
0,ACC_Accounts_Payable,4,ACC_COGS,12,0.2174
0,ACC_Accounts_Payable,5,ACC_Sales_Revenue,3,0.188
0,ACC_Accounts_Payable,6,ACC_Accounts_Receivable,11,0.17
0,ACC_Accounts_Payable,7,ACC_Payroll_Exp,9,0.2541
0,ACC_Accounts_Payable,8,ACC_Rent_Exp,9,0.2802
0,ACC_Accounts_Payable,9,UNKNOWN_LEAK,1,0.1766
1,ACC_Inventory,0,ACC_Accounts_Payable,4,0.1562
1,ACC_Inventory,1,ACC_Inventory,0,1.0
1,ACC_Inventory,2,ACC_Cash,0,0.2467
1,ACC_Inventory,3,ACC_Travel_Exp,4,0.0859
1,ACC_Inventory,4,ACC_COGS,12,0.8451
1,ACC_Inventory,5,ACC_Sales_Revenue,0,0.8608
1,ACC_Inventory,6,ACC_Accounts_Receivable,11,0.8641
1,ACC_Inventory,7,ACC_Payroll_Exp,11,0.13
1,ACC_Inventory,8,ACC_Rent_Exp,8,0.1754
1,ACC_Inventory,9,UNKNOWN_LEAK,0,0.064
2,ACC_Cash,0,ACC_Accounts_Payable,11,0.3385
2,ACC_Cash,1,ACC_Inventory,4,0.4291
2,ACC_Cash,2,ACC_Cash,0,1.0
2,ACC_Cash,3,ACC_Travel_Exp,4,0.1472
2,ACC_Cash,4,ACC_COGS,12,0.1231
2,ACC_Cash,5,ACC_Sales_Revenue,3,0.4153
2,ACC_Cash,6,ACC_Accounts_Receivable,12,0.2668
2,ACC_Cash,7,ACC_Payroll_Exp,2,0.3198
2,ACC_Cash,8,ACC_Rent_Exp,2,0.3076
2,ACC_Cash,9,UNKNOWN_LEAK,9,0.1809
3,ACC_Travel_Exp,0,ACC_Accounts_Payable,12,0.3958
3,ACC_Travel_Exp,1,ACC_Inventory,4,0.0713
