t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2020-W01,0,11688.16,0.445795,4
0,2020-W01,1,7765.85,0.296195,4
0,2020-W01,2,6478.88,0.247109,4
0,2020-W01,3,285.81,0.010901,4
0,2020-W01,4,0.0,0.0,4
1,2020-W02,0,18504.48,0.492726,4
1,2020-W02,1,10043.48,0.267432,4
1,2020-W02,2,6942.29,0.184855,4
1,2020-W02,3,2065.07,0.054987,4
1,2020-W02,4,0.0,0.0,4
2,2020-W03,0,23979.2,0.51952,4
2,2020-W03,1,12639.35,0.273837,4
2,2020-W03,2,9003.53,0.195066,4
2,2020-W03,3,534.33,0.011577,4
2,2020-W03,4,0.0,0.0,4
3,2020-W04,0,24510.13,0.381582,4
3,2020-W04,1,20144.413594,0.313615,4
3,2020-W04,2,12380.59,0.192745,4
3,2020-W04,3,7197.72,0.112057,4
3,2020-W04,4,0.0,0.0,4
4,2020-W05,0,66064.570505,0.537628,5
4,2020-W05,1,32874.52,0.26753,5
4,2020-W05,2,15038.43,0.122382,5
4,2020-W05,3,6392.52,0.052022,5
4,2020-W05,4,2511.516445,0.020439,5
5,2020-W06,0,27770.91,0.523016,4
5,2020-W06,1,14714.09,0.277114,4
5,2020-W06,2,8482.47,0.159752,4
5,2020-W06,3,2130.18,0.040118,4
5,2020-W06,4,0.0,0.0,4
6,2020-W07,0,31195.69,0.462664,5
6,2020-W07,1,17379.68,0.257758,5
6,2020-W07,2,7095.647469,0.105236,5
6,2020-W07,3,6387.28,0.09473,5
6,2020-W07,4,5367.98,0.079613,5
7,2020-W08,0,26802.38,0.431073,5
7,2020-W08,1,15193.67,0.244366,5
7,2020-W08,2,9144.663177,0.147077,5
7,2020-W08,3,6276.55,0.100948,5
7,2020-W08,4,4758.73,0.076536,5
8,2020-W09,0,28035.54,0.357938,5
8,2020-W09,1,19054.575595,0.243276,5
8,2020-W09,2,14819.8,0.189209,5
8,2020-W09,3,8436.05,0.107706,5
8,2020-W09,4,7979.1,0.101872,5
9,2020-W10,0,22433.93,0.359399,5
9,2020-W10,1,12660.37,0.202824,5
9,2020-W10,2,12338.36,0.197665,5
9,2020-W10,3,7810.158243,0.125121,5
9,2020-W10,4,7177.78,0.114991,5
10,2020-W11,0,27310.23,0.344609,5
10,2020-W11,1,20572.65,0.259592,5
10,2020-W11,2,15645.06,0.197414,5
10,2020-W11,3,8489.258109,0.10712,5
10,2020-W11,4,7232.65,0.091264,5
11,2020-W12,0,25087.29,0.357345,5
11,2020-W12,1,15957.13,0.227295,5
11,2020-W12,2,13520.03,0.19258,5
11,2020-W12,3,8120.3,0.115666,5
11,2020-W12,4,7519.874018,0.107114,5
12,2020-W13,0,25501.68,0.333658,5
12,2020-W13,1,16918.91,0.221363,5
12,2020-W13,2,16674.159105,0.218161,5
12,2020-W13,3,9368.59,0.122576,5
12,2020-W13,4,7967.31,0.104242,5
13,2020-W14,0,27676.74,0.385171,5
13,2020-W14,1,17623.89,0.245267,5
