t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0.0,0
1,2020-W02,0.0,0.0,0.0,0.0,0
2,2020-W03,0.0,0.0,0.7072,1.3858,0
3,2020-W04,0.0,-0.1851,0.5775,4.7908,1
4,2020-W05,0.0,-0.1301,0.866,20.7701,1
5,2020-W06,0.0,2.1772,0.7305,5.6967,1
6,2020-W07,0.0,2.5368,0.7284,5.2139,1
7,2020-W08,176.32,3.8614,2.2205,6.2119,1
8,2020-W09,0.0,3.6827,1.0932,22.4035,1
9,2020-W10,0.0,1.9675,0.7327,22.8352,1
10,2020-W11,0.0,2.5782,0.7591,12.1697,1
11,2020-W12,0.0,2.4768,0.727,4.9634,1
12,2020-W13,0.0,2.8831,0.754,9.0318,1
13,2020-W14,0.0,1.8958,0.5863,7.4938,1
14,2020-W15,0.0,1.7433,0.4312,5.5656,1
15,2020-W16,0.0,1.1482,0.6232,9.9158,1
16,2020-W17,0.0,0.713,1.7082,7.201,1
17,2020-W18,0.0,0.781,1.6477,4.14,1
18,2020-W19,0.0,0.679,1.0848,3.3964,1
19,2020-W20,0.0,1.7112,1.0977,4.7883,1
20,2020-W21,0.0,1.0089,1.1288,5.7233,1
21,2020-W22,0.0,2.6137,1.4635,19.5649,1
22,2020-W23,763.19,0.5392,0.9,3.4409,1
23,2020-W24,0.0,1.6905,1.1325,1.925,0
24,2020-W25,0.0,0.7976,1.1627,6.7982,1
25,2020-W26,0.0,2.7053,1.5164,12.1551,1
26,2020-W27,0.0,0.7612,1.1079,20.9902,1
27,2020-W28,0.0,0.3449,1.152,11.1733,1
28,2020-W29,0.0,0.342,1.375,7.5985,1
29,2020-W30,190.55,0.8196,3.7177,10.2892,1
30,2020-W31,0.0,0.6309,32.2043,9.77,1
31,2020-W32,0.0,0.608,1.1067,11.2102,1
32,2020-W33,404.52,0.4732,1.5675,11.6076,1
33,2020-W34,0.0,0.5935,1.7006,7.0508,1
34,2020-W35,0.0,1.156,1.125,11.7937,1
35,2020-W36,0.0,2.6046,1.7254,8.2379,1
36,2020-W37,0.0,2.6046,1.3936,5.8216,1
37,2020-W38,263.6,2.0651,1.248,9.8305,1
38,2020-W39,0.0,0.9053,1.2669,19.7007,1
39,2020-W40,0.0,1.6762,0.9815,4.914,1
40,2020-W41,0.0,0.7556,1.2624,3.1038,1
41,2020-W42,970.33,1.5086,3.3532,12.5914,1
42,2020-W43,0.0,3.0246,1.3603,10.3074,1
43,2020-W44,6087.0,0.416,11.9708,26.6779,1
44,2020-W45,0.0,1.0711,2.8207,14.1429,1
45,2020-W46,0.0,0.9752,11.402,3.3395,1
46,2020-W47,0.0,1.1064,1.4531,5.0791,1
47,2020-W48,0.0,1.5028,1.9298,5.8214,1
48,2020-W49,0.0,-0.1497,1.0589,656.4527,1
49,2020-W50,0.0,1.7761,1.7723,7.6019,1
50,2020-W51,0.0,1.775,0.7842,10.2317,1
51,2020-W52,168.88,1.2689,1.0449,209.8263,1
