t_idx,time_label,node_idx,node_label,account_category,z_score_X,z_score_v,local_kl_drift,micro_anomaly_flag
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,0.0,0.0,0
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,0.0,0.0,0.0,0
0,2020-01,2,02_ACC_COGS,Expense,0.0,0.0,0.0,0
0,2020-01,3,03_ACC_Cash,Asset,0.0,0.0,0.0,0
0,2020-01,4,04_ACC_Inventory,Asset,0.0,0.0,0.0,0
0,2020-01,5,05_ACC_Payroll_Exp,Expense,0.0,0.0,0.0,0
0,2020-01,6,06_ACC_Rent_Exp,Expense,0.0,0.0,0.0,0
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,0.0,0.0,0.0,0
0,2020-01,8,08_ACC_Travel_Exp,Expense,0.0,0.0,0.0,0
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,0.0,0.0,0.0,0
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,0.0,0.0,0.0,0
1,2020-02,2,02_ACC_COGS,Expense,0.0,0.0,0.0,0
1,2020-02,3,03_ACC_Cash,Asset,0.0,0.0,0.2451,0
1,2020-02,4,04_ACC_Inventory,Asset,0.0,0.0,0.0,0
1,2020-02,5,05_ACC_Payroll_Exp,Expense,0.0,0.0,0.0,0
1,2020-02,6,06_ACC_Rent_Exp,Expense,0.0,0.0,0.0,0
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,0.0,0.0,0.0,0
1,2020-02,8,08_ACC_Travel_Exp,Expense,0.0,0.0,0.0,0
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,1.0,1.7308,0.0,0
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,1.0,136.2789,0.0,1
2,2020-03,2,02_ACC_COGS,Expense,1.0,0.3269,0.0,0
2,2020-03,3,03_ACC_Cash,Asset,52.2638,491.4002,0.7606,1
2,2020-03,4,04_ACC_Inventory,Asset,0.1001,0.0622,0.0,0
2,2020-03,5,05_ACC_Payroll_Exp,Expense,1.0001,10.5083,0.0,1
2,2020-03,6,06_ACC_Rent_Exp,Expense,1.0001,0.3384,0.0,0
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,1.0,5.1257,0.0,1
2,2020-03,8,08_ACC_Travel_Exp,Expense,1.0001,0.5449,0.0,0
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0
2,2020-03,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,0.7071,1.3956,0.0,0
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,0.7071,2.5849,0.0,0
3,2020-04,2,02_ACC_COGS,Expense,0.7071,5.387,0.0,1
3,2020-04,3,03_ACC_Cash,Asset,1.2063,1.2392,0.4587,0
3,2020-04,4,04_ACC_Inventory,Asset,3.8274,3.626,0.0,1
3,2020-04,5,05_ACC_Payroll_Exp,Expense,0.7071,0.8205,0.0,0
3,2020-04,6,06_ACC_Rent_Exp,Expense,0.7072,1.1825,0.0,0
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,0.7071,3.0608,0.0,1
3,2020-04,8,08_ACC_Travel_Exp,Expense,0.7072,2.2994,0.0,0
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0
3,2020-04,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,2.5593,3.2958,0.0,1
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,0.8855,0.908,0.0,0
4,2020-05,2,02_ACC_COGS,Expense,1.1214,1.6353,0.0,0
4,2020-05,3,03_ACC_Cash,Asset,2.2561,2.304,0.2621,0
4,2020-05,4,04_ACC_Inventory,Asset,0.9851,1.0497,0.0,0
4,2020-05,5,05_ACC_Payroll_Exp,Expense,1.1553,0.4855,0.0,0
4,2020-05,6,06_ACC_Rent_Exp,Expense,1.5499,3.5556,0.0,1
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,0.9673,1.2566,0.0,0
4,2020-05,8,08_ACC_Travel_Exp,Expense,2.5162,2.3913,0.0,0
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0
4,2020-05,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,0.4857,0.3959,0.0,0
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,0.6536,0.6943,0.0021,0
5,2020-06,2,02_ACC_COGS,Expense,0.7588,0.4081,0.0,0
5,2020-06,3,03_ACC_Cash,Asset,2.5552,2.5797,0.0112,0
5,2020-06,4,04_ACC_Inventory,Asset,0.3542,0.4551,0.0,0
5,2020-06,5,05_ACC_Payroll_Exp,Expense,2.2631,0.4569,0.0,0
5,2020-06,6,06_ACC_Rent_Exp,Expense,1.209,0.1052,0.0,0
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,0.7237,0.4244,0.0,0
5,2020-06,8,08_ACC_Travel_Exp,Expense,1.2831,0.6135,0.0,0
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0,0.0,0
5,2020-06,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,0.578,0.568,0.0,0
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,5.7893,4.2772,0.0067,1
6,2020-07,2,02_ACC_COGS,Expense,5.0992,13.029,0.0,1
6,2020-07,3,03_ACC_Cash,Asset,2.2494,2.2844,0.0142,0
6,2020-07,4,04_ACC_Inventory,Asset,4.7397,6.1394,0.0,1
6,2020-07,5,05_ACC_Payroll_Exp,Expense,1.2134,6.9159,0.0,1
6,2020-07,6,06_ACC_Rent_Exp,Expense,0.5787,5.9442,0.0,1
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,8.9804,15.7769,0.0,1
6,2020-07,8,08_ACC_Travel_Exp,Expense,0.7225,4.5231,0.0,1
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,0.6278,9.7276,0.0,1
6,2020-07,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,1.3109,1.6865,0.0,0
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,1.0819,1.3885,0.0014,0
7,2020-08,2,02_ACC_COGS,Expense,0.9733,1.8744,0.0,0
7,2020-08,3,03_ACC_Cash,Asset,0.7404,0.655,0.0222,0
7,2020-08,4,04_ACC_Inventory,Asset,3.5445,3.7262,0.0,1
7,2020-08,5,05_ACC_Payroll_Exp,Expense,2.5312,0.085,0.0,0
7,2020-08,6,06_ACC_Rent_Exp,Expense,10.4443,0.7088,0.0,1
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,1.1008,1.8307,0.0,0
7,2020-08,8,08_ACC_Travel_Exp,Expense,0.2924,0.7377,0.0,0
7,2020-08,9,09_UNKNOWN_LEAK,Unknown,0.7319,1.6315,0.0,0
7,2020-08,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
8,2020-09,0,00_ACC_Accounts_Payable,Liability,5.9067,5.3603,0.0,1
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,1.3189,1.4036,0.0018,0
8,2020-09,2,02_ACC_COGS,Expense,1.4403,0.0821,0.0,0
8,2020-09,3,03_ACC_Cash,Asset,6.6463,6.0857,0.1212,1
8,2020-09,4,04_ACC_Inventory,Asset,0.4113,0.4241,0.0,0
8,2020-09,5,05_ACC_Payroll_Exp,Expense,1.5358,1.753,0.0,0
8,2020-09,6,06_ACC_Rent_Exp,Expense,2.8669,2.9991,0.0,0
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,1.11,0.0602,0.0,0
8,2020-09,8,08_ACC_Travel_Exp,Expense,2.0875,1.3134,0.0,0
8,2020-09,9,09_UNKNOWN_LEAK,Unknown,0.7016,16.5503,0.0,1
8,2020-09,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
9,2020-10,0,00_ACC_Accounts_Payable,Liability,1.4635,1.7781,0.0,0
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,2.3974,2.7585,0.0084,0
9,2020-10,2,02_ACC_COGS,Expense,2.8923,4.553,0.0,1
9,2020-10,3,03_ACC_Cash,Asset,0.0033,0.0545,0.0417,0
9,2020-10,4,04_ACC_Inventory,Asset,1.6717,1.6699,0.0,0
9,2020-10,5,05_ACC_Payroll_Exp,Expense,2.2975,1.7557,0.0,0
9,2020-10,6,06_ACC_Rent_Exp,Expense,0.0045,1.0698,0.0,0
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,3.0304,4.5367,0.0,1
9,2020-10,8,08_ACC_Travel_Exp,Expense,0.2105,1.0639,0.0,0
9,2020-10,9,09_UNKNOWN_LEAK,Unknown,1.8492,1.0569,0.0,0
9,2020-10,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
10,2020-11,0,00_ACC_Accounts_Payable,Liability,0.2164,0.1011,0.0,0
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,0.0613,0.013,0.0045,0
10,2020-11,2,02_ACC_COGS,Expense,1.3649,1.472,0.0,0
10,2020-11,3,03_ACC_Cash,Asset,0.1453,0.1891,0.4145,0
10,2020-11,4,04_ACC_Inventory,Asset,1.1704,1.216,0.0,0
10,2020-11,5,05_ACC_Payroll_Exp,Expense,1.7824,0.1178,0.0,0
10,2020-11,6,06_ACC_Rent_Exp,Expense,0.8931,0.0878,0.0,0
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,0.464,0.0768,0.0,0
10,2020-11,8,08_ACC_Travel_Exp,Expense,1.2038,0.4595,0.0,0
10,2020-11,9,09_UNKNOWN_LEAK,Unknown,1.0183,0.8691,0.0,0
10,2020-11,10,10_ACC_Equity_Capital,Equity,0.0,0.0,0.0,0
11,2020-12,0,00_ACC_Accounts_Payable,Liability,0.5774,0.4389,0.0,0
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,0.2094,0.2939,0.0008,0
11,2020-12,2,02_ACC_COGS,Expense,0.6662,0.4005,0.0,0
11,2020-12,3,03_ACC_Cash,Asset,1.6842,1.7581,0.1542,0
11,2020-12,4,04_ACC_Inventory,Asset,0.07,0.2639,0.0,0
