t_idx,time_label,node_idx,node_label,account_category,ik_suggested_delta,ik_strain_energy
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,17404486.2512
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,2679.9329,17404486.2512
0,2020-01,2,02_ACC_COGS,Expense,0.0,17404486.2512
0,2020-01,3,03_ACC_Cash,Asset,2212.7879,17404486.2512
0,2020-01,4,04_ACC_Inventory,Asset,0.0,17404486.2512
0,2020-01,5,05_ACC_Payroll_Exp,Expense,1880.8697,17404486.2512
0,2020-01,6,06_ACC_Rent_Exp,Expense,1880.8697,17404486.2512
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,3481.0185,17404486.2512
0,2020-01,8,08_ACC_Travel_Exp,Expense,1880.8697,17404486.2512
0,2020-01,9,09_UNKNOWN_LEAK,Unknown,0.0,17404486.2512
0,2020-01,10,10_ACC_Equity_Capital,Equity,0.0,17404486.2512
1,2020-02,0,00_ACC_Accounts_Payable,Liability,1566.056,14240057.7731
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,2220.6469,14240057.7731
1,2020-02,2,02_ACC_COGS,Expense,967.7042,14240057.7731
1,2020-02,3,03_ACC_Cash,Asset,1842.4188,14240057.7731
1,2020-02,4,04_ACC_Inventory,Asset,1138.4756,14240057.7731
1,2020-02,5,05_ACC_Payroll_Exp,Expense,1566.056,14240057.7731
1,2020-02,6,06_ACC_Rent_Exp,Expense,1566.056,14240057.7731
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,2848.0927,14240057.7731
1,2020-02,8,08_ACC_Travel_Exp,Expense,1566.056,14240057.7731
1,2020-02,9,09_UNKNOWN_LEAK,Unknown,0.0,14240057.7731
1,2020-02,10,10_ACC_Equity_Capital,Equity,0.0,14240057.7731
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-27809.1713,1.2982
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,-154483.7822,1.2982
2,2020-03,2,02_ACC_COGS,Expense,-24185.0531,1.2982
2,2020-03,3,03_ACC_Cash,Asset,53980.3797,1.2982
2,2020-03,4,04_ACC_Inventory,Asset,45693.1489,1.2982
2,2020-03,5,05_ACC_Payroll_Exp,Expense,-3115.8666,1.2982
2,2020-03,6,06_ACC_Rent_Exp,Expense,1993.265,1.2982
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,105413.1096,1.2982
2,2020-03,8,08_ACC_Travel_Exp,Expense,2513.97,1.2982
2,2020-03,9,09_UNKNOWN_LEAK,Unknown,0.0,1.2982
2,2020-03,10,10_ACC_Equity_Capital,Equity,0.0,1.2982
3,2020-04,0,00_ACC_Accounts_Payable,Liability,-29350.2859,6.8007
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,25301.0134,6.8007
3,2020-04,2,02_ACC_COGS,Expense,-55196.3402,6.8007
3,2020-04,3,03_ACC_Cash,Asset,-72688.9438,6.8007
3,2020-04,4,04_ACC_Inventory,Asset,89306.8093,6.8007
3,2020-04,5,05_ACC_Payroll_Exp,Expense,13737.8211,6.8007
3,2020-04,6,06_ACC_Rent_Exp,Expense,-649.2314,6.8007
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,27807.0762,6.8007
3,2020-04,8,08_ACC_Travel_Exp,Expense,1732.0813,6.8007
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,0.0,6.8007
3,2020-04,10,10_ACC_Equity_Capital,Equity,0.0,6.8007
4,2020-05,0,00_ACC_Accounts_Payable,Liability,-41608.0526,0.859
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,12046.3092,0.859
4,2020-05,2,02_ACC_COGS,Expense,-11924.963,0.859
4,2020-05,3,03_ACC_Cash,Asset,11566.0581,0.859
4,2020-05,4,04_ACC_Inventory,Asset,15547.7493,0.859
4,2020-05,5,05_ACC_Payroll_Exp,Expense,1112.5305,0.859
4,2020-05,6,06_ACC_Rent_Exp,Expense,266.1418,0.859
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,13748.2109,0.859
4,2020-05,8,08_ACC_Travel_Exp,Expense,-753.9841,0.859
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,0.0,0.859
4,2020-05,10,10_ACC_Equity_Capital,Equity,0.0,0.859
5,2020-06,0,00_ACC_Accounts_Payable,Liability,-24001.3192,39.5655
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,2487.7261,39.5655
5,2020-06,2,02_ACC_COGS,Expense,36842.6914,39.5655
5,2020-06,3,03_ACC_Cash,Asset,-22426.012,39.5655
5,2020-06,4,04_ACC_Inventory,Asset,-26039.3086,39.5655
5,2020-06,5,05_ACC_Payroll_Exp,Expense,-16122.2778,39.5655
5,2020-06,6,06_ACC_Rent_Exp,Expense,5747.6333,39.5655
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,40667.5184,39.5655
5,2020-06,8,08_ACC_Travel_Exp,Expense,2556.8092,39.5655
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,286.5392,39.5655
5,2020-06,10,10_ACC_Equity_Capital,Equity,0.0,39.5655
6,2020-07,0,00_ACC_Accounts_Payable,Liability,3589.4882,3.4739
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,8293.6443,3.4739
6,2020-07,2,02_ACC_COGS,Expense,-5050.2039,3.4739
6,2020-07,3,03_ACC_Cash,Asset,150.7965,3.4739
6,2020-07,4,04_ACC_Inventory,Asset,-11586.2324,3.4739
6,2020-07,5,05_ACC_Payroll_Exp,Expense,-4728.6517,3.4739
6,2020-07,6,06_ACC_Rent_Exp,Expense,-807.017,3.4739
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,15888.4683,3.4739
6,2020-07,8,08_ACC_Travel_Exp,Expense,-5459.3295,3.4739
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,-290.9627,3.4739
6,2020-07,10,10_ACC_Equity_Capital,Equity,0.0,3.4739
7,2020-08,0,00_ACC_Accounts_Payable,Liability,-25919.9914,134877.6386
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,-18452.6536,134877.6386
7,2020-08,2,02_ACC_COGS,Expense,-43550.459,134877.6386
7,2020-08,3,03_ACC_Cash,Asset,-32944.5489,134877.6386
7,2020-08,4,04_ACC_Inventory,Asset,-84582.1884,134877.6386
7,2020-08,5,05_ACC_Payroll_Exp,Expense,140849.8757,134877.6386
7,2020-08,6,06_ACC_Rent_Exp,Expense,84441.7398,134877.6386
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,11155.0615,134877.6386
7,2020-08,8,08_ACC_Travel_Exp,Expense,-16276.9791,134877.6386
7,2020-08,9,09_UNKNOWN_LEAK,Unknown,-14719.8567,134877.6386
7,2020-08,10,10_ACC_Equity_Capital,Equity,0.0,134877.6386
8,2020-09,0,00_ACC_Accounts_Payable,Liability,37117.1301,420009.8353
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,37833.6878,420009.8353
8,2020-09,2,02_ACC_COGS,Expense,14689.6674,420009.8353
8,2020-09,3,03_ACC_Cash,Asset,41639.0805,420009.8353
8,2020-09,4,04_ACC_Inventory,Asset,65239.8898,420009.8353
8,2020-09,5,05_ACC_Payroll_Exp,Expense,-172576.8537,420009.8353
8,2020-09,6,06_ACC_Rent_Exp,Expense,-117548.2174,420009.8353
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,13997.6132,420009.8353
8,2020-09,8,08_ACC_Travel_Exp,Expense,139425.9232,420009.8353
