t_idx,time_label,node_idx,node_label,optimal_input_u,state_error_x
0,2020-W01,0,ACC_Accounts_Payable,0.0,7765.85
0,2020-W01,1,ACC_Inventory,0.0,1805.58
0,2020-W01,2,ACC_Cash,0.0,524.46
0,2020-W01,3,ACC_Travel_Exp,-0.0,524.46
0,2020-W01,4,ACC_COGS,0.0,5960.27
0,2020-W01,5,ACC_Sales_Revenue,0.0,21688.16
0,2020-W01,6,ACC_Accounts_Receivable,0.0,11688.16
0,2020-W01,7,ACC_Payroll_Exp,-0.0,0.0
0,2020-W01,8,ACC_Rent_Exp,0.0,0.0
0,2020-W01,9,UNKNOWN_LEAK,0.0,0.0
1,2020-W02,0,ACC_Accounts_Payable,0.0,6942.29
1,2020-W02,1,ACC_Inventory,0.0,3284.93
1,2020-W02,2,ACC_Cash,0.0,2249.34
1,2020-W02,3,ACC_Travel_Exp,-0.0,2249.34
1,2020-W02,4,ACC_COGS,0.0,10227.22
1,2020-W02,5,ACC_Sales_Revenue,0.0,28504.48
1,2020-W02,6,ACC_Accounts_Receivable,0.0,18504.48
1,2020-W02,7,ACC_Payroll_Exp,-0.0,0.0
1,2020-W02,8,ACC_Rent_Exp,0.0,0.0
1,2020-W02,9,UNKNOWN_LEAK,0.0,0.0
2,2020-W03,0,ACC_Accounts_Payable,0.0,9003.53
2,2020-W03,1,ACC_Inventory,0.0,3635.82
2,2020-W03,2,ACC_Cash,0.0,534.33
2,2020-W03,3,ACC_Travel_Exp,-0.0,534.33
2,2020-W03,4,ACC_COGS,0.0,12639.35
2,2020-W03,5,ACC_Sales_Revenue,0.0,33979.2
2,2020-W03,6,ACC_Accounts_Receivable,0.0,23979.2
2,2020-W03,7,ACC_Payroll_Exp,-0.0,0.0
2,2020-W03,8,ACC_Rent_Exp,0.0,0.0
2,2020-W03,9,UNKNOWN_LEAK,0.0,0.0
3,2020-W04,0,ACC_Accounts_Payable,0.0,7197.72
3,2020-W04,1,ACC_Inventory,0.0,5182.87
3,2020-W04,2,ACC_Cash,0.0,26720.24
3,2020-W04,3,ACC_Travel_Exp,-0.0,1063.23
3,2020-W04,4,ACC_COGS,-0.0,12380.59
3,2020-W04,5,ACC_Sales_Revenue,0.0,34510.13
3,2020-W04,6,ACC_Accounts_Receivable,0.0,24510.13
3,2020-W04,7,ACC_Payroll_Exp,0.0,18973.66
3,2020-W04,8,ACC_Rent_Exp,-0.0,6683.35
3,2020-W04,9,UNKNOWN_LEAK,0.0,0.0
4,2020-W05,0,ACC_Accounts_Payable,0.0,6392.52
4,2020-W05,1,ACC_Inventory,0.0,8645.91
4,2020-W05,2,ACC_Cash,0.0,2211.82
4,2020-W05,3,ACC_Travel_Exp,1891.6503,2874.85
4,2020-W05,4,ACC_COGS,-0.0,15038.43
4,2020-W05,5,ACC_Sales_Revenue,0.0,67715.1
4,2020-W05,6,ACC_Accounts_Receivable,0.0,57052.07
4,2020-W05,7,ACC_Payroll_Exp,-0.0,0.0
4,2020-W05,8,ACC_Rent_Exp,-0.0,0.0
4,2020-W05,9,UNKNOWN_LEAK,0.0,0.0
5,2020-W06,0,ACC_Accounts_Payable,0.0,716.62
5,2020-W06,1,ACC_Inventory,0.0,6530.89
5,2020-W06,2,ACC_Cash,0.0,5131.53
5,2020-W06,3,ACC_Travel_Exp,866.126,422.94
5,2020-W06,4,ACC_COGS,-0.0,15013.36
5,2020-W06,5,ACC_Sales_Revenue,0.0,37770.91
5,2020-W06,6,ACC_Accounts_Receivable,0.0,24713.65
5,2020-W06,7,ACC_Payroll_Exp,-0.0,0.0
5,2020-W06,8,ACC_Rent_Exp,-0.0,0.0
5,2020-W06,9,UNKNOWN_LEAK,0.0,0.0
6,2020-W07,0,ACC_Accounts_Payable,0.0,6387.28
6,2020-W07,1,ACC_Inventory,0.0,11305.35
6,2020-W07,2,ACC_Cash,0.0,1354.13
6,2020-W07,3,ACC_Travel_Exp,-0.0,2635.87
6,2020-W07,4,ACC_COGS,-0.0,17692.63
6,2020-W07,5,ACC_Sales_Revenue,0.0,41195.69
