t_idx,src_idx,tgt_idx,value
0,0,10,238.0
0,22,20,625.0
0,20,22,620.0
0,15,20,622.0
0,20,15,622.0
0,24,9,709.0
0,9,24,722.0
0,9,8,821.0
0,22,17,679.0
0,8,9,817.0
0,8,23,864.0
0,8,6,694.0
0,6,8,707.0
0,21,6,693.0
0,6,21,698.0
0,6,7,580.0
0,7,6,575.0
0,23,8,866.0
0,22,21,698.0
0,21,22,714.0
0,21,16,816.0
0,19,18,822.0
0,18,19,819.0
0,18,16,727.0
0,16,18,723.0
0,16,17,603.0
0,17,16,587.0
0,17,15,423.0
0,15,17,452.0
0,19,24,841.0
0,24,19,832.0
0,24,23,954.0
0,23,24,938.0
0,18,23,937.0
0,23,18,958.0
0,23,21,801.0
0,21,23,812.0
0,16,21,814.0
0,22,7,569.0
0,7,22,560.0
0,17,22,694.0
0,5,7,479.0
0,14,4,433.0
0,4,14,430.0
0,4,3,575.0
0,3,4,569.0
0,13,3,551.0
0,3,13,566.0
0,1,3,428.0
0,11,1,511.0
0,1,11,485.0
0,1,2,341.0
0,2,1,353.0
0,12,2,325.0
0,2,12,323.0
0,2,0,198.0
0,0,2,204.0
0,10,0,218.0
0,7,5,464.0
0,10,5,343.0
0,5,10,341.0
0,3,1,437.0
0,20,5,484.0
0,10,12,352.0
0,5,20,484.0
0,9,14,592.0
0,14,9,592.0
0,14,13,734.0
0,13,14,725.0
0,13,8,685.0
0,13,11,550.0
0,8,13,669.0
0,6,11,619.0
0,11,6,610.0
0,11,12,477.0
0,12,11,471.0
0,7,12,491.0
0,12,7,462.0
0,12,10,358.0
0,11,13,550.0
1,22,17,1037.0
1,22,20,889.0
1,20,22,894.0
1,15,20,935.0
1,20,15,907.0
1,24,9,1034.0
1,9,24,1065.0
1,9,8,1258.0
1,6,8,1058.0
1,23,8,1246.0
1,8,23,1225.0
1,8,6,1056.0
1,21,6,1069.0
1,6,21,1071.0
1,6,7,903.0
1,7,6,917.0
1,8,9,1239.0
1,22,21,1056.0
1,22,7,922.0
1,21,16,1206.0
1,19,18,1198.0
1,18,19,1201.0
1,18,16,1056.0
1,16,18,1055.0
1,16,17,840.0
1,17,16,858.0
1,17,15,743.0
1,15,17,747.0
1,19,24,1218.0
1,24,19,1210.0
1,24,23,1405.0
1,23,24,1407.0
1,18,23,1383.0
1,23,18,1365.0
1,23,21,1200.0
1,21,23,1196.0
1,16,21,1172.0
1,21,22,1052.0
1,7,22,907.0
1,17,22,1067.0
1,5,7,728.0
1,4,14,760.0
1,4,3,917.0
1,3,4,926.0
1,13,3,892.0
1,3,13,908.0
1,3,1,757.0
1,1,3,755.0
1,11,1,766.0
1,1,11,758.0
1,1,2,600.0
1,2,1,608.0
1,12,2,544.0
1,2,12,541.0
1,2,0,437.0
1,0,2,431.0
1,10,0,429.0
1,0,10,403.0
1,14,4,749.0
1,10,5,588.0
1,7,5,749.0
1,20,5,784.0
1,5,10,582.0
1,5,20,764.0
1,9,14,884.0
1,14,9,899.0
1,14,13,1052.0
1,8,13,1041.0
1,13,8,1060.0
1,13,11,916.0
1,13,14,1055.0
1,6,11,931.0
1,11,6,937.0
1,11,12,750.0
1,12,11,758.0
1,7,12,741.0
1,12,7,731.0
1,12,10,623.0
1,11,13,929.0
1,10,12,616.0
2,22,20,988.0
2,20,22,963.0
2,15,20,946.0
2,20,15,943.0
2,24,9,1121.0
2,9,24,1126.0
2,9,8,1295.0
2,7,6,979.0
2,23,8,1297.0
2,8,23,1296.0
2,8,6,1112.0
2,6,8,1118.0
2,21,6,1083.0
2,6,21,1093.0
2,6,7,970.0
2,22,17,1111.0
2,8,9,1282.0
2,17,22,1125.0
2,24,23,1421.0
2,21,22,1103.0
2,22,7,924.0
2,18,19,1249.0
2,18,16,1138.0
2,16,18,1102.0
2,16,17,974.0
2,17,16,946.0
2,17,15,787.0
2,15,17,784.0
2,19,24,1261.0
2,24,19,1243.0
2,23,24,1422.0
2,18,23,1423.0
2,23,18,1425.0
2,23,21,1299.0
2,21,23,1295.0
2,16,21,1270.0
2,21,16,1284.0
2,22,21,1126.0
2,7,22,923.0
2,19,18,1249.0
2,5,7,799.0
2,4,14,805.0
2,4,3,955.0
2,3,4,951.0
2,13,3,1012.0
2,3,13,1021.0
2,3,1,783.0
