t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,76.0000,0.0000,0.0000,76.0000,0.0000,0.0000
0,1,-30.0000,0.0000,0.0000,30.0000,0.0000,0.0000
0,2,-133.0000,0.0000,0.0000,133.0000,0.0000,0.0000
0,3,-53.0000,0.0000,0.0000,53.0000,0.0000,0.0000
0,4,-131.0000,0.0000,0.0000,131.0000,0.0000,0.0000
0,5,127.0000,0.0000,0.0000,127.0000,0.0000,0.0000
0,6,115.0000,0.0000,0.0000,115.0000,0.0000,0.0000
0,7,121.0000,0.0000,0.0000,121.0000,0.0000,0.0000
0,8,-95.0000,0.0000,0.0000,95.0000,0.0000,0.0000
0,9,11.0000,0.0000,0.0000,11.0000,0.0000,0.0000
0,10,326.0000,0.0000,0.0000,326.0000,0.0000,0.0000
0,11,-102.0000,0.0000,0.0000,102.0000,0.0000,0.0000
0,12,-57.0000,0.0000,0.0000,57.0000,0.0000,0.0000
0,13,-8.0000,0.0000,0.0000,8.0000,0.0000,0.0000
0,14,-153.0000,0.0000,0.0000,153.0000,0.0000,0.0000
0,15,118.0000,0.0000,0.0000,118.0000,0.0000,0.0000
0,16,-163.0000,0.0000,0.0000,163.0000,0.0000,0.0000
0,17,-36.0000,0.0000,0.0000,36.0000,0.0000,0.0000
0,18,-13.0000,0.0000,0.0000,13.0000,0.0000,0.0000
0,19,38.0000,0.0000,0.0000,38.0000,0.0000,0.0000
0,20,-63.0000,0.0000,0.0000,63.0000,0.0000,0.0000
0,21,-49.0000,0.0000,0.0000,49.0000,0.0000,0.0000
0,22,130.0000,0.0000,0.0000,130.0000,0.0000,0.0000
0,23,14.0000,0.0000,0.0000,14.0000,0.0000,0.0000
0,24,10.0000,0.0000,0.0000,10.0000,0.0000,0.0000
1,0,-38.0000,-114.0000,0.0000,57.0000,0.0175,-2.0000
1,1,20.0000,50.0000,0.0000,25.0000,0.0400,2.0000
1,2,-108.0000,25.0000,0.0000,120.5000,0.0800,2.0000
1,3,77.0000,130.0000,0.0000,65.0000,0.0154,2.0000
1,4,180.0000,311.0000,0.0000,155.5000,0.0064,2.0000
1,5,-392.0000,-519.0000,0.0000,259.5000,0.0039,-2.0000
1,6,57.0000,-58.0000,0.0000,86.0000,0.0345,-2.0000
1,7,-123.0000,-244.0000,0.0000,122.0000,0.0082,-2.0000
1,8,-162.0000,-67.0000,0.0000,128.5000,0.0299,-2.0000
1,9,168.0000,157.0000,0.0000,89.5000,0.0127,2.0000
1,10,3.0000,-323.0000,0.0000,164.5000,0.0062,-2.0000
1,11,-49.0000,53.0000,0.0000,75.5000,0.0377,2.0000
1,12,-144.0000,-87.0000,0.0000,100.5000,0.0230,-2.0000
1,13,28.0000,36.0000,0.0000,18.0000,0.0556,2.0000
1,14,151.0000,304.0000,0.0000,152.0000,0.0066,2.0000
1,15,91.0000,-27.0000,0.0000,104.5000,0.0741,-2.0000
1,16,157.0000,320.0000,0.0000,160.0000,0.0063,2.0000
1,17,0.0000,36.0000,0.0000,18.0000,0.0556,2.0000
1,18,11.0000,24.0000,0.0000,12.0000,0.0833,2.0000
1,19,106.0000,68.0000,0.0000,72.0000,0.0294,2.0000
1,20,99.0000,162.0000,0.0000,81.0000,0.0123,2.0000
1,21,-49.0000,0.0000,0.0000,49.0000,inf,nan
1,22,13.0000,-117.0000,0.0000,71.5000,0.0171,-2.0000
1,23,164.0000,150.0000,0.0000,89.0000,0.0133,2.0000
1,24,-260.0000,-270.0000,0.0000,135.0000,0.0074,-2.0000
2,0,-124.0000,-86.0000,28.0000,79.3333,0.0206,2219.5604
2,1,-32.0000,-52.0000,-102.0000,27.3333,0.0240,-2789.2487
2,2,112.0000,220.0000,195.0000,117.6667,0.0102,22947.2370
2,3,-7.0000,-84.0000,-214.0000,45.6667,0.0114,-9773.6208
2,4,116.0000,-64.0000,-375.0000,142.3333,0.0061,-53375.3907
2,5,47.0000,439.0000,958.0000,188.6667,0.0026,180743.7878
2,6,-114.0000,-171.0000,-113.0000,95.3333,0.0141,-10775.0750
2,7,-88.0000,35.0000,279.0000,110.6667,0.0081,30876.2820
2,8,-104.0000,58.0000,125.0000,120.3333,0.0196,15042.8022
2,9,-151.0000,-319.0000,-476.0000,110.0000,0.0050,-52361.6108
2,10,23.0000,20.0000,343.0000,117.3333,0.0064,40245.4606
2,11,181.0000,230.0000,177.0000,110.6667,0.0102,19590.3388
2,12,62.0000,206.0000,293.0000,87.6667,0.0081,25688.0100
2,13,46.0000,18.0000,-18.0000,27.3333,0.0680,-490.7753
2,14,-29.0000,-180.0000,-484.0000,111.0000,0.0050,-53724.9012
2,15,-120.0000,-211.0000,-184.0000,109.6667,0.0107,-20180.9173
2,16,-185.0000,-342.0000,-662.0000,168.3333,0.0037,-111437.9319
2,17,178.0000,178.0000,142.0000,71.3333,0.0130,10131.6497
2,18,82.0000,71.0000,47.0000,35.3333,0.0339,1663.0744
2,19,52.0000,-54.0000,-122.0000,65.3333,0.0200,-7971.7485
2,20,-12.0000,-111.0000,-273.0000,58.0000,0.0089,-15834.9902
2,21,133.0000,182.0000,182.0000,77.0000,0.0117,14016.1213
2,22,-3.0000,-16.0000,101.0000,48.6667,0.0193,4915.0244
2,23,111.0000,-53.0000,-203.0000,96.3333,0.0116,-19556.2832
2,24,-174.0000,86.0000,356.0000,148.0000,0.0066,52688.5670
3,0,31.0000,155.0000,241.0000,67.2500,0.0095,16208.7294
3,1,159.0000,191.0000,243.0000,60.2500,0.0111,14642.8607
3,2,-149.0000,-261.0000,-481.0000,125.5000,0.0058,-60367.0255
3,3,-92.0000,-85.0000,-1.0000,57.2500,0.0114,-58.2187
3,4,43.0000,-73.0000,-9.0000,117.5000,0.0064,-1057.9650
3,5,-89.0000,-136.0000,-575.0000,163.7500,0.0029,-94156.6472
3,6,-48.0000,66.0000,237.0000,83.5000,0.0115,19790.2581
3,7,-129.0000,-41.0000,-76.0000,115.2500,0.0092,-8759.3790
3,8,-142.0000,-38.0000,-96.0000,125.7500,0.0214,-12072.8127
3,9,53.0000,204.0000,523.0000,95.7500,0.0049,50078.2466
3,10,-16.0000,-39.0000,-59.0000,92.0000,0.0072,-5428.2811
3,11,59.0000,-122.0000,-352.0000,97.7500,0.0079,-34408.9636
3,12,-174.0000,-236.0000,-442.0000,109.2500,0.0063,-48289.9759
3,13,163.0000,117.0000,99.0000,61.2500,0.0224,6066.3664
3,14,-4.0000,25.0000,205.0000,84.2500,0.0058,17271.3944
3,15,390.0000,510.0000,721.0000,179.7500,0.0037,129601.6545
3,16,-34.0000,151.0000,493.0000,134.7500,0.0041,66432.3690
3,17,120.0000,-58.0000,-236.0000,83.5000,0.0115,-19706.6668
3,18,-199.0000,-281.0000,-352.0000,76.2500,0.0073,-26842.0395
