t_idx,time_label,node_idx,node_label,state_X,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0020-01,0,一条堀川,157.68,-77.0,0.0,157.68,0.0,0.0
0,0020-01,1,二条堀川,218.28,77.0,0.0,218.28,0.0,0.0
0,0020-01,2,一条新町,447.6,0.0,0.0,447.6,0.0,0.0
0,0020-01,3,一条室町,490.47,0.0,0.0,490.47,0.0,0.0
0,0020-01,4,一条烏丸,378.95,0.0,0.0,378.95,0.0,0.0
0,0020-01,5,二条室町,344.37,0.0,0.0,344.37,0.0,0.0
0,0020-01,6,二条新町,347.05,0.0,0.0,347.05,0.0,0.0
0,0020-01,7,一条車屋町,310.25,0.0,0.0,310.25,0.0,0.0
0,0020-01,8,二条烏丸,112.33,0.0,0.0,112.33,0.0,0.0
0,0020-01,9,二条車屋町,403.88,0.0,0.0,403.88,0.0,0.0
0,0020-01,10,三条堀川,435.51,0.0,0.0,435.51,0.0,0.0
0,0020-01,11,三条新町,418.61,0.0,0.0,418.61,0.0,0.0
0,0020-01,12,四条堀川,433.12,0.0,0.0,433.12,0.0,0.0
0,0020-01,13,三条室町,373.19,0.0,0.0,373.19,0.0,0.0
0,0020-01,14,三条烏丸,430.91,0.0,0.0,430.91,0.0,0.0
0,0020-01,15,四条室町,242.55,0.0,0.0,242.55,0.0,0.0
0,0020-01,16,四条新町,463.53,0.0,0.0,463.53,0.0,0.0
0,0020-01,17,三条車屋町,419.92,0.0,0.0,419.92,0.0,0.0
0,0020-01,18,四条烏丸,496.64,0.0,0.0,496.64,0.0,0.0
0,0020-01,19,四条車屋町,121.67,0.0,0.0,121.67,0.0,0.0
0,0020-01,20,五条堀川,245.35,0.0,0.0,245.35,0.0,0.0
0,0020-01,21,五条新町,149.67,0.0,0.0,149.67,0.0,0.0
0,0020-01,22,五条室町,229.44,0.0,0.0,229.44,0.0,0.0
0,0020-01,23,五条烏丸,151.11,0.0,0.0,151.11,0.0,0.0
0,0020-01,24,五条車屋町,312.2,0.0,0.0,312.2,0.0,0.0
1,2020-01,0,一条堀川,288.68,131.0,208.0,223.18,0.0096,46422.6996
1,2020-01,1,二条堀川,54.28,-164.0,-241.0,136.28,0.0083,-32844.841
1,2020-01,2,一条新町,477.6,30.0,30.0,462.6,0.0667,13880.0
1,2020-01,3,一条室町,604.47,114.0,114.0,547.47,0.0175,62413.58
1,2020-01,4,一条烏丸,426.95,48.0,48.0,402.95,0.0417,19343.6
1,2020-01,5,二条室町,368.37,24.0,24.0,356.37,0.0833,8554.88
1,2020-01,6,二条新町,137.05,-210.0,-210.0,242.05,0.0095,-50832.5
1,2020-01,7,一条車屋町,211.25,-99.0,-99.0,260.75,0.0202,-25816.25
1,2020-01,8,二条烏丸,215.33,103.0,103.0,163.83,0.0194,16876.49
1,2020-01,9,二条車屋町,251.88,-152.0,-152.0,327.88,0.0132,-49839.76
1,2020-01,10,三条堀川,596.51,161.0,161.0,516.01,0.0124,83079.61
1,2020-01,11,三条新町,405.61,-13.0,-13.0,412.11,0.1538,-5359.43
1,2020-01,12,四条堀川,686.12,253.0,253.0,559.62,0.0079,141585.86
1,2020-01,13,三条室町,249.19,-124.0,-124.0,311.19,0.0161,-38589.56
