t_idx,time_label,component_idx,node_idx,node_label,account_category,eigenvalue,explained_variance_ratio,vector_value
0,2020-01,0,0,00_GojoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,0,1,01_GojoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,0,2,02_GojoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,0,3,03_GojoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,0,4,04_GojoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,0,5,05_IchijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,0,6,06_IchijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,0,7,07_IchijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,0,8,08_IchijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,0,9,09_IchijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,0,10,10_NijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,0,11,11_NijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,0,12,12_NijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,0,13,13_NijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,0,14,14_NijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,0,15,15_SanjoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,0,16,16_SanjoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,0,17,17_SanjoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,0,18,18_SanjoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,0,19,19_SanjoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,0,20,20_ShijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,0,21,21_ShijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,0,22,22_ShijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,0,23,23_ShijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,0,24,24_ShijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,1,0,00_GojoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,1,1,01_GojoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,1,2,02_GojoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,1,3,03_GojoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,1,4,04_GojoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,1,5,05_IchijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,1,6,06_IchijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,1,7,07_IchijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,1,8,08_IchijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,1,9,09_IchijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,1,10,10_NijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,1,11,11_NijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,1,12,12_NijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,1,13,13_NijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,1,14,14_NijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,1,15,15_SanjoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,1,16,16_SanjoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,1,17,17_SanjoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,1,18,18_SanjoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,1,19,19_SanjoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,1,20,20_ShijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,1,21,21_ShijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,1,22,22_ShijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,1,23,23_ShijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,1,24,24_ShijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,2,0,00_GojoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,2,1,01_GojoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,2,2,02_GojoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,2,3,03_GojoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,2,4,04_GojoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,2,5,05_IchijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,2,6,06_IchijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,2,7,07_IchijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,2,8,08_IchijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,2,9,09_IchijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,2,10,10_NijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,2,11,11_NijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,2,12,12_NijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,2,13,13_NijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,2,14,14_NijoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,2,15,15_SanjoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,2,16,16_SanjoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,2,17,17_SanjoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,2,18,18_SanjoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,2,19,19_SanjoShinmachi,Unknown,0.0,0.0,0.0
0,2020-01,2,20,20_ShijoHorikawa,Unknown,0.0,0.0,0.0
0,2020-01,2,21,21_ShijoKarasuma,Unknown,0.0,0.0,0.0
0,2020-01,2,22,22_ShijoKurumayacho,Unknown,0.0,0.0,0.0
0,2020-01,2,23,23_ShijoMuromachi,Unknown,0.0,0.0,0.0
0,2020-01,2,24,24_ShijoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,0,0,00_GojoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,0,1,01_GojoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,0,2,02_GojoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,0,3,03_GojoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,0,4,04_GojoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,0,5,05_IchijoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,0,6,06_IchijoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,0,7,07_IchijoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,0,8,08_IchijoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,0,9,09_IchijoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,0,10,10_NijoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,0,11,11_NijoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,0,12,12_NijoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,0,13,13_NijoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,0,14,14_NijoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,0,15,15_SanjoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,0,16,16_SanjoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,0,17,17_SanjoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,0,18,18_SanjoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,0,19,19_SanjoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,0,20,20_ShijoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,0,21,21_ShijoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,0,22,22_ShijoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,0,23,23_ShijoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,0,24,24_ShijoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,1,0,00_GojoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,1,1,01_GojoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,1,2,02_GojoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,1,3,03_GojoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,1,4,04_GojoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,1,5,05_IchijoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,1,6,06_IchijoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,1,7,07_IchijoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,1,8,08_IchijoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,1,9,09_IchijoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,1,10,10_NijoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,1,11,11_NijoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,1,12,12_NijoKurumayacho,Unknown,0.0,0.0,0.0
1,2020-02,1,13,13_NijoMuromachi,Unknown,0.0,0.0,0.0
1,2020-02,1,14,14_NijoShinmachi,Unknown,0.0,0.0,0.0
1,2020-02,1,15,15_SanjoHorikawa,Unknown,0.0,0.0,0.0
1,2020-02,1,16,16_SanjoKarasuma,Unknown,0.0,0.0,0.0
1,2020-02,1,17,17_SanjoKurumayacho,Unknown,0.0,0.0,0.0
