t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-W01,2500000.0,40.6901,0.0,0.0,0.0,0.0,2500000.0
1,2020-W02,2500000.0,40.8185,294.0,0.0,0.0,0.0,2487999.3736
2,2020-W03,2500000.0,40.8517,429.8923,0.0,0.0,0.0,2482438.1812
3,2020-W04,2500000.0,40.8199,535.9773,0.0,0.0,0.0,2478121.4471
4,2020-W05,2500000.0,40.7583,463.8084,0.0,0.0,0.0,2481095.9527
5,2020-W06,2500000.0,40.6168,417.5754,0.0,0.0,0.0,2483039.4394
6,2020-W07,2500000.0,40.3874,420.1167,0.0,0.0,0.0,2483032.5966
7,2020-W08,2500000.0,40.1113,395.7265,0.0,0.0,0.0,2484126.9118
8,2020-W09,2500000.0,40.5038,453.5209,0.0,0.0,0.0,2481630.6678
9,2020-W10,2500000.0,40.7115,560.9793,0.0,0.0,0.0,2477161.7047
10,2020-W11,2500000.0,40.8569,612.8785,0.0,0.0,0.0,2474959.6692
11,2020-W12,2500000.0,40.8661,630.9683,0.0,0.0,0.0,2474214.8126
12,2020-W13,2500000.0,40.829,625.4667,0.0,0.0,0.0,2474462.8402
13,2020-W14,2500000.0,40.7546,597.0495,0.0,0.0,0.0,2475667.5038
14,2020-W15,2500000.0,40.5107,586.1054,0.0,0.0,0.0,2476256.446
15,2020-W16,2500000.0,40.3537,472.2337,0.0,0.0,0.0,2480943.6206
16,2020-W17,2500000.0,40.1937,501.5677,0.0,0.0,0.0,2479840.1223
17,2020-W18,2500000.0,40.4843,518.9432,0.0,0.0,0.0,2478990.9519
18,2020-W19,2500000.0,40.6767,494.7957,0.0,0.0,0.0,2479873.3225
19,2020-W20,2500000.0,40.8013,498.9326,0.0,0.0,0.0,2479642.8767
20,2020-W21,2500000.0,40.8414,486.1559,0.0,0.0,0.0,2480144.7145
21,2020-W22,2500000.0,40.8484,535.8601,0.0,0.0,0.0,2478110.9565
22,2020-W23,2500000.0,40.7276,511.8531,0.0,0.0,0.0,2479153.44
23,2020-W24,2500000.0,40.6027,433.8114,0.0,0.0,0.0,2482386.0766
24,2020-W25,2500000.0,40.1972,434.0049,0.0,0.0,0.0,2482554.2289
25,2020-W26,2500000.0,40.3511,488.7696,0.0,0.0,0.0,2480277.5977
26,2020-W27,2500000.0,40.5229,479.2443,0.0,0.0,0.0,2480579.6363
27,2020-W28,2500000.0,40.6988,477.3358,0.0,0.0,0.0,2480572.9891
28,2020-W29,2500000.0,40.8163,513.9228,0.0,0.0,0.0,2479023.5969
