t_idx,time_label,node_idx,node_label,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-W01,0,一条堀川,99974.0,0.9957,0.0,0.0
0,2020-W01,1,二条堀川,100024.0,1.5541,0.0,0.0
0,2020-W01,2,四条新町,100017.0,1.9955,0.0,0.0
0,2020-W01,3,四条堀川,100005.0,1.5756,0.0,0.0
0,2020-W01,4,五条堀川,99971.0,0.9819,0.0,0.0
0,2020-W01,5,四条車屋町,100006.0,1.5745,0.0,0.0
0,2020-W01,6,三条車屋町,99983.0,1.5723,0.0,0.0
0,2020-W01,7,三条烏丸,100035.0,1.9917,0.0,0.0
0,2020-W01,8,五条新町,100030.0,1.5564,0.0,0.0
0,2020-W01,9,四条烏丸,100004.0,1.9965,0.0,0.0
0,2020-W01,10,三条室町,99968.0,1.9951,0.0,0.0
0,2020-W01,11,四条室町,99976.0,1.9961,0.0,0.0
0,2020-W01,12,三条新町,100000.0,1.9943,0.0,0.0
0,2020-W01,13,五条室町,99990.0,1.5743,0.0,0.0
0,2020-W01,14,五条車屋町,99988.0,0.9999,0.0,0.0
0,2020-W01,15,五条烏丸,100020.0,1.5772,0.0,0.0
0,2020-W01,16,三条堀川,99987.0,1.5675,0.0,0.0
0,2020-W01,17,二条車屋町,99988.0,1.5527,0.0,0.0
0,2020-W01,18,一条車屋町,99997.0,0.9849,0.0,0.0
0,2020-W01,19,一条烏丸,99982.0,1.5747,0.0,0.0
0,2020-W01,20,二条烏丸,100008.0,1.9887,0.0,0.0
0,2020-W01,21,一条室町,100047.0,1.5702,0.0,0.0
0,2020-W01,22,二条室町,99977.0,1.9939,0.0,0.0
0,2020-W01,23,一条新町,99996.0,1.5443,0.0,0.0
0,2020-W01,24,二条新町,100027.0,1.9819,0.0,0.0
1,2020-W02,0,一条堀川,100006.0,0.9992,16.0,-14.0
1,2020-W02,1,二条堀川,99999.0,1.5678,12.5,6.0
1,2020-W02,2,四条新町,100033.0,1.9961,8.0,18.5
1,2020-W02,3,四条堀川,100008.0,1.582,1.5,43.0
1,2020-W02,4,五条堀川,99939.0,0.991,16.0,-8.5
1,2020-W02,5,四条車屋町,100047.0,1.5738,20.5,-37.0
1,2020-W02,6,三条車屋町,99948.0,1.5702,17.5,-1.0
1,2020-W02,7,三条烏丸,100096.0,1.9953,30.5,-88.5
1,2020-W02,8,五条新町,99986.0,1.5687,22.0,-15.5
