src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,一条堀川,0,一条堀川,0,1.0
0,一条堀川,1,二条堀川,10,0.3664
0,一条堀川,2,一条新町,8,0.4512
0,一条堀川,3,一条室町,6,0.3614
0,一条堀川,4,一条烏丸,12,0.5739
0,一条堀川,5,二条室町,0,0.3709
0,一条堀川,6,二条新町,5,0.4205
0,一条堀川,7,一条車屋町,4,0.4455
0,一条堀川,8,二条烏丸,12,0.3747
0,一条堀川,9,二条車屋町,2,0.2765
0,一条堀川,10,三条堀川,0,0.2624
0,一条堀川,11,三条新町,4,0.2446
0,一条堀川,12,四条堀川,8,0.4848
0,一条堀川,13,三条室町,5,0.5537
0,一条堀川,14,三条烏丸,4,0.4454
0,一条堀川,15,四条室町,10,0.6294
0,一条堀川,16,四条新町,7,0.4969
0,一条堀川,17,三条車屋町,10,0.6601
0,一条堀川,18,四条烏丸,3,0.3592
0,一条堀川,19,四条車屋町,7,0.698
0,一条堀川,20,五条堀川,2,0.3031
0,一条堀川,21,五条新町,8,0.349
0,一条堀川,22,五条室町,11,0.4809
0,一条堀川,23,五条烏丸,8,0.4542
0,一条堀川,24,五条車屋町,2,0.3324
1,二条堀川,0,一条堀川,12,0.323
1,二条堀川,1,二条堀川,0,1.0
1,二条堀川,2,一条新町,11,0.3828
1,二条堀川,3,一条室町,0,0.5333
1,二条堀川,4,一条烏丸,4,0.3608
1,二条堀川,5,二条室町,2,0.2751
1,二条堀川,6,二条新町,2,0.0076
1,二条堀川,7,一条車屋町,7,0.6223
1,二条堀川,8,二条烏丸,6,0.4392
1,二条堀川,9,二条車屋町,9,0.2424
1,二条堀川,10,三条堀川,7,0.4283
1,二条堀川,11,三条新町,2,0.5102
1,二条堀川,12,四条堀川,11,0.1508
1,二条堀川,13,三条室町,12,0.4594
1,二条堀川,14,三条烏丸,2,0.3233
1,二条堀川,15,四条室町,3,0.6494
1,二条堀川,16,四条新町,8,0.4169
1,二条堀川,17,三条車屋町,3,0.2827
1,二条堀川,18,四条烏丸,12,0.3831
1,二条堀川,19,四条車屋町,10,0.4889
1,二条堀川,20,五条堀川,0,0.4786
1,二条堀川,21,五条新町,11,0.5954
1,二条堀川,22,五条室町,5,0.3802
1,二条堀川,23,五条烏丸,2,0.5361
1,二条堀川,24,五条車屋町,9,0.3101
2,一条新町,0,一条堀川,10,0.4649
2,一条新町,1,二条堀川,7,0.4895
2,一条新町,2,一条新町,0,1.0
2,一条新町,3,一条室町,12,0.565
2,一条新町,4,一条烏丸,9,0.3656
2,一条新町,5,二条室町,1,0.3016
2,一条新町,6,二条新町,1,0.2127
2,一条新町,7,一条車屋町,12,0.5591
2,一条新町,8,二条烏丸,4,0.4003
2,一条新町,9,二条車屋町,8,0.251
2,一条新町,10,三条堀川,10,0.5185
2,一条新町,11,三条新町,10,0.4566
2,一条新町,12,四条堀川,0,0.4339
2,一条新町,13,三条室町,11,0.3605
2,一条新町,14,三条烏丸,12,0.5196
2,一条新町,15,四条室町,2,0.3841
2,一条新町,16,四条新町,3,0.4183
2,一条新町,17,三条車屋町,11,0.3668
2,一条新町,18,四条烏丸,10,0.3269
2,一条新町,19,四条車屋町,3,0.411
2,一条新町,20,五条堀川,1,0.3802
2,一条新町,21,五条新町,4,0.19
2,一条新町,22,五条室町,4,0.1411
2,一条新町,23,五条烏丸,9,0.266
2,一条新町,24,五条車屋町,7,0.4171
3,一条室町,0,一条堀川,9,0.2466
3,一条室町,1,二条堀川,0,0.5333
3,一条室町,2,一条新町,6,0.4376
3,一条室町,3,一条室町,0,1.0
3,一条室町,4,一条烏丸,11,0.3619
3,一条室町,5,二条室町,7,0.3069
3,一条室町,6,二条新町,1,0.0787
3,一条室町,7,一条車屋町,12,0.4948
3,一条室町,8,二条烏丸,6,0.3957
3,一条室町,9,二条車屋町,9,0.3693
3,一条室町,10,三条堀川,6,0.5173
3,一条室町,11,三条新町,10,0.4196
3,一条室町,12,四条堀川,12,0.2426
3,一条室町,13,三条室町,9,0.2815
3,一条室町,14,三条烏丸,1,0.4451
3,一条室町,15,四条室町,3,0.3785
3,一条室町,16,四条新町,9,0.6551
3,一条室町,17,三条車屋町,7,0.4559
3,一条室町,18,四条烏丸,12,0.6511
3,一条室町,19,四条車屋町,1,0.4717
3,一条室町,20,五条堀川,5,0.6139
3,一条室町,21,五条新町,11,0.4643
3,一条室町,22,五条室町,7,0.3813
3,一条室町,23,五条烏丸,6,0.4963
3,一条室町,24,五条車屋町,8,0.5461
4,一条烏丸,0,一条堀川,4,0.3907
4,一条烏丸,1,二条堀川,7,0.3548
4,一条烏丸,2,一条新町,5,0.4781
4,一条烏丸,3,一条室町,9,0.3446
4,一条烏丸,4,一条烏丸,0,1.0
4,一条烏丸,5,二条室町,12,0.4294
4,一条烏丸,6,二条新町,9,0.5898
4,一条烏丸,7,一条車屋町,4,0.2931
4,一条烏丸,8,二条烏丸,1,0.4571
4,一条烏丸,9,二条車屋町,4,0.4867
4,一条烏丸,10,三条堀川,3,0.1862
4,一条烏丸,11,三条新町,1,0.3685
4,一条烏丸,12,四条堀川,5,0.4953
4,一条烏丸,13,三条室町,8,0.279
4,一条烏丸,14,三条烏丸,3,0.3328
4,一条烏丸,15,四条室町,9,0.3608
4,一条烏丸,16,四条新町,6,0.4753
4,一条烏丸,17,三条車屋町,9,0.482
4,一条烏丸,18,四条烏丸,5,0.4739
4,一条烏丸,19,四条車屋町,12,0.4359
4,一条烏丸,20,五条堀川,6,0.343
4,一条烏丸,21,五条新町,5,0.4073
4,一条烏丸,22,五条室町,6,0.5793
4,一条烏丸,23,五条烏丸,11,0.3215
4,一条烏丸,24,五条車屋町,5,0.5091
5,二条室町,0,一条堀川,4,0.4205
5,二条室町,1,二条堀川,7,0.473
5,二条室町,2,一条新町,3,0.3619
5,二条室町,3,一条室町,7,0.2811
5,二条室町,4,一条烏丸,9,0.4822
5,二条室町,5,二条室町,0,1.0
5,二条室町,6,二条新町,10,0.4772
5,二条室町,7,一条車屋町,5,0.4196
5,二条室町,8,二条烏丸,10,0.557
5,二条室町,9,二条車屋町,12,0.5036
5,二条室町,10,三条堀川,12,0.3367
5,二条室町,11,三条新町,8,0.5005
5,二条室町,12,四条堀川,5,0.4815
5,二条室町,13,三条室町,2,0.3764
5,二条室町,14,三条烏丸,3,0.4676
5,二条室町,15,四条室町,9,0.4367
5,二条室町,16,四条新町,2,0.4754
5,二条室町,17,三条車屋町,9,0.4177
5,二条室町,18,四条烏丸,2,0.3837
5,二条室町,19,四条車屋町,11,0.4751
5,二条室町,20,五条堀川,10,0.2408
5,二条室町,21,五条新町,12,0.4064
5,二条室町,22,五条室町,3,0.4167
5,二条室町,23,五条烏丸,8,0.602
5,二条室町,24,五条車屋町,10,0.3776
6,二条新町,0,一条堀川,11,0.3074
6,二条新町,1,二条堀川,4,0.5126
6,二条新町,2,一条新町,3,0.3922
6,二条新町,3,一条室町,5,0.3242
6,二条新町,4,一条烏丸,4,0.4136
6,二条新町,5,二条室町,8,0.4152
6,二条新町,6,二条新町,0,1.0
6,二条新町,7,一条車屋町,11,0.5849
6,二条新町,8,二条烏丸,7,0.6241
6,二条新町,9,二条車屋町,1,0.4705
6,二条新町,10,三条堀川,11,0.3716
6,二条新町,11,三条新町,11,0.4728
6,二条新町,12,四条堀川,5,0.3797
6,二条新町,13,三条室町,12,0.3375
6,二条新町,14,三条烏丸,6,0.5044
6,二条新町,15,四条室町,5,0.3083
6,二条新町,16,四条新町,10,0.422
6,二条新町,17,三条車屋町,5,0.3274
6,二条新町,18,四条烏丸,11,0.3899
6,二条新町,19,四条車屋町,6,0.4576
6,二条新町,20,五条堀川,10,0.5309
6,二条新町,21,五条新町,7,0.3232
6,二条新町,22,五条室町,6,0.2959
6,二条新町,23,五条烏丸,5,0.5851
6,二条新町,24,五条車屋町,8,0.3507
7,一条車屋町,0,一条堀川,10,0.1892
7,一条車屋町,1,二条堀川,8,0.2445
7,一条車屋町,2,一条新町,0,0.3548
7,一条車屋町,3,一条室町,2,0.3117
7,一条車屋町,4,一条烏丸,9,0.5469
7,一条車屋町,5,二条室町,7,0.453
7,一条車屋町,6,二条新町,11,0.3239
7,一条車屋町,7,一条車屋町,0,1.0
7,一条車屋町,8,二条烏丸,9,0.4254
7,一条車屋町,9,二条車屋町,12,0.4341
7,一条車屋町,10,三条堀川,11,0.3218
7,一条車屋町,11,三条新町,0,0.335
7,一条車屋町,12,四条堀川,4,0.4473
7,一条車屋町,13,三条室町,1,0.2973
7,一条車屋町,14,三条烏丸,12,0.4276
7,一条車屋町,15,四条室町,6,0.3981
7,一条車屋町,16,四条新町,1,0.4861
7,一条車屋町,17,三条車屋町,5,0.243
7,一条車屋町,18,四条烏丸,2,0.3942
7,一条車屋町,19,四条車屋町,3,0.5808
7,一条車屋町,20,五条堀川,10,0.4297
7,一条車屋町,21,五条新町,4,0.3987
7,一条車屋町,22,五条室町,7,0.5323
7,一条車屋町,23,五条烏丸,4,0.1939
7,一条車屋町,24,五条車屋町,12,0.499
8,二条烏丸,0,一条堀川,2,0.3911
8,二条烏丸,1,二条堀川,8,0.2755
8,二条烏丸,2,一条新町,10,0.731
8,二条烏丸,3,一条室町,6,0.3091
8,二条烏丸,4,一条烏丸,12,0.4646
8,二条烏丸,5,二条室町,2,0.2968
8,二条烏丸,6,二条新町,7,0.3929
8,二条烏丸,7,一条車屋町,3,0.4232
8,二条烏丸,8,二条烏丸,0,1.0
8,二条烏丸,9,二条車屋町,9,0.6629
8,二条烏丸,10,三条堀川,7,0.2592
8,二条烏丸,11,三条新町,11,0.321
8,二条烏丸,12,四条堀川,10,0.4806
8,二条烏丸,13,三条室町,6,0.3143
8,二条烏丸,14,三条烏丸,8,0.4087
8,二条烏丸,15,四条室町,12,0.4667
8,二条烏丸,16,四条新町,5,0.3576
8,二条烏丸,17,三条車屋町,10,0.4405
8,二条烏丸,18,四条烏丸,4,0.4271
8,二条烏丸,19,四条車屋町,9,0.2667
