t_idx,node_idx,curvature,density
0,0,0.000000,10646.0000
0,1,0.000000,16476.0000
0,2,0.000000,16423.0000
0,3,0.000000,17517.0000
0,4,0.000000,18321.0000
0,5,0.000000,24333.0000
0,6,0.000000,22957.0000
0,7,0.000000,12127.0000
0,8,0.000000,25425.0000
0,9,0.000000,18651.0000
0,10,0.000000,17320.0000
0,11,0.000000,24148.0000
0,12,0.000000,18239.0000
0,13,0.000000,25494.0000
0,14,0.000000,26693.0000
0,15,0.000000,26220.0000
0,16,0.000000,25113.0000
0,17,0.000000,19592.0000
0,18,0.000000,27899.0000
0,19,0.000000,20756.0000
0,20,0.000000,12115.0000
0,21,0.000000,18679.0000
0,22,0.000000,19540.0000
0,23,0.000000,20610.0000
0,24,0.000000,13804.0000
1,0,0.000000,10032.0000
1,1,0.000000,15532.0000
1,2,0.000000,15336.0000
1,3,0.000000,16383.0000
1,4,0.000000,16978.0000
1,5,0.000000,22690.0000
1,6,0.000000,21337.0000
1,7,0.000000,11229.0000
1,8,0.000000,23778.0000
1,9,0.000000,17296.0000
1,10,0.000000,16175.0000
1,11,0.000000,22537.0000
1,12,0.000000,17148.0000
1,13,0.000000,23786.0000
1,14,0.000000,25101.0000
1,15,0.000000,24913.0000
1,16,0.000000,23633.0000
1,17,0.000000,18180.0000
1,18,0.000000,26253.0000
1,19,0.000000,19152.0000
1,20,0.000000,11347.0000
1,21,0.000000,17381.0000
1,22,0.000000,18393.0000
1,23,0.000000,19364.0000
1,24,0.000000,12902.0000
2,0,28.000000,10382.0000
2,1,102.000000,16350.0000
2,2,195.000000,16434.0000
2,3,214.000000,17327.0000
2,4,375.000000,18296.0000
2,5,958.000000,24011.0000
2,6,113.000000,22734.0000
2,7,279.000000,12052.0000
2,8,125.000000,25560.0000
2,9,476.000000,18787.0000
2,10,343.000000,17165.0000
2,11,177.000000,23899.0000
2,12,293.000000,18132.0000
2,13,18.000000,25432.0000
2,14,484.000000,26887.0000
2,15,184.000000,26690.0000
2,16,662.000000,25481.0000
2,17,142.000000,19762.0000
2,18,47.000000,27754.0000
2,19,122.000000,20374.0000
2,20,273.000000,11882.0000
2,21,182.000000,18507.0000
2,22,101.000000,19571.0000
