t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,0020-01,0,一条堀川,1,二条堀川,77.0,0.0
1,2020-01,0,一条堀川,1,二条堀川,2529.0,0.0
1,2020-01,0,一条堀川,2,一条新町,2613.0,0.0
1,2020-01,1,二条堀川,0,一条堀川,2705.0,0.0
1,2020-01,1,二条堀川,6,二条新町,2754.0,0.0
1,2020-01,1,二条堀川,10,三条堀川,2852.0,0.0
1,2020-01,2,一条新町,0,一条堀川,2568.0,0.0
1,2020-01,2,一条新町,3,一条室町,2782.0,0.0
1,2020-01,2,一条新町,6,二条新町,2835.0,0.0
1,2020-01,3,一条室町,2,一条新町,2754.0,0.0
1,2020-01,3,一条室町,4,一条烏丸,2886.0,0.0
1,2020-01,3,一条室町,5,二条室町,3008.0,0.0
1,2020-01,4,一条烏丸,3,一条室町,2971.0,0.0
1,2020-01,4,一条烏丸,7,一条車屋町,3051.0,0.0
1,2020-01,4,一条烏丸,8,二条烏丸,3140.0,0.0
1,2020-01,5,二条室町,3,一条室町,3009.0,0.0
1,2020-01,5,二条室町,6,二条新町,2929.0,0.0
1,2020-01,5,二条室町,8,二条烏丸,3085.0,0.0
1,2020-01,5,二条室町,13,三条室町,3012.0,0.0
1,2020-01,6,二条新町,1,二条堀川,2852.0,0.0
1,2020-01,6,二条新町,2,一条新町,2848.0,0.0
1,2020-01,6,二条新町,5,二条室町,2948.0,0.0
1,2020-01,6,二条新町,11,三条新町,2945.0,0.0
1,2020-01,7,一条車屋町,4,一条烏丸,3162.0,0.0
1,2020-01,7,一条車屋町,9,二条車屋町,2973.0,0.0
1,2020-01,8,二条烏丸,4,一条烏丸,3162.0,0.0
1,2020-01,8,二条烏丸,5,二条室町,3019.0,0.0
1,2020-01,8,二条烏丸,9,二条車屋町,3250.0,0.0
1,2020-01,8,二条烏丸,14,三条烏丸,3209.0,0.0
1,2020-01,9,二条車屋町,7,一条車屋町,2985.0,0.0
1,2020-01,9,二条車屋町,8,二条烏丸,3282.0,0.0
1,2020-01,9,二条車屋町,17,三条車屋町,3159.0,0.0
1,2020-01,10,三条堀川,1,二条堀川,2766.0,0.0
1,2020-01,10,三条堀川,11,三条新町,2914.0,0.0
1,2020-01,10,三条堀川,12,四条堀川,2983.0,0.0
1,2020-01,11,三条新町,6,二条新町,2865.0,0.0
1,2020-01,11,三条新町,10,三条堀川,2994.0,0.0
1,2020-01,11,三条新町,13,三条室町,3045.0,0.0
1,2020-01,11,三条新町,16,四条新町,3134.0,0.0
1,2020-01,12,四条堀川,10,三条堀川,2978.0,0.0
1,2020-01,12,四条堀川,16,四条新町,3126.0,0.0
1,2020-01,12,四条堀川,20,五条堀川,3026.0,0.0
1,2020-01,13,三条室町,5,二条室町,3084.0,0.0
1,2020-01,13,三条室町,11,三条新町,2997.0,0.0
1,2020-01,13,三条室町,14,三条烏丸,3236.0,0.0
1,2020-01,13,三条室町,15,四条室町,3231.0,0.0
1,2020-01,14,三条烏丸,8,二条烏丸,3236.0,0.0
1,2020-01,14,三条烏丸,13,三条室町,3189.0,0.0
1,2020-01,14,三条烏丸,17,三条車屋町,3428.0,0.0
1,2020-01,14,三条烏丸,18,四条烏丸,3466.0,0.0
1,2020-01,15,四条室町,13,三条室町,3178.0,0.0
1,2020-01,15,四条室町,16,四条新町,3255.0,0.0
1,2020-01,15,四条室町,18,四条烏丸,3438.0,0.0
1,2020-01,15,四条室町,22,五条室町,3467.0,0.0
1,2020-01,16,四条新町,11,三条新町,3169.0,0.0
1,2020-01,16,四条新町,12,四条堀川,3185.0,0.0
1,2020-01,16,四条新町,15,四条室町,3186.0,0.0
1,2020-01,16,四条新町,21,五条新町,3315.0,0.0
1,2020-01,17,三条車屋町,9,二条車屋町,3051.0,0.0
1,2020-01,17,三条車屋町,14,三条烏丸,3434.0,0.0
1,2020-01,17,三条車屋町,19,四条車屋町,3234.0,0.0
1,2020-01,18,四条烏丸,14,三条烏丸,3511.0,0.0
1,2020-01,18,四条烏丸,15,四条室町,3320.0,0.0
1,2020-01,18,四条烏丸,19,四条車屋町,3570.0,0.0
1,2020-01,18,四条烏丸,23,五条烏丸,3583.0,0.0
1,2020-01,19,四条車屋町,17,三条車屋町,3247.0,0.0
1,2020-01,19,四条車屋町,18,四条烏丸,3632.0,0.0
