t_idx,component_idx,singular_value,explained_ratio,effective_rank
0,0,11112.452346,0.099943,24
0,1,11095.087624,0.099787,24
0,2,8584.007321,0.077203,24
0,3,8572.349435,0.077098,24
0,4,8518.388695,0.076613,24
1,0,10350.260810,0.099579,24
1,1,10344.345637,0.099522,24
1,2,8037.420172,0.077327,24
1,3,7994.068505,0.076910,24
1,4,7940.384116,0.076394,24
2,0,11084.034350,0.099959,24
2,1,11074.901997,0.099877,24
2,2,8536.138052,0.076982,24
2,3,8526.151161,0.076892,24
2,4,8500.624092,0.076661,24
3,0,10660.240281,0.099484,24
3,1,10658.968249,0.099472,24
3,2,8270.654823,0.077184,24
3,3,8266.997803,0.077150,24
3,4,8230.141461,0.076806,24
4,0,11057.582951,0.099995,24
4,1,11033.578244,0.099778,24
4,2,8515.765503,0.077009,24
4,3,8495.004044,0.076821,24
4,4,8490.752291,0.076783,24
5,0,10737.235400,0.099938,24
5,1,10685.283939,0.099455,24
5,2,8294.679316,0.077204,24
5,3,8273.260741,0.077004,24
5,4,8234.995614,0.076648,24
6,0,11097.766003,0.099950,24
6,1,11069.666388,0.099697,24
6,2,8558.481596,0.077080,24
6,3,8557.613595,0.077073,24
6,4,8519.649606,0.076731,24
7,0,11102.032504,0.099952,24
7,1,11089.866287,0.099843,24
7,2,8581.032800,0.077256,24
7,3,8535.783923,0.076848,24
7,4,8514.312578,0.076655,24
8,0,10739.279894,0.099975,24
8,1,10701.468834,0.099623,24
8,2,8332.510367,0.077570,24
8,3,8258.267793,0.076879,24
8,4,8218.555671,0.076509,24
9,0,11080.717647,0.100010,24
9,1,11025.060437,0.099508,24
9,2,8537.749231,0.077058,24
9,3,8522.646295,0.076922,24
9,4,8476.702718,0.076507,24
10,0,10738.650946,0.099769,24
10,1,10668.330066,0.099116,24
10,2,8331.059489,0.077401,24
10,3,8323.345087,0.077329,24
10,4,8253.838018,0.076684,24
11,0,11092.293233,0.099938,24
11,1,11000.677312,0.099112,24
11,2,8647.833210,0.077914,24
11,3,8521.837051,0.076779,24
11,4,8495.012882,0.076537,24
12,0,11126.645746,0.100207,24
12,1,11049.879058,0.099516,24
12,2,8574.324031,0.077221,24
12,3,8567.806609,0.077162,24
12,4,8509.160137,0.076634,24
13,0,10013.929500,0.100337,24
13,1,9911.394633,0.099309,24
13,2,7716.408110,0.077316,24
13,3,7658.930204,0.076740,24
13,4,7637.478135,0.076525,24
14,0,11121.572303,0.100031,24
14,1,11063.306688,0.099507,24
14,2,8600.131433,0.077353,24
14,3,8558.615157,0.076979,24
14,4,8516.581876,0.076601,24
15,0,10722.632239,0.099782,24
15,1,10690.901127,0.099487,24
15,2,8297.443747,0.077214,24
15,3,8290.288792,0.077148,24
15,4,8212.241202,0.076421,24
16,0,11097.944599,0.100194,24
16,1,11077.176705,0.100006,24
16,2,8563.408754,0.077312,24
16,3,8521.732525,0.076935,24
16,4,8480.253329,0.076561,24
17,0,10702.120235,0.099999,24
17,1,10672.586824,0.099723,24
17,2,8299.267759,0.077547,24
17,3,8245.892933,0.077049,24
17,4,8174.472337,0.076381,24
18,0,11084.914714,0.099593,24
18,1,11074.055108,0.099495,24
18,2,8585.786904,0.077139,24
18,3,8569.727862,0.076995,24
18,4,8502.547871,0.076391,24
19,0,11146.861204,0.100392,24
19,1,11005.744447,0.099121,24
19,2,8561.009784,0.077103,24
19,3,8554.192504,0.077042,24
19,4,8525.374961,0.076782,24
20,0,10724.259072,0.099765,24
20,1,10722.655578,0.099750,24
20,2,8300.166005,0.077215,24
20,3,8273.962613,0.076971,24
20,4,8250.960962,0.076757,24
21,0,11116.219467,0.099869,24
21,1,11061.358595,0.099376,24
21,2,8591.782030,0.077189,24
21,3,8555.385062,0.076862,24
21,4,8535.563335,0.076684,24
22,0,10760.509246,0.100252,24
22,1,10723.467065,0.099907,24
22,2,8302.489619,0.077352,24
22,3,8251.808374,0.076880,24
22,4,8204.249877,0.076436,24
23,0,7153.047752,0.099991,24
23,1,7122.636430,0.099565,24
23,2,5493.831020,0.076797,24
23,3,5486.709825,0.076697,24
23,4,5470.250597,0.076467,24
