t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-W01,0.0,0.0,0.0,0.0,0
1,2020-W02,0.0,0.0471,0.0,0.0,0
2,2020-W03,0.0,0.0303,0.0,0.3289,0
3,2020-W04,0.0,0.0198,0.0,0.3245,0
4,2020-W05,0.0,0.0299,0.0,0.5446,0
5,2020-W06,0.0,0.0577,0.0,0.8268,0
6,2020-W07,0.0,0.1237,0.0,0.25,0
7,2020-W08,0.0,0.2028,0.0,0.117,0
8,2020-W09,0.0,0.036,0.0,0.799,0
9,2020-W10,0.0,0.1525,0.0001,0.8525,0
10,2020-W11,0.0,0.1425,0.0001,0.5671,0
11,2020-W12,0.0,0.0394,0.0,0.2955,0
12,2020-W13,0.0,0.015,0.0,0.5141,0
13,2020-W14,0.0,0.033,0.0,0.3609,0
14,2020-W15,0.0,0.132,0.0,0.4077,0
15,2020-W16,0.0,0.1292,0.0,0.264,0
16,2020-W17,0.0,0.1758,0.0,0.5005,0
17,2020-W18,0.0,0.07,0.0,0.6643,0
18,2020-W19,0.0,0.1136,0.0,0.5142,0
19,2020-W20,0.0,0.0861,0.0,0.4123,0
20,2020-W21,0.0,0.0536,0.0001,0.6835,0
21,2020-W22,0.0,0.0266,0.0001,0.6587,0
22,2020-W23,0.0,0.0378,0.0,0.1671,0
23,2020-W24,0.0,0.0832,0.0,0.6047,0
24,2020-W25,0.0,0.2126,0.0001,0.4769,0
25,2020-W26,0.0,0.0861,0.0001,0.6497,0
26,2020-W27,0.0,0.0565,0.0001,0.9969,0
27,2020-W28,0.0,0.0792,0.0,0.2572,0
28,2020-W29,0.0,0.0837,0.0,0.3275,0
29,2020-W30,0.0,0.0432,0.0001,0.7168,0
30,2020-W31,0.0,0.01,0.0,0.2704,0
31,2020-W32,0.0,0.0305,0.0001,0.4612,0
32,2020-W33,0.0,0.0644,0.0,0.255,0
33,2020-W34,0.0,0.2506,0.0,0.4654,0
34,2020-W35,0.0,0.1769,0.0001,0.5247,0
35,2020-W36,0.0,0.0658,0.0,0.5617,0
36,2020-W37,0.0,0.1242,0.0001,0.4196,0
37,2020-W38,0.0,0.1276,0.0,0.16,0
38,2020-W39,0.0,0.0439,0.0001,0.8608,0
39,2020-W40,0.0,0.0158,0.0,0.6518,0
40,2020-W41,0.0,0.0218,0.0001,0.5428,0
41,2020-W42,0.0,0.1283,0.0,0.1397,0
42,2020-W43,0.0,0.2161,0.0001,0.701,0
43,2020-W44,0.0,0.0804,0.0001,0.7789,0
44,2020-W45,0.0,0.1709,0.0001,0.9803,0
45,2020-W46,0.0,0.1181,0.0,0.37,0
46,2020-W47,0.0,0.0749,0.0,0.0217,0
47,2020-W48,0.0,0.0306,0.0,0.2341,0
48,2020-W49,0.0,0.0165,0.0,0.181,0
49,2020-W50,0.0,0.0231,0.0,0.0733,0
50,2020-W51,0.0,0.1168,0.0002,1.3981,0
51,2020-W52,0.0,0.282,0.0,0.4878,0
52,2020-W53,0.0,1.7629,0.0001,0.4303,0
53,2021-W01,0.0,0.9154,0.0,0.3005,0
54,2021-W02,0.0,0.3906,0.0,0.3647,0
55,2021-W03,0.0,0.0848,0.0001,0.6266,0
56,2021-W04,0.0,0.024,0.0,0.2335,0
57,2021-W05,0.0,0.0176,0.0,0.1133,0
58,2021-W06,0.0,0.0163,0.0001,0.7271,0
59,2021-W07,0.0,0.1045,0.0,0.5231,0
60,2021-W08,0.0,0.1361,0.0,0.6908,0
61,2021-W09,0.0,0.0644,0.0,0.6095,0
62,2021-W10,0.0,0.0304,0.0001,0.8484,0
63,2021-W11,0.0,0.1329,0.0,0.4844,0
64,2021-W12,0.0,0.0768,0.0,0.6928,0
65,2021-W13,0.0,0.0221,0.0,0.1711,0
66,2021-W14,0.0,0.008,0.0,0.2512,0
67,2021-W15,0.0,0.0287,0.0001,0.5067,0
68,2021-W16,0.0,0.1221,0.0001,0.8303,0
69,2021-W17,0.0,0.1114,0.0001,0.8307,0
70,2021-W18,0.0,0.1022,0.0001,0.3234,0
71,2021-W19,0.0,0.0366,0.0,0.3161,0
72,2021-W20,0.0,0.1344,0.0001,0.4885,0
73,2021-W21,0.0,0.0956,0.0001,0.4203,0
74,2021-W22,0.0,0.033,0.0001,0.9117,0
75,2021-W23,0.0,0.0359,0.0001,0.66,0
76,2021-W24,0.0,0.0202,0.0,0.1268,0
77,2021-W25,0.0,0.0932,0.0001,0.4133,0
78,2021-W26,0.0,0.1483,0.0,0.3317,0
79,2021-W27,0.0,0.0783,0.0,0.021,0
80,2021-W28,0.0,0.0492,0.0001,0.7944,0
81,2021-W29,0.0,0.0865,0.0,0.3597,0
82,2021-W30,0.0,0.0808,0.0,0.3385,0
83,2021-W31,0.0,0.0319,0.0,0.587,0
84,2021-W32,0.0,0.025,0.0001,0.5884,0
85,2021-W33,0.0,0.0386,0.0,0.3097,0
86,2021-W34,0.0,0.0798,0.0001,0.7316,0
87,2021-W35,0.0,0.3297,0.0,0.3517,0
88,2021-W36,0.0,0.1534,0.0,0.5706,0
89,2021-W37,0.0,0.1606,0.0,0.1888,0
90,2021-W38,0.0,0.1161,0.0,0.5013,0
91,2021-W39,0.0,0.1007,0.0,0.6696,0
92,2021-W40,0.0,0.0403,0.0,0.3498,0
93,2021-W41,0.0,0.0166,0.0001,0.8178,0
94,2021-W42,0.0,0.0417,0.0,0.2461,0
95,2021-W43,0.0,0.0985,0.0,0.3346,0
96,2021-W44,0.0,0.1739,0.0001,1.3282,0
97,2021-W45,0.0,0.1012,0.0,0.2067,0
98,2021-W46,0.0,0.0784,0.0,0.2978,0
99,2021-W47,0.0,0.142,0.0,0.4828,0
100,2021-W48,0.0,0.0979,0.0,0.1667,0
101,2021-W49,0.0,0.0213,0.0,0.1608,0
102,2021-W50,0.0,0.018,0.0,0.5101,0
103,2021-W51,0.0,0.1618,0.0,0.1531,0
