t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
0,2020-01,0,00_GojoHorikawa,Unknown,0.0,58.0
0,2020-01,1,01_GojoKarasuma,Unknown,3590.981,58.0
0,2020-01,2,02_GojoKurumayacho,Unknown,0.0,52.0
0,2020-01,3,03_GojoMuromachi,Unknown,0.0,37.0
0,2020-01,4,04_GojoShinmachi,Unknown,0.0,23.0
0,2020-01,5,05_IchijoHorikawa,Unknown,0.0,5.0
0,2020-01,6,06_IchijoKarasuma,Unknown,0.0,18.0
0,2020-01,7,07_IchijoKurumayacho,Unknown,0.0,25.0
0,2020-01,8,08_IchijoMuromachi,Unknown,0.0,21.0
0,2020-01,9,09_IchijoShinmachi,Unknown,0.0,8.0
0,2020-01,10,10_NijoHorikawa,Unknown,0.0,52.0
0,2020-01,11,11_NijoKarasuma,Unknown,0.0,34.0
0,2020-01,12,12_NijoKurumayacho,Unknown,0.0,37.0
0,2020-01,13,13_NijoMuromachi,Unknown,0.0,47.0
0,2020-01,14,14_NijoShinmachi,Unknown,0.0,45.0
0,2020-01,15,15_SanjoHorikawa,Unknown,0.0,100.0
0,2020-01,16,16_SanjoKarasuma,Unknown,2683.295,128.0
0,2020-01,17,17_SanjoKurumayacho,Unknown,0.0,109.0
0,2020-01,18,18_SanjoMuromachi,Unknown,0.0,47.0
0,2020-01,19,19_SanjoShinmachi,Unknown,0.0,116.0
0,2020-01,20,20_ShijoHorikawa,Unknown,0.0,10.0
0,2020-01,21,21_ShijoKarasuma,Unknown,0.0,10033.0
0,2020-01,22,22_ShijoKurumayacho,Unknown,3680.7009,125.0
0,2020-01,23,23_ShijoMuromachi,Unknown,2526.7552,13.0
0,2020-01,24,24_ShijoShinmachi,Unknown,0.0,69.0
1,2020-02,0,00_GojoHorikawa,Unknown,0.0,5.0
1,2020-02,1,01_GojoKarasuma,Unknown,3693.2854,9.0
1,2020-02,2,02_GojoKurumayacho,Unknown,0.0,19.0
1,2020-02,3,03_GojoMuromachi,Unknown,0.0,4.0
1,2020-02,4,04_GojoShinmachi,Unknown,0.0,16.0
1,2020-02,5,05_IchijoHorikawa,Unknown,0.0,53.0
1,2020-02,6,06_IchijoKarasuma,Unknown,0.0,89.0
1,2020-02,7,07_IchijoKurumayacho,Unknown,0.0,4.0
1,2020-02,8,08_IchijoMuromachi,Unknown,0.0,20.0
1,2020-02,9,09_IchijoShinmachi,Unknown,0.0,6.0
1,2020-02,10,10_NijoHorikawa,Unknown,0.0,18.0
1,2020-02,11,11_NijoKarasuma,Unknown,0.0,192.0
1,2020-02,12,12_NijoKurumayacho,Unknown,0.0,13.0
1,2020-02,13,13_NijoMuromachi,Unknown,0.0,31.0
1,2020-02,14,14_NijoShinmachi,Unknown,0.0,40.0
1,2020-02,15,15_SanjoHorikawa,Unknown,0.0,9.0
1,2020-02,16,16_SanjoKarasuma,Unknown,2708.7524,14.0
1,2020-02,17,17_SanjoKurumayacho,Unknown,0.0,85.0
1,2020-02,18,18_SanjoMuromachi,Unknown,0.0,1.0
1,2020-02,19,19_SanjoShinmachi,Unknown,0.0,53.0
1,2020-02,20,20_ShijoHorikawa,Unknown,0.0,31.0
1,2020-02,21,21_ShijoKarasuma,Unknown,0.0,10047.0
1,2020-02,22,22_ShijoKurumayacho,Unknown,3748.3023,36.0
1,2020-02,23,23_ShijoMuromachi,Unknown,2652.6201,51.0
1,2020-02,24,24_ShijoShinmachi,Unknown,0.0,46.0
2,2020-03,0,00_GojoHorikawa,Unknown,0.0,39.0
2,2020-03,1,01_GojoKarasuma,Unknown,3487.29,134.0
2,2020-03,2,02_GojoKurumayacho,Unknown,0.0,48.0
2,2020-03,3,03_GojoMuromachi,Unknown,0.0,100.0
2,2020-03,4,04_GojoShinmachi,Unknown,0.0,3.0
2,2020-03,5,05_IchijoHorikawa,Unknown,0.0,131.0
2,2020-03,6,06_IchijoKarasuma,Unknown,0.0,31.0
2,2020-03,7,07_IchijoKurumayacho,Unknown,0.0,29.0
2,2020-03,8,08_IchijoMuromachi,Unknown,0.0,72.0
2,2020-03,9,09_IchijoShinmachi,Unknown,0.0,52.0
2,2020-03,10,10_NijoHorikawa,Unknown,0.0,86.0
2,2020-03,11,11_NijoKarasuma,Unknown,0.0,111.0
2,2020-03,12,12_NijoKurumayacho,Unknown,0.0,79.0
2,2020-03,13,13_NijoMuromachi,Unknown,0.0,74.0
2,2020-03,14,14_NijoShinmachi,Unknown,0.0,101.0
2,2020-03,15,15_SanjoHorikawa,Unknown,0.0,59.0
2,2020-03,16,16_SanjoKarasuma,Unknown,2534.3888,66.0
2,2020-03,17,17_SanjoKurumayacho,Unknown,0.0,33.0
2,2020-03,18,18_SanjoMuromachi,Unknown,0.0,36.0
2,2020-03,19,19_SanjoShinmachi,Unknown,0.0,61.0
2,2020-03,20,20_ShijoHorikawa,Unknown,0.0,22.0
2,2020-03,21,21_ShijoKarasuma,Unknown,0.0,9845.0
2,2020-03,22,22_ShijoKurumayacho,Unknown,3562.6135,50.0
2,2020-03,23,23_ShijoMuromachi,Unknown,2515.3499,101.0
2,2020-03,24,24_ShijoShinmachi,Unknown,0.0,141.0
3,2020-04,0,00_GojoHorikawa,Unknown,0.0,21.0
3,2020-04,1,01_GojoKarasuma,Unknown,3708.9897,55.0
3,2020-04,2,02_GojoKurumayacho,Unknown,0.0,76.0
3,2020-04,3,03_GojoMuromachi,Unknown,0.0,81.0
3,2020-04,4,04_GojoShinmachi,Unknown,0.0,21.0
3,2020-04,5,05_IchijoHorikawa,Unknown,0.0,1.0
3,2020-04,6,06_IchijoKarasuma,Unknown,0.0,53.0
3,2020-04,7,07_IchijoKurumayacho,Unknown,0.0,31.0
3,2020-04,8,08_IchijoMuromachi,Unknown,0.0,71.0
3,2020-04,9,09_IchijoShinmachi,Unknown,0.0,71.0
3,2020-04,10,10_NijoHorikawa,Unknown,0.0,160.0
3,2020-04,11,11_NijoKarasuma,Unknown,0.0,69.0
3,2020-04,12,12_NijoKurumayacho,Unknown,0.0,16.0
3,2020-04,13,13_NijoMuromachi,Unknown,0.0,27.0
3,2020-04,14,14_NijoShinmachi,Unknown,0.0,31.0
3,2020-04,15,15_SanjoHorikawa,Unknown,0.0,59.0
3,2020-04,16,16_SanjoKarasuma,Unknown,2628.9304,57.0
3,2020-04,17,17_SanjoKurumayacho,Unknown,0.0,21.0
3,2020-04,18,18_SanjoMuromachi,Unknown,0.0,49.0
3,2020-04,19,19_SanjoShinmachi,Unknown,0.0,12.0
3,2020-04,20,20_ShijoHorikawa,Unknown,0.0,32.0
3,2020-04,21,21_ShijoKarasuma,Unknown,0.0,10056.0
3,2020-04,22,22_ShijoKurumayacho,Unknown,3702.4111,8.0
3,2020-04,23,23_ShijoMuromachi,Unknown,2612.6264,78.0
3,2020-04,24,24_ShijoShinmachi,Unknown,0.0,20.0
4,2020-05,0,00_GojoHorikawa,Unknown,0.0,9.0
4,2020-05,1,01_GojoKarasuma,Unknown,3628.3855,81.0
4,2020-05,2,02_GojoKurumayacho,Unknown,0.0,24.0
4,2020-05,3,03_GojoMuromachi,Unknown,0.0,7.0
4,2020-05,4,04_GojoShinmachi,Unknown,0.0,51.0
4,2020-05,5,05_IchijoHorikawa,Unknown,0.0,15.0
4,2020-05,6,06_IchijoKarasuma,Unknown,0.0,104.0
4,2020-05,7,07_IchijoKurumayacho,Unknown,0.0,30.0
4,2020-05,8,08_IchijoMuromachi,Unknown,0.0,8.0
4,2020-05,9,09_IchijoShinmachi,Unknown,0.0,11.0
4,2020-05,10,10_NijoHorikawa,Unknown,0.0,59.0
4,2020-05,11,11_NijoKarasuma,Unknown,0.0,196.0
4,2020-05,12,12_NijoKurumayacho,Unknown,0.0,24.0
4,2020-05,13,13_NijoMuromachi,Unknown,0.0,38.0
4,2020-05,14,14_NijoShinmachi,Unknown,0.0,49.0
4,2020-05,15,15_SanjoHorikawa,Unknown,0.0,13.0
4,2020-05,16,16_SanjoKarasuma,Unknown,2473.8165,67.0
4,2020-05,17,17_SanjoKurumayacho,Unknown,0.0,24.0
4,2020-05,18,18_SanjoMuromachi,Unknown,0.0,84.0
4,2020-05,19,19_SanjoShinmachi,Unknown,0.0,7.0
4,2020-05,20,20_ShijoHorikawa,Unknown,0.0,95.0
4,2020-05,21,21_ShijoKarasuma,Unknown,0.0,9988.0
4,2020-05,22,22_ShijoKurumayacho,Unknown,3647.3334,18.0
4,2020-05,23,23_ShijoMuromachi,Unknown,2570.8604,60.0
4,2020-05,24,24_ShijoShinmachi,Unknown,0.0,76.0
5,2020-06,0,00_GojoHorikawa,Unknown,0.0,18.0
