t_idx,time_label,spectral_radius,is_stable
0,2020-W01,1.0,0
1,2020-W02,1.0,1
2,2020-W03,1.0,1
3,2020-W04,1.0,1
4,2020-W05,1.0,0
5,2020-W06,1.0,0
6,2020-W07,1.0,0
7,2020-W08,1.0,0
8,2020-W09,1.0,0
9,2020-W10,1.0,0
10,2020-W11,1.0,0
11,2020-W12,1.0,0
12,2020-W13,1.0,0
13,2020-W14,1.0,0
14,2020-W15,1.0,1
15,2020-W16,1.0,0
16,2020-W17,1.0,1
17,2020-W18,1.0,0
18,2020-W19,1.0,0
19,2020-W20,1.0,0
20,2020-W21,1.0,0
21,2020-W22,1.0,0
22,2020-W23,1.0,1
23,2020-W24,1.0,0
24,2020-W25,1.0,0
25,2020-W26,1.0,1
26,2020-W27,1.0,0
27,2020-W28,1.0,0
28,2020-W29,1.0,0
29,2020-W30,1.0,0
30,2020-W31,1.0,1
31,2020-W32,1.0,0
32,2020-W33,1.0,1
33,2020-W34,1.0,0
34,2020-W35,1.0,0
35,2020-W36,1.0,0
36,2020-W37,1.0,1
37,2020-W38,1.0,0
38,2020-W39,1.0,1
39,2020-W40,1.0,0
40,2020-W41,1.0,0
41,2020-W42,1.0,0
42,2020-W43,1.0,0
43,2020-W44,1.0,0
44,2020-W45,1.0,0
45,2020-W46,1.0,1
46,2020-W47,1.0,0
47,2020-W48,1.0,1
48,2020-W49,1.0,0
49,2020-W50,1.0,0
50,2020-W51,1.0,1
51,2020-W52,1.0,0
52,2020-W53,1.0,1
53,2021-W01,1.0,0
54,2021-W02,1.0,0
55,2021-W03,1.0,0
56,2021-W04,1.0,0
57,2021-W05,1.0,0
58,2021-W06,1.0,0
59,2021-W07,1.0,1
60,2021-W08,1.0,0
61,2021-W09,1.0,0
62,2021-W10,1.0,0
63,2021-W11,1.0,0
64,2021-W12,1.0,0
65,2021-W13,1.0,0
66,2021-W14,1.0,0
67,2021-W15,1.0,0
68,2021-W16,1.0,0
69,2021-W17,1.0,1
70,2021-W18,1.0,1
71,2021-W19,1.0,0
72,2021-W20,1.0,0
73,2021-W21,1.0,0
74,2021-W22,1.0,0
75,2021-W23,1.0,0
76,2021-W24,1.0,0
77,2021-W25,1.0,0
78,2021-W26,1.0,0
79,2021-W27,1.0,1
80,2021-W28,1.0,0
81,2021-W29,1.0,0
82,2021-W30,1.0,0
83,2021-W31,1.0,0
84,2021-W32,1.0,1
85,2021-W33,1.0,1
86,2021-W34,1.0,0
87,2021-W35,1.0,0
88,2021-W36,1.0,0
89,2021-W37,1.0,0
90,2021-W38,1.0,1
91,2021-W39,1.0,0
92,2021-W40,1.0,0
93,2021-W41,1.0,0
94,2021-W42,1.0,0
95,2021-W43,1.0,0
96,2021-W44,1.0,0
97,2021-W45,1.0,0
98,2021-W46,1.0,0
99,2021-W47,1.0,0
100,2021-W48,1.0,0
101,2021-W49,1.0,0
102,2021-W50,1.0,0
103,2021-W51,1.0,1
