t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-W01,0,00_一条堀川,41.5234,6.9158,10,29.1104,1.7908,10
0,2020-W01,1,01_一条室町,41.5234,5.621,11,20.3476,2.2183,2
0,2020-W01,2,02_一条新町,41.5234,5.6742,12,21.2423,2.5615,0
0,2020-W01,3,03_一条烏丸,41.5234,6.1247,13,15.9927,2.4924,4
0,2020-W01,4,04_一条車屋町,41.5234,7.7921,3,22.7758,2.2493,3
0,2020-W01,5,05_三条堀川,41.5234,5.4417,20,20.9132,2.1585,10
0,2020-W01,6,06_三条室町,41.5234,3.9277,8,21.1908,1.699,11
0,2020-W01,7,07_三条新町,41.5234,4.1788,22,18.9886,2.0314,5
0,2020-W01,8,08_三条烏丸,41.5234,4.54,23,17.2875,1.9628,9
0,2020-W01,9,09_三条車屋町,41.5234,5.6768,8,20.3013,1.9622,14
0,2020-W01,10,10_二条堀川,41.5234,5.8438,12,19.5781,2.7081,0
0,2020-W01,11,11_二条室町,41.5234,4.0401,13,18.2724,2.0542,1
0,2020-W01,12,12_二条新町,41.5234,4.4092,11,16.9985,1.9868,10
0,2020-W01,13,13_二条烏丸,41.5234,4.4127,14,15.1689,1.9367,14
0,2020-W01,14,14_二条車屋町,41.5234,6.3835,13,18.4255,2.3273,4
0,2020-W01,15,15_五条堀川,41.5234,8.0204,20,22.5933,2.2441,20
0,2020-W01,16,16_五条室町,41.5234,5.586,21,20.0968,1.9692,17
0,2020-W01,17,17_五条新町,41.5234,6.3125,22,18.9752,2.3349,15
0,2020-W01,18,18_五条烏丸,41.5234,6.3482,23,16.0296,2.3057,19
0,2020-W01,19,19_五条車屋町,41.5234,7.2985,24,20.9746,2.0254,24
0,2020-W01,20,20_四条堀川,41.5234,6.1414,22,15.0596,2.4158,15
0,2020-W01,21,21_四条室町,41.5234,4.3303,23,17.7283,1.9807,16
0,2020-W01,22,22_四条新町,41.5234,4.2924,21,15.006,1.8946,17
0,2020-W01,23,23_四条烏丸,41.5234,4.4935,18,14.004,1.7991,24
0,2020-W01,24,24_四条車屋町,41.5234,6.4233,23,15.9399,2.3268,19
1,2020-W02,0,00_一条堀川,41.5234,6.8187,2,26.2194,1.9125,2
1,2020-W02,1,01_一条室町,41.5234,5.2812,11,20.4155,2.1558,2
1,2020-W02,2,02_一条新町,41.5234,5.398,12,19.2448,2.6246,0
1,2020-W02,3,03_一条烏丸,41.5234,5.9667,13,15.9553,2.4202,4
1,2020-W02,4,04_一条車屋町,41.5234,7.5842,3,22.1182,2.1923,3
1,2020-W02,5,05_三条堀川,41.5234,5.3295,20,20.6528,2.0625,10
1,2020-W02,6,06_三条室町,41.5234,3.885,21,21.1508,1.6572,11
1,2020-W02,7,07_三条新町,41.5234,4.2096,22,19.2237,1.9929,5
1,2020-W02,8,08_三条烏丸,41.5234,4.3328,23,17.3934,1.9927,9
1,2020-W02,9,09_三条車屋町,41.5234,5.728,8,20.3679,1.9471,14
1,2020-W02,10,10_二条堀川,41.5234,5.7368,12,19.4726,2.5288,0
1,2020-W02,11,11_二条室町,41.5234,4.2228,13,18.8506,1.9911,1
1,2020-W02,12,12_二条新町,41.5234,4.2613,11,17.5633,2.0152,10
1,2020-W02,13,13_二条烏丸,41.5234,4.2926,8,15.4443,1.8881,14
1,2020-W02,14,14_二条車屋町,41.5234,6.1123,13,18.3108,2.3946,4
1,2020-W02,15,15_五条堀川,41.5234,7.7282,20,22.2621,2.1723,20
1,2020-W02,16,16_五条室町,41.5234,5.5853,21,20.6965,1.9106,17
1,2020-W02,17,17_五条新町,41.5234,6.2269,22,18.6495,2.385,15
1,2020-W02,18,18_五条烏丸,41.5234,6.3685,23,16.128,2.318,19
1,2020-W02,19,19_五条車屋町,41.5234,7.293,24,21.0461,2.0185,24
1,2020-W02,20,20_四条堀川,41.5234,5.9281,22,15.6517,2.4193,15
1,2020-W02,21,21_四条室町,41.5234,4.2772,23,17.7359,1.9813,16
1,2020-W02,22,22_四条新町,41.5234,4.2602,21,15.3642,1.9135,17
1,2020-W02,23,23_四条烏丸,41.5234,4.502,24,14.1681,1.8196,24
1,2020-W02,24,24_四条車屋町,41.5234,6.4213,23,15.9798,2.3309,19
2,2020-W03,0,00_一条堀川,41.5234,6.9506,10,0.0235,-19.8412,17
2,2020-W03,1,01_一条室町,41.5234,5.2793,11,0.2736,67.5995,17
2,2020-W03,2,02_一条新町,41.5234,5.7148,12,0.0899,38.6952,17
2,2020-W03,3,03_一条烏丸,41.5234,6.1559,13,0.0486,28.4978,17
2,2020-W03,4,04_一条車屋町,41.5234,7.5486,3,0.6508,104.3044,17
2,2020-W03,5,05_三条堀川,41.5234,5.2854,7,0.094,-39.6332,17
2,2020-W03,6,06_三条室町,41.5234,3.8958,8,0.0174,-17.0375,17
2,2020-W03,7,07_三条新町,41.5234,4.0731,22,0.716,-109.3187,17
2,2020-W03,8,08_三条烏丸,41.5234,4.3182,23,0.0075,-11.1928,17
2,2020-W03,9,09_三条車屋町,41.5234,5.5719,8,41.2306,-830.5167,17
2,2020-W03,10,10_二条堀川,41.5234,5.4726,12,1.0562,130.4601,17
2,2020-W03,11,11_二条室町,41.5234,4.2071,13,0.4995,91.1501,17
2,2020-W03,12,12_二条新町,41.5234,4.2725,11,0.0185,17.5524,17
2,2020-W03,13,13_二条烏丸,41.5234,4.1708,14,0.3505,-76.2868,17
2,2020-W03,14,14_二条車屋町,41.5234,5.9564,13,0.0927,39.2978,17
2,2020-W03,15,15_五条堀川,41.5234,7.6178,20,0.0138,15.137,17
2,2020-W03,16,16_五条室町,41.5234,5.5914,21,0.0445,-27.2853,17
2,2020-W03,17,17_五条新町,41.5234,6.1817,22,0.005,-6.6193,16
2,2020-W03,18,18_五条烏丸,41.5234,6.2475,23,0.642,-103.9705,17
2,2020-W03,19,19_五条車屋町,41.5234,7.2156,24,0.0626,-32.3079,17
