node_idx,dominant_frequency,spectral_power
18,0.4167,5506035.0361
8,0.4167,4780120.2996
14,0.4167,4416476.9490
13,0.4167,4267716.1266
5,0.4167,4081950.3867
15,0.4167,4055736.9816
16,0.4167,3994406.4323
11,0.4167,3857549.6595
6,0.4167,2870950.4523
23,0.4167,2809456.8875
19,0.4167,2583731.5118
17,0.4167,2458366.3177
9,0.4167,2265848.5159
21,0.4167,2029470.3510
12,0.4167,1977366.1021
10,0.4167,1940922.4065
1,0.4167,1940177.8930
4,0.4167,1915485.0903
22,0.4167,1912493.5772
3,0.4167,1872175.3829
2,0.4167,1226093.7125
24,0.4167,1066666.0784
7,0.4167,878953.9502
20,0.4167,730968.8567
0,0.4167,587581.4695
