t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,coherence,phase_shift
12,2020-12,0,一条堀川,0,一条堀川,1.0,-0.0
13,2021-01,0,一条堀川,0,一条堀川,1.0,-0.0
12,2020-12,0,一条堀川,1,二条堀川,1.0,0.0055
13,2021-01,0,一条堀川,1,二条堀川,1.0,0.0028
12,2020-12,0,一条堀川,2,一条新町,1.0,-0.0054
13,2021-01,0,一条堀川,2,一条新町,1.0,-0.0184
12,2020-12,0,一条堀川,3,一条室町,1.0,0.0017
13,2021-01,0,一条堀川,3,一条室町,1.0,-0.0089
12,2020-12,0,一条堀川,4,一条烏丸,1.0,0.0001
13,2021-01,0,一条堀川,4,一条烏丸,1.0,-0.0059
12,2020-12,0,一条堀川,5,二条室町,1.0,0.0114
13,2021-01,0,一条堀川,5,二条室町,1.0,0.0035
12,2020-12,0,一条堀川,6,二条新町,1.0,-0.0035
13,2021-01,0,一条堀川,6,二条新町,1.0,-0.01
12,2020-12,0,一条堀川,7,一条車屋町,1.0,-0.01
13,2021-01,0,一条堀川,7,一条車屋町,1.0,-0.0184
12,2020-12,0,一条堀川,8,二条烏丸,1.0,0.0068
13,2021-01,0,一条堀川,8,二条烏丸,1.0,-0.003
12,2020-12,0,一条堀川,9,二条車屋町,1.0,-0.0009
13,2021-01,0,一条堀川,9,二条車屋町,1.0,-0.0114
12,2020-12,0,一条堀川,10,三条堀川,1.0,0.0066
13,2021-01,0,一条堀川,10,三条堀川,1.0,0.0058
12,2020-12,0,一条堀川,11,三条新町,1.0,-0.0158
13,2021-01,0,一条堀川,11,三条新町,1.0,-0.0185
12,2020-12,0,一条堀川,12,四条堀川,1.0,0.0155
13,2021-01,0,一条堀川,12,四条堀川,1.0,0.0085
12,2020-12,0,一条堀川,13,三条室町,1.0,0.0021
13,2021-01,0,一条堀川,13,三条室町,1.0,-0.0052
12,2020-12,0,一条堀川,14,三条烏丸,1.0,0.0
13,2021-01,0,一条堀川,14,三条烏丸,1.0,-0.0094
12,2020-12,0,一条堀川,15,四条室町,1.0,0.0059
13,2021-01,0,一条堀川,15,四条室町,1.0,-0.0057
12,2020-12,0,一条堀川,16,四条新町,1.0,-0.0052
13,2021-01,0,一条堀川,16,四条新町,1.0,-0.0175
12,2020-12,0,一条堀川,17,三条車屋町,1.0,0.0068
13,2021-01,0,一条堀川,17,三条車屋町,1.0,-0.0025
12,2020-12,0,一条堀川,18,四条烏丸,1.0,0.0038
13,2021-01,0,一条堀川,18,四条烏丸,1.0,-0.0068
12,2020-12,0,一条堀川,19,四条車屋町,1.0,0.0058
13,2021-01,0,一条堀川,19,四条車屋町,1.0,-0.0022
12,2020-12,0,一条堀川,20,五条堀川,1.0,0.0266
13,2021-01,0,一条堀川,20,五条堀川,1.0,0.0156
12,2020-12,0,一条堀川,21,五条新町,1.0,0.0047
13,2021-01,0,一条堀川,21,五条新町,1.0,-0.005
12,2020-12,0,一条堀川,22,五条室町,1.0,0.0
13,2021-01,0,一条堀川,22,五条室町,1.0,-0.0103
12,2020-12,0,一条堀川,23,五条烏丸,1.0,0.003
13,2021-01,0,一条堀川,23,五条烏丸,1.0,-0.0084
12,2020-12,0,一条堀川,24,五条車屋町,1.0,-0.0008
13,2021-01,0,一条堀川,24,五条車屋町,1.0,-0.0063
12,2020-12,1,二条堀川,0,一条堀川,1.0,-0.0055
13,2021-01,1,二条堀川,0,一条堀川,1.0,-0.0028
12,2020-12,1,二条堀川,1,二条堀川,1.0,-0.0
13,2021-01,1,二条堀川,1,二条堀川,1.0,0.0
12,2020-12,1,二条堀川,2,一条新町,1.0,-0.0109
13,2021-01,1,二条堀川,2,一条新町,1.0,-0.0211
12,2020-12,1,二条堀川,3,一条室町,1.0,-0.0038
13,2021-01,1,二条堀川,3,一条室町,1.0,-0.0116
12,2020-12,1,二条堀川,4,一条烏丸,1.0,-0.0054
13,2021-01,1,二条堀川,4,一条烏丸,1.0,-0.0087
12,2020-12,1,二条堀川,5,二条室町,1.0,0.0059
13,2021-01,1,二条堀川,5,二条室町,1.0,0.0008
12,2020-12,1,二条堀川,6,二条新町,1.0,-0.0089
13,2021-01,1,二条堀川,6,二条新町,1.0,-0.0127
12,2020-12,1,二条堀川,7,一条車屋町,1.0,-0.0154
13,2021-01,1,二条堀川,7,一条車屋町,1.0,-0.0212
12,2020-12,1,二条堀川,8,二条烏丸,1.0,0.0014
13,2021-01,1,二条堀川,8,二条烏丸,1.0,-0.0057
12,2020-12,1,二条堀川,9,二条車屋町,1.0,-0.0064
13,2021-01,1,二条堀川,9,二条車屋町,1.0,-0.0141
12,2020-12,1,二条堀川,10,三条堀川,1.0,0.0012
13,2021-01,1,二条堀川,10,三条堀川,1.0,0.0031
12,2020-12,1,二条堀川,11,三条新町,1.0,-0.0213
