t_idx,time_label,node_idx,node_label,state_X,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,2020-W01,0,STK_001,7791.0,0.0,0.0,7791.0,0.0,0.0
0,2020-W01,1,USR_001,3472015.77,-3618279.62,0.0,3472015.77,0.0,0.0
0,2020-W01,2,USR_002,10284891.48,1255275.37,0.0,10284891.48,0.0,0.0
0,2020-W01,3,USR_003,2950512.24,1168062.75,0.0,2950512.24,0.0,0.0
0,2020-W01,4,USR_004,5040383.15,243086.77,0.0,5040383.15,0.0,0.0
0,2020-W01,5,USR_006,70029.19,-2897712.58,0.0,70029.19,0.0,0.0
0,2020-W01,6,USR_007,10404478.41,4856280.82,0.0,10404478.41,0.0,0.0
0,2020-W01,7,USR_008,1565639.57,326815.84,0.0,1565639.57,0.0,0.0
0,2020-W01,8,USR_009,2765801.56,-23737.3,0.0,2765801.56,0.0,0.0
0,2020-W01,9,USR_010,5753717.79,-1095242.15,0.0,5753717.79,0.0,0.0
0,2020-W01,10,STK_002,7209.0,0.0,0.0,7209.0,0.0,0.0
0,2020-W01,11,USR_005,1053625.07,-214549.9,0.0,1053625.07,0.0,0.0
0,2020-W01,12,STK_003,13998.0,0.0,0.0,13998.0,0.0,0.0
0,2020-W01,13,STK_004,2908.0,0.0,0.0,2908.0,0.0,0.0
0,2020-W01,14,STK_005,16818.0,-0.0,0.0,16818.0,0.0,0.0
1,2020-W02,0,STK_001,7791.0,-0.0,-0.0,7791.0,536870912.0,-2.0
1,2020-W02,1,USR_001,-4323341.4,-7795357.17,-4177077.55,3897678.585,0.0,-16280905714523.002
1,2020-W02,2,USR_002,18059197.49,7774306.01,6519030.64,14172044.485,0.0,92387992229160.4
1,2020-W02,3,USR_003,3129735.11,179222.87,-988839.88,3040123.675,0.0,-3006195529971.797
1,2020-W02,4,USR_004,1293457.29,-3746925.86,-3990012.63,3166920.22,0.0,-12636051676004.26
1,2020-W02,5,USR_006,1873831.23,1803802.04,4701514.62,971930.21,0.0,4569544091935.44
1,2020-W02,6,USR_007,9871737.49,-532740.92,-5389021.74,10138107.95,0.0,-54634484145017.04
1,2020-W02,7,USR_008,2477540.73,911901.16,585085.32,2021590.15,0.0,1182802719824.7148
1,2020-W02,8,USR_009,3971236.04,1205434.48,1229171.78,3368518.8,0.0,4140488249361.415
1,2020-W02,9,USR_010,6304122.88,550405.09,1645647.24,6028920.335,0.0,9921476109473.287
1,2020-W02,10,STK_002,7209.0,0.0,-0.0,7209.0,17179869184.0,-0.0
1,2020-W02,11,USR_005,703577.37,-350047.7,-135497.8,878601.22,0.0,-119048532392.4828
1,2020-W02,12,STK_003,13998.0,0.0,-0.0,13998.0,536870912.0,-0.0001
1,2020-W02,13,STK_004,2908.0,0.0,0.0,2908.0,0.0,0.0
1,2020-W02,14,STK_005,16818.0,0.0,0.0,16818.0,268435456.0,1.0001
2,2020-W03,0,STK_001,7791.0,0.0,0.0,7791.0,569437593.7455,0.0
2,2020-W03,1,USR_001,-1750636.75,2572704.65,10368061.82,3181997.9733,0.0,32991151698635.312
2,2020-W03,2,USR_002,16776077.92,-1283119.57,-9057425.58,15040055.63,0.0,-136224184587785.34
2,2020-W03,3,USR_003,3473980.41,344245.3,165022.43,3184742.5867,0.0,525553960577.014
2,2020-W03,4,USR_004,8653360.52,7359903.23,11106829.09,4995733.6533,0.0,55486759866736.25
2,2020-W03,5,USR_006,3123263.96,1249432.73,-554369.31,1689041.46,0.0,-936352748740.9996
2,2020-W03,6,USR_007,6703402.46,-3168335.03,-2635594.11,8993206.12,0.0,-23702441079888.87
2,2020-W03,7,USR_008,1346025.49,-1131515.24,-2043416.4,1796401.93,0.0,-3670797164754.965
2,2020-W03,8,USR_009,2550496.62,-1420739.42,-2626173.9,3095844.74,0.0,-8130226654641.604
