t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-W01,43409818.23,30.1112,0.0,-1194941.5,0.0,0.0,43409818.23
1,2020-W02,52056501.03,31.2899,12425071.65,158171.71,0.0,0.0,-336722733.3668
2,2020-W03,52039603.29,33.378,16013062.9948,1633830.38,-0.0,0.0,-482443874.7915
3,2020-W04,52087871.47,34.6313,16040428.8223,-3957102.57,-0.0,0.0,-503413076.405
4,2020-W05,56155471.87,32.7414,16923178.119,1154983.29,0.0,0.0,-497933541.3727
5,2020-W06,54346835.71,30.2499,19044276.9092,-1431340.98,0.0,0.0,-521741320.9254
6,2020-W07,58180674.55,32.2562,21310609.9139,-4593141.12,0.0,0.0,-629218815.7207
7,2020-W08,46939292.89,32.8162,20457184.0442,1836275.06,0.0,0.0,-624386835.7966
8,2020-W09,52242420.91,34.1213,22740986.2574,10741273.59,0.0,0.0,-723709489.7444
9,2020-W10,55073389.49,35.475,23868128.1357,-2454232.55,-0.0,0.0,-791649028.0987
10,2020-W11,57496863.69,32.978,24646656.5388,2349466.1,-0.0,0.0,-755300478.3066
11,2020-W12,65603317.09,33.2107,25765560.3967,2439752.04,-0.0,0.0,-790089629.0924
12,2020-W13,51316751.99,33.7651,26252841.2069,-1942909.69,-0.0,0.0,-835113334.7505
13,2020-W14,55972932.75,32.9018,26577660.3152,-1667422.18,-0.0,0.0,-818479362.8451
14,2020-W15,53419667.81,33.8162,25948097.7161,3158805.91,-0.0,0.0,-824045163.9266
15,2020-W16,45056706.33,33.6316,25695441.6031,-3134225.77,0.0,0.0,-819121841.8408
16,2020-W17,54091712.51,33.8232,24373471.9605,-3523524.27,-0.0,0.0,-770296685.9771
17,2020-W18,56731840.17,33.1248,24183057.3619,3862191.88,-0.0,0.0,-744327925.5566
18,2020-W19,52955344.49,32.2372,23424220.0918,1199013.72,0.0,0.0,-702175149.9623
19,2020-W20,53152370.01,33.4055,23164976.8953,6347908.79,-0.0,0.0,-720685742.7374
20,2020-W21,57664979.49,32.5043,23364518.8077,-1873955.89,-0.0,0.0,-701782334.5583
21,2020-W22,71414302.57,33.6831,24914150.5302,-813234.69,0.0,0.0,-767771734.9676
22,2020-W23,59219752.35,33.4238,24967957.3817,-118257.05,0.0,0.0,-775303274.0223
23,2020-W24,64213311.01,32.8897,24851519.1194,-1901358.58,-0.0,0.0,-753145573.5767
24,2020-W25,74493495.59,34.8068,25267750.4094,-2929852.06,-0.0,0.0,-804996705.0883
25,2020-W26,64107564.97,31.0376,25299129.3178,675374.56,0.0,0.0,-721116493.4704
26,2020-W27,65993236.93,32.0079,27061281.7591,6818920.83,-0.0,0.0,-800180654.9217
27,2020-W28,63223144.71,29.6936,28398846.7533,1855516.29,0.0,0.0,-780039444.9565
28,2020-W29,64167781.41,33.323,29137173.3574,-967536.69,-0.0,0.0,-906769912.953
29,2020-W30,50321201.73,32.2903,28804933.2782,1434059.51,-0.0,0.0,-879799288.1549
30,2020-W31,59296012.69,34.1403,29612624.8809,-111509.91,0.0,0.0,-951688726.4614
31,2020-W32,67105478.67,31.2599,30300681.8777,3910038.72,0.0,0.0,-880090308.533
32,2020-W33,63978489.67,33.2416,30785823.5728,-3747086.67,0.0,0.0,-959392703.042
33,2020-W34,64780858.67,31.5556,30896057.9528,-3988994.42,0.0,0.0,-910162795.0927
34,2020-W35,54616721.85,31.9342,29122899.413,2405691.65,0.0,0.0,-875399129.7068
35,2020-W36,54578587.49,30.2833,27453389.5757,356302.88,-0.0,0.0,-776800638.5829
36,2020-W37,55515382.75,30.0759,26328425.0438,80662.92,0.0,0.0,-736334837.3567
37,2020-W38,67199555.19,28.6801,24188623.4229,-431275.57,0.0,0.0,-626532739.7619
38,2020-W39,66001970.47,31.433,22153383.2993,-4811517.02,0.0,0.0,-630345475.193
39,2020-W40,55763333.65,29.9207,23164063.4154,-4063409.27,0.0,0.0,-637320733.6749
40,2020-W41,68465775.91,30.6562,24915582.1767,3911993.09,0.0,0.0,-695350700.0069
41,2020-W42,62306123.77,30.595,25902074.0591,2166904.34,0.0,0.0,-730168459.3297
42,2020-W43,56490423.31,31.8439,26603755.3301,5036869.62,-0.0,0.0,-790677067.7009
43,2020-W44,60710547.69,31.956,29300623.7024,-7679947.79,-0.0,0.0,-875621212.7078
44,2020-W45,79089026.13,29.6149,33025018.3737,-11240804.3,-0.0,0.0,-898944469.0616
45,2020-W46,70388950.85,33.2702,34579539.5784,7232434.05,0.0,0.0,-1080079974.3907
46,2020-W47,53761820.19,29.861,33849023.8781,-363245.41,-0.0,0.0,-957003098.8527
47,2020-W48,63931485.97,30.7345,34253426.6006,-7786892.24,0.0,0.0,-988830164.3053
48,2020-W49,46766161.71,29.156,34824189.2409,7907891.72,0.0,0.0,-968569413.3467
49,2020-W50,60853234.35,31.8146,36621829.3128,-5861368.51,-0.0,0.0,-1104257297.0823
50,2020-W51,66152102.25,31.3339,37543051.7473,13646847.8,0.0,0.0,-1110218699.5721
51,2020-W52,74246046.21,28.1604,36292600.1569,4780143.21,0.0,0.0,-947766970.948
