src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,STK_001,0,STK_001,0,1.0
0,STK_001,1,USR_001,0,0.2544
0,STK_001,2,USR_002,4,0.1699
0,STK_001,3,USR_003,10,0.228
0,STK_001,4,USR_004,5,0.2793
0,STK_001,5,USR_006,8,0.2195
0,STK_001,6,USR_007,4,0.1917
0,STK_001,7,USR_008,9,0.2954
0,STK_001,8,USR_009,6,0.1814
0,STK_001,9,USR_010,7,0.3562
0,STK_001,10,STK_002,10,0.3171
0,STK_001,11,USR_005,6,0.2365
0,STK_001,12,STK_003,6,0.4678
0,STK_001,13,STK_004,3,0.2623
0,STK_001,14,STK_005,5,0.1211
1,USR_001,0,STK_001,0,0.2544
1,USR_001,1,USR_001,0,1.0
1,USR_001,2,USR_002,3,0.1935
1,USR_001,3,USR_003,9,0.2206
1,USR_001,4,USR_004,5,0.2548
1,USR_001,5,USR_006,11,0.2417
1,USR_001,6,USR_007,2,0.3124
1,USR_001,7,USR_008,7,0.1928
1,USR_001,8,USR_009,7,0.309
1,USR_001,9,USR_010,10,0.314
1,USR_001,10,STK_002,9,0.3032
1,USR_001,11,USR_005,12,0.155
1,USR_001,12,STK_003,5,0.137
1,USR_001,13,STK_004,3,0.2638
1,USR_001,14,STK_005,3,0.2855
2,USR_002,0,STK_001,5,0.2617
2,USR_002,1,USR_001,10,0.1997
2,USR_002,2,USR_002,0,1.0
2,USR_002,3,USR_003,6,0.3098
2,USR_002,4,USR_004,3,0.2886
2,USR_002,5,USR_006,6,0.2222
2,USR_002,6,USR_007,5,0.223
2,USR_002,7,USR_008,0,0.2869
2,USR_002,8,USR_009,11,0.3673
2,USR_002,9,USR_010,12,0.3324
2,USR_002,10,STK_002,7,0.2422
2,USR_002,11,USR_005,7,0.3741
2,USR_002,12,STK_003,4,0.3318
2,USR_002,13,STK_004,10,0.13
2,USR_002,14,STK_005,10,0.2224
3,USR_003,0,STK_001,10,0.1723
3,USR_003,1,USR_001,9,0.1649
3,USR_003,2,USR_002,1,0.4108
3,USR_003,3,USR_003,0,1.0
3,USR_003,4,USR_004,2,0.18
3,USR_003,5,USR_006,6,0.3127
3,USR_003,6,USR_007,10,0.1704
3,USR_003,7,USR_008,2,0.2672
3,USR_003,8,USR_009,1,0.2131
3,USR_003,9,USR_010,1,0.2329
3,USR_003,10,STK_002,0,0.276
3,USR_003,11,USR_005,8,0.3347
3,USR_003,12,STK_003,10,0.1403
3,USR_003,13,STK_004,4,0.1871
3,USR_003,14,STK_005,7,0.4169
4,USR_004,0,STK_001,11,0.2644
4,USR_004,1,USR_001,8,0.1249
4,USR_004,2,USR_002,4,0.4098
4,USR_004,3,USR_003,3,0.1905
4,USR_004,4,USR_004,0,1.0
4,USR_004,5,USR_006,7,0.2029
4,USR_004,6,USR_007,7,0.2191
4,USR_004,7,USR_008,4,0.2453
4,USR_004,8,USR_009,8,0.4025
4,USR_004,9,USR_010,2,0.2513
4,USR_004,10,STK_002,11,0.2633
4,USR_004,11,USR_005,11,0.2541
4,USR_004,12,STK_003,10,0.1791
4,USR_004,13,STK_004,8,0.1627
4,USR_004,14,STK_005,8,0.113
5,USR_006,0,STK_001,2,0.1416
5,USR_006,1,USR_001,2,0.2348
5,USR_006,2,USR_002,11,0.3661
5,USR_006,3,USR_003,11,0.451
5,USR_006,4,USR_004,3,0.3343
5,USR_006,5,USR_006,0,1.0
