t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,2020-W01,0,STK_001,1,USR_001,851662.5,0.0
0,2020-W01,0,STK_001,2,USR_002,3537968.9,0.0
0,2020-W01,0,STK_001,3,USR_003,1659099.19,0.0
0,2020-W01,0,STK_001,4,USR_004,2879994.52,0.0
0,2020-W01,0,STK_001,5,USR_006,427303.8,0.0
0,2020-W01,0,STK_001,6,USR_007,2745228.21,0.0
0,2020-W01,0,STK_001,7,USR_008,1129001.13,0.0
0,2020-W01,0,STK_001,8,USR_009,1540427.08,0.0
0,2020-W01,0,STK_001,9,USR_010,1718583.17,0.0
0,2020-W01,1,USR_001,0,STK_001,1508573.29,0.0
0,2020-W01,1,USR_001,10,STK_002,29161.44,0.0
0,2020-W01,1,USR_001,12,STK_003,1745535.05,0.0
0,2020-W01,1,USR_001,13,STK_004,1199078.45,0.0
0,2020-W01,1,USR_001,14,STK_005,4044935.22,0.0
0,2020-W01,2,USR_002,0,STK_001,2769880.5,0.0
0,2020-W01,2,USR_002,10,STK_002,11766.53,0.0
0,2020-W01,2,USR_002,12,STK_003,2438510.43,0.0
0,2020-W01,2,USR_002,13,STK_004,70313.25,0.0
0,2020-W01,2,USR_002,14,STK_005,639274.46,0.0
0,2020-W01,3,USR_003,0,STK_001,2729174.12,0.0
0,2020-W01,3,USR_003,10,STK_002,126562.45,0.0
0,2020-W01,3,USR_003,12,STK_003,2069780.46,0.0
0,2020-W01,4,USR_004,0,STK_001,3382945.43,0.0
0,2020-W01,4,USR_004,10,STK_002,83368.92,0.0
0,2020-W01,4,USR_004,12,STK_003,285777.8,0.0
0,2020-W01,4,USR_004,13,STK_004,545166.08,0.0
0,2020-W01,4,USR_004,14,STK_005,1474939.26,0.0
0,2020-W01,5,USR_006,0,STK_001,435812.52,0.0
0,2020-W01,5,USR_006,10,STK_002,7747.6,0.0
0,2020-W01,5,USR_006,12,STK_003,1381821.81,0.0
0,2020-W01,5,USR_006,13,STK_004,745956.9,0.0
0,2020-W01,5,USR_006,14,STK_005,2420711.6,0.0
0,2020-W01,6,USR_007,0,STK_001,950905.01,0.0
0,2020-W01,6,USR_007,10,STK_002,58029.43,0.0
0,2020-W01,6,USR_007,13,STK_004,285707.62,0.0
0,2020-W01,6,USR_007,14,STK_005,1027108.2,0.0
0,2020-W01,7,USR_008,0,STK_001,2989074.81,0.0
0,2020-W01,7,USR_008,10,STK_002,72727.2,0.0
0,2020-W01,7,USR_008,13,STK_004,517045.45,0.0
0,2020-W01,7,USR_008,14,STK_005,2691093.08,0.0
0,2020-W01,8,USR_009,10,STK_002,157089.59,0.0
0,2020-W01,8,USR_009,12,STK_003,1089775.32,0.0
0,2020-W01,8,USR_009,13,STK_004,406516.67,0.0
0,2020-W01,8,USR_009,14,STK_005,3526131.97,0.0
0,2020-W01,9,USR_010,0,STK_001,1722902.82,0.0
0,2020-W01,9,USR_010,10,STK_002,20980.77,0.0
0,2020-W01,9,USR_010,12,STK_003,2692387.64,0.0
0,2020-W01,9,USR_010,13,STK_004,359754.14,0.0
0,2020-W01,9,USR_010,14,STK_005,1197577.59,0.0
0,2020-W01,10,STK_002,1,USR_001,117382.34,0.0
0,2020-W01,10,STK_002,2,USR_002,11729.43,0.0
0,2020-W01,10,STK_002,3,USR_003,26415.35,0.0
0,2020-W01,10,STK_002,4,USR_004,116720.88,0.0
0,2020-W01,10,STK_002,5,USR_006,17231.06,0.0
0,2020-W01,10,STK_002,6,USR_007,57150.6,0.0
0,2020-W01,10,STK_002,7,USR_008,73583.27,0.0
0,2020-W01,10,STK_002,8,USR_009,72727.2,0.0
0,2020-W01,10,STK_002,9,USR_010,74488.41,0.0
0,2020-W01,10,STK_002,11,USR_005,17236.45,0.0
0,2020-W01,11,USR_005,10,STK_002,17231.06,0.0
0,2020-W01,11,USR_005,12,STK_003,492301.3,0.0
0,2020-W01,11,USR_005,13,STK_004,904727.55,0.0
0,2020-W01,11,USR_005,14,STK_005,2791866.18,0.0
0,2020-W01,12,STK_003,1,USR_001,2103106.94,0.0
0,2020-W01,12,STK_003,2,USR_002,2019125.32,0.0
0,2020-W01,12,STK_003,3,USR_003,2244601.28,0.0
0,2020-W01,12,STK_003,4,USR_004,409868.41,0.0
0,2020-W01,12,STK_003,5,USR_006,391146.0,0.0
0,2020-W01,12,STK_003,6,USR_007,949651.61,0.0
0,2020-W01,12,STK_003,7,USR_008,1353493.04,0.0
0,2020-W01,12,STK_003,8,USR_009,1125675.69,0.0
0,2020-W01,12,STK_003,9,USR_010,689362.28,0.0
0,2020-W01,12,STK_003,11,USR_005,909859.24,0.0
0,2020-W01,13,STK_004,2,USR_002,72615.17,0.0
0,2020-W01,13,STK_004,4,USR_004,1100289.35,0.0
0,2020-W01,13,STK_004,5,USR_006,223457.79,0.0
0,2020-W01,13,STK_004,6,USR_007,623831.82,0.0
0,2020-W01,13,STK_004,7,USR_008,522944.05,0.0
0,2020-W01,13,STK_004,8,USR_009,561657.83,0.0
0,2020-W01,13,STK_004,9,USR_010,659259.97,0.0
0,2020-W01,13,STK_004,11,USR_005,1270210.13,0.0
0,2020-W01,14,STK_005,1,USR_001,1836852.05,0.0
0,2020-W01,14,STK_005,2,USR_002,1543581.72,0.0
0,2020-W01,14,STK_005,3,USR_003,2163463.96,0.0
0,2020-W01,14,STK_005,4,USR_004,1508411.1,0.0
0,2020-W01,14,STK_005,5,USR_006,1035199.2,0.0
0,2020-W01,14,STK_005,6,USR_007,2802168.84,0.0
0,2020-W01,14,STK_005,7,USR_008,3517734.89,0.0
0,2020-W01,14,STK_005,8,USR_009,1855288.45,0.0
0,2020-W01,14,STK_005,9,USR_010,1756666.98,0.0
0,2020-W01,14,STK_005,11,USR_005,1794270.37,0.0
1,2020-W02,0,STK_001,1,USR_001,785043.7,0.0
1,2020-W02,0,STK_001,2,USR_002,198745.04,0.0
1,2020-W02,0,STK_001,3,USR_003,1596197.96,0.0
1,2020-W02,0,STK_001,4,USR_004,1396397.0,0.0
1,2020-W02,0,STK_001,5,USR_006,3926703.53,0.0
1,2020-W02,0,STK_001,6,USR_007,975308.67,0.0
1,2020-W02,0,STK_001,7,USR_008,2761273.06,0.0
1,2020-W02,0,STK_001,8,USR_009,4130579.62,0.0
1,2020-W02,0,STK_001,9,USR_010,1291746.83,0.0
1,2020-W02,0,STK_001,11,USR_005,1950757.05,0.0
