t_idx,time_label,node_idx,node_label,z_score_X,z_score_v,local_kl_drift,micro_anomaly_flag
0,2020-W01,0,STK_004,0.0,0.0,0.0,0
0,2020-W01,1,USR_003,0.0,0.0,0.0,0
0,2020-W01,2,USR_009,0.0,0.0,0.0,0
0,2020-W01,3,STK_005,0.0,0.0,0.0,0
0,2020-W01,4,USR_005,0.0,0.0,0.0,0
0,2020-W01,5,STK_003,0.0,0.0,0.0,0
0,2020-W01,6,USR_004,0.0,0.0,0.0,0
0,2020-W01,7,USR_007,0.0,0.0,0.0,0
0,2020-W01,8,STK_001,0.0,0.0,0.0,0
0,2020-W01,9,USR_008,0.0,0.0,0.0,0
0,2020-W01,10,USR_006,0.0,0.0,0.0,0
0,2020-W01,11,STK_002,0.0,0.0,0.0,0
0,2020-W01,12,USR_002,0.0,0.0,0.0,0
0,2020-W01,13,USR_010,0.0,0.0,0.0,0
0,2020-W01,14,USR_001,0.0,0.0,0.0,0
1,2020-W02,0,STK_004,0.0,0.0,0.0,0
1,2020-W02,1,USR_003,0.0,0.0,19.0182,1
1,2020-W02,2,USR_009,0.0,0.0,0.0,0
1,2020-W02,3,STK_005,0.0,0.0,20.7233,1
1,2020-W02,4,USR_005,0.0,0.0,0.0,0
1,2020-W02,5,STK_003,0.0,0.0,7.2888,1
1,2020-W02,6,USR_004,0.0,0.0,20.2422,1
1,2020-W02,7,USR_007,0.0,0.0,0.0,0
1,2020-W02,8,STK_001,0.0,0.0,0.0,0
1,2020-W02,9,USR_008,0.0,0.0,0.0,0
1,2020-W02,10,USR_006,0.0,0.0,20.7233,1
1,2020-W02,11,STK_002,0.0,0.0,20.1214,1
1,2020-W02,12,USR_002,0.0,0.0,0.0,0
1,2020-W02,13,USR_010,0.0,0.0,0.0,0
1,2020-W02,14,USR_001,0.0,0.0,0.0,0
2,2020-W03,0,STK_004,0.0,0.0,20.7233,1
2,2020-W03,1,USR_003,0.8888,0.8923,20.7233,1
2,2020-W03,2,USR_009,1.0,1.0,0.0,0
2,2020-W03,3,STK_005,0.0,0.0,0.0,0
2,2020-W03,4,USR_005,5.906,5.056,0.0,1
2,2020-W03,5,STK_003,1.0,1.0,0.0,0
2,2020-W03,6,USR_004,1.535,1.5375,20.7233,1
