t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-W01,0,STK_004,31.8662,8.5,1,29.0242,4.9344,2
0,2020-W01,1,USR_003,25.725,5.6198,3,22.2746,3.7869,0
0,2020-W01,2,USR_009,37.0863,8.5,0,49.99,0.0,0
0,2020-W01,3,STK_005,18.5,8.5,4,29.2559,3.2884,1
0,2020-W01,4,USR_005,10.0,0.0,0,22.3729,3.8036,3
0,2020-W01,5,STK_003,18.5,8.5,6,29.0242,4.9344,7
0,2020-W01,6,USR_004,10.0,0.0,0,22.2746,3.7869,5
0,2020-W01,7,USR_007,25.725,8.5,5,49.99,0.0,0
0,2020-W01,8,STK_001,18.5,8.5,9,42.1444,2.4279,1
0,2020-W01,9,USR_008,10.0,0.0,0,26.9218,4.577,8
0,2020-W01,10,USR_006,10.0,0.0,0,49.99,0.0,0
0,2020-W01,11,STK_002,10.0,0.0,0,49.99,0.0,0
0,2020-W01,12,USR_002,10.0,0.0,0,49.99,0.0,0
0,2020-W01,13,USR_010,10.0,0.0,0,49.99,0.0,0
0,2020-W01,14,USR_001,10.0,0.0,0,49.99,0.0,0
1,2020-W02,0,STK_004,40.5896,11.8326,1,24.7212,4.2467,10
1,2020-W02,1,USR_003,39.3975,15.26,5,10.1442,2.4007,0
1,2020-W02,2,USR_009,10.0,0.0,0,49.99,0.0,0
1,2020-W02,3,STK_005,18.5,8.5,7,46.1143,2.0772,6
1,2020-W02,4,USR_005,10.0,0.0,0,46.6871,2.3911,11
1,2020-W02,5,STK_003,39.5044,10.2435,6,4.9173,1.5008,1
1,2020-W02,6,USR_004,38.0379,13.9329,5,11.3638,2.3282,5
1,2020-W02,7,USR_007,10.0,0.0,0,28.2966,4.8107,3
1,2020-W02,8,STK_001,18.5,8.5,9,49.6055,0.5795,1
1,2020-W02,9,USR_008,10.0,0.0,0,28.9463,4.9212,8
1,2020-W02,10,USR_006,41.0943,8.9431,1,35.8644,4.3761,11
1,2020-W02,11,STK_002,34.853,6.1004,10,48.8116,0.3582,1
1,2020-W02,12,USR_002,10.0,0.0,0,49.99,0.0,0
1,2020-W02,13,USR_010,10.0,0.0,0,49.99,0.0,0
1,2020-W02,14,USR_001,10.0,0.0,0,49.99,0.0,0
2,2020-W03,0,STK_004,18.5,8.5,10,0.0,23.8401,1
2,2020-W03,1,USR_003,25.725,8.5,0,0.0,-5.0652,6
2,2020-W03,2,USR_009,10.0,0.0,0,0.0,-170.4397,1
2,2020-W03,3,STK_005,10.0,0.0,0,0.0,0.0,0
2,2020-W03,4,USR_005,10.0,0.0,0,0.0,-131.8613,1
2,2020-W03,5,STK_003,10.0,0.0,0,0.0,-0.0,1
2,2020-W03,6,USR_004,25.725,8.5,0,0.0,-19.7427,1
2,2020-W03,7,USR_007,10.0,0.0,0,0.0,-28.4997,1
2,2020-W03,8,STK_001,10.0,0.0,0,0.0,0.0,0
2,2020-W03,9,USR_008,10.0,0.0,0,0.0,-99.4591,1
2,2020-W03,10,USR_006,10.0,0.0,0,0.0,22.2721,1
2,2020-W03,11,STK_002,10.0,0.0,0,0.0,0.0,0
2,2020-W03,12,USR_002,10.0,0.0,0,0.0,0.0,0
2,2020-W03,13,USR_010,10.0,0.0,0,0.0,0.0,0
2,2020-W03,14,USR_001,10.0,0.0,0,0.0,0.0,0
3,2020-W04,0,STK_004,10.0,0.0,0,0.0,0.0,0
3,2020-W04,1,USR_003,41.5231,18.8181,5,0.0,-3.6737,6
3,2020-W04,2,USR_009,10.0,0.0,0,0.0,-173.666,1
3,2020-W04,3,STK_005,10.0,0.0,0,0.0,0.0,0
3,2020-W04,4,USR_005,41.5231,18.2912,5,0.0,-153.1134,1
3,2020-W04,5,STK_003,41.5229,15.1544,6,0.0,35.6445,1
3,2020-W04,6,USR_004,41.5231,19.0246,5,0.0,-39.3266,1
3,2020-W04,7,USR_007,41.5231,19.0246,5,0.0,-29.2155,1
3,2020-W04,8,STK_001,10.0,0.0,0,0.0,0.0,0
3,2020-W04,9,USR_008,10.0,0.0,0,0.0,-102.1833,1
3,2020-W04,10,USR_006,41.5231,19.0246,5,0.0,112.9392,1
3,2020-W04,11,STK_002,41.5232,11.9558,5,0.0,624.2367,1
3,2020-W04,12,USR_002,41.5231,19.0246,5,0.0,-60.3039,1
3,2020-W04,13,USR_010,41.5231,19.0246,5,0.0,-4209.1624,1
