node_idx,node_label,dominant_frequency,spectral_power
14,STK_005,0.3333,1802307779508916.0
12,STK_003,0.25,437773307932111.06
0,STK_001,0.2083,396928878889923.2
5,USR_006,0.0417,309715094329028.0
8,USR_009,0.3333,199045665465650.4
1,USR_001,0.0417,191128204038131.75
3,USR_003,0.2083,131050371847537.5
6,USR_007,0.1667,112643816439728.72
2,USR_002,0.25,109616003581952.42
13,STK_004,0.3333,100494997299657.56
4,USR_004,0.4583,99091941581933.89
9,USR_010,0.25,66762215292157.09
11,USR_005,0.25,66370027543219.99
7,USR_008,0.0417,47943977586544.21
10,STK_002,0.0417,2074716667300.9167
