t_idx,component_idx,singular_value,explained_ratio,effective_rank
0,0,9570561.481405,0.281651,13
0,1,9519041.120983,0.280135,13
0,2,4903306.256016,0.144299,13
0,3,3053116.953144,0.089850,13
0,4,2940805.504957,0.086545,13
1,0,12746715.749076,0.293267,13
1,1,12519593.836507,0.288041,13
1,2,5412747.368870,0.124532,13
1,3,4255322.042353,0.097903,13
1,4,3217769.424996,0.074032,13
2,0,15104788.841980,0.326360,14
2,1,14990698.394668,0.323895,14
2,2,4943940.521428,0.106821,14
2,3,3504863.324885,0.075727,14
2,4,2400935.907133,0.051876,14
3,0,11773521.139101,0.316405,13
3,1,11362026.266662,0.305346,13
3,2,3766200.393210,0.101214,13
3,3,3188890.473528,0.085699,13
3,4,2573124.086360,0.069151,13
4,0,15062934.956491,0.334326,12
4,1,14701858.342432,0.326312,12
4,2,4594727.579045,0.101981,12
4,3,3502890.799488,0.077748,12
4,4,2065807.209675,0.045851,12
5,0,55005248.340915,0.393325,15
5,1,53274420.334078,0.380948,15
5,2,11840437.401733,0.084667,15
5,3,8789605.934646,0.062852,15
5,4,4530439.899678,0.032396,15
6,0,13132708.397477,0.314912,14
6,1,11858131.602481,0.284349,14
6,2,4593179.175467,0.110141,14
6,3,4509070.784836,0.108124,14
6,4,2196272.823132,0.052665,14
7,0,15480445.143169,0.286729,14
7,1,15278585.168144,0.282990,14
7,2,7241153.632080,0.134121,14
7,3,6768827.712251,0.125372,14
7,4,3650758.660739,0.067619,14
8,0,11471698.270722,0.296420,15
8,1,10895546.258724,0.281533,15
8,2,5464787.303567,0.141206,15
8,3,3338242.440563,0.086258,15
8,4,2555925.192733,0.066043,15
9,0,10743666.858038,0.264758,13
9,1,10519994.898282,0.259246,13
9,2,4738463.678186,0.116771,13
9,3,4608772.896488,0.113575,13
9,4,3257559.155237,0.080277,13
10,0,16109569.656863,0.297130,14
10,1,15825597.464618,0.291892,14
10,2,6727151.748607,0.124078,14
10,3,4489574.412111,0.082807,14
10,4,3407804.665627,0.062855,14
11,0,19249339.719093,0.272979,13
11,1,18192881.734430,0.257997,13
11,2,9594321.043963,0.136059,13
