t_idx,node_idx,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,0,0.0000,0.0000,0
0,1,0.0000,0.0000,0
0,2,0.0000,0.0000,0
0,3,0.0000,0.0000,0
0,4,0.0000,0.0000,0
0,5,0.0000,0.0000,0
0,6,0.0000,0.0000,0
0,7,0.0000,0.0000,0
0,8,0.0000,0.0000,0
0,9,0.0000,0.0000,0
0,10,0.0000,0.0000,0
0,11,0.0000,0.0000,0
0,12,0.0000,0.0000,0
0,13,0.0000,0.0000,0
0,14,0.0000,0.0000,0
1,0,2.4048,0.0000,1
1,1,0.1603,0.0000,0
1,2,1.0388,0.0000,0
1,3,4.9338,0.0000,1
1,4,0.0633,0.0000,0
1,5,0.3131,0.0000,0
1,6,7.7758,0.0000,1
1,7,7.2798,0.0000,1
1,8,1.9077,0.0000,0
1,9,0.7424,0.0000,0
1,10,0.5546,0.0000,0
1,11,1.6585,0.0000,0
1,12,0.3640,0.0000,0
1,13,3.5941,0.0000,1
1,14,0.3724,0.0000,0
2,0,0.2086,1.0000,0
2,1,0.0590,3.9643,1
2,2,0.3596,1.7788,0
2,3,0.8662,0.6662,0
2,4,0.2118,4.5673,1
2,5,0.3004,0.7642,0
2,6,0.0654,1.9781,0
2,7,0.0710,5.9850,1
2,8,0.4818,3.2731,1
2,9,0.1066,1.1938,0
2,10,0.2367,5.0000,1
2,11,0.3561,44.0676,1
2,12,0.3525,1.0000,0
2,13,0.3672,0.0000,0
2,14,0.3522,0.0000,0
3,0,0.2201,1.4142,0
3,1,0.3318,0.2485,0
3,2,0.2820,1.2428,0
3,3,0.5089,1.0948,0
3,4,0.0476,0.5902,0
3,5,0.0344,0.0077,0
3,6,0.1283,0.1621,0
3,7,0.2803,1.2754,0
3,8,0.2490,2.8957,0
3,9,0.0274,1.2284,0
3,10,0.2606,0.2673,0
3,11,0.1959,2.2306,0
3,12,0.2674,0.7071,0
3,13,0.2141,0.7071,0
3,14,0.1084,0.0000,0
4,0,0.2234,3.0000,0
4,1,0.0479,1.0571,0
4,2,0.2666,0.3825,0
4,3,0.3107,1.0457,0
4,4,0.2444,0.4236,0
4,5,0.4924,1.0796,0
4,6,0.3166,0.1002,0
4,7,0.0824,0.3510,0
4,8,0.0450,3.8130,1
4,9,0.0706,4.0127,1
4,10,0.2357,0.2294,0
4,11,0.0660,1.5261,0
4,12,0.2288,0.5774,0
4,13,0.3330,0.5774,0
4,14,0.2103,0.0000,0
5,0,0.1144,0.2673,0
5,1,0.2171,1.5111,0
5,2,0.1906,1.0174,0
5,3,0.0544,7.0114,1
5,4,0.1483,0.6317,0
5,5,0.5288,3.7035,1
5,6,0.0182,0.1316,0
5,7,0.5456,1.1547,0
5,8,0.1559,2.1057,0
5,9,0.0501,3.0186,1
5,10,0.0951,0.2041,0
5,11,0.0652,0.3217,0
5,12,0.0973,0.7500,0
5,13,0.2064,1.7500,0
5,14,0.8257,6.3246,1
6,0,0.4715,1.6977,0
6,1,0.3245,0.6664,0
6,2,0.4442,0.3131,0
6,3,0.1505,6.6047,1
6,4,0.3979,0.5022,0
6,5,0.1008,0.8948,0
6,6,0.0341,0.7976,0
6,7,0.0471,0.7203,0
6,8,0.4761,0.1334,0
6,9,0.1197,1.6950,0
6,10,0.4052,0.1857,0
6,11,0.1673,2.6532,0
6,12,0.2588,0.6547,0
6,13,0.0811,1.2999,0
6,14,0.0880,0.4170,0
7,0,0.2043,1.3229,0
7,1,0.0974,0.8528,0
7,2,0.0898,0.5262,0
7,3,0.0955,2.2136,0
7,4,0.1545,0.0468,0
7,5,0.6451,0.1282,0
7,6,0.1374,0.5240,0
7,7,0.1918,1.6037,0
7,8,0.2323,0.1243,0
7,9,0.0271,2.5054,0
7,10,0.3593,0.1715,0
7,11,0.4837,0.9257,0
7,12,0.1632,0.7845,0
7,13,0.3414,4.3205,1
7,14,0.2396,0.3814,0
8,0,0.2534,0.1601,0
8,1,0.3185,1.6025,0
8,2,0.1982,0.9738,0
8,3,0.3806,1.1825,0
8,4,0.2540,1.0146,0
8,5,0.2839,0.1290,0
8,6,0.1461,1.7764,0
8,7,0.2768,1.2515,0
8,8,0.1021,0.5486,0
8,9,0.2638,1.0617,0
8,10,0.0763,0.1601,0
8,11,0.1328,2.5575,0
8,12,0.1776,0.7071,0
8,13,0.1568,1.5811,0
8,14,0.1541,1.0607,0
9,0,0.2822,0.1508,0
9,1,0.5339,0.2812,0
9,2,0.4325,0.7234,0
9,3,0.1189,0.1665,0
9,4,0.8291,0.9614,0
9,5,0.0353,0.9263,0
9,6,0.2942,1.6962,0
9,7,0.4048,0.4512,0
9,8,0.6123,0.3964,0
9,9,0.1518,0.0694,0
9,10,0.0645,5.2764,1
9,11,0.3463,2.1332,0
9,12,0.4541,0.6489,0
9,13,0.3178,0.1319,0
9,14,0.2629,0.2357,0
10,0,0.1276,0.1429,0
10,1,0.7518,0.5588,0
10,2,0.0770,0.8769,0
10,3,0.3556,1.5675,0
10,4,0.0415,0.2461,0
10,5,0.0779,0.0570,0
10,6,0.0488,0.1661,0
10,7,0.1256,1.4529,0
10,8,0.0540,1.5363,0
10,9,0.0637,0.7489,0
10,10,0.2532,0.3676,0
10,11,0.2663,0.9787,0
10,12,0.1471,0.6030,0
10,13,0.2618,0.1250,0
10,14,0.1269,0.5203,0
11,0,0.2636,0.1361,0
11,1,0.0687,0.2112,0
11,2,0.1521,0.4468,0
11,3,0.0475,0.3496,0
11,4,0.0558,0.3293,0
11,5,0.4582,0.1289,0
11,6,0.0506,0.6861,0
11,7,0.1056,0.3737,0
11,8,0.4222,2.5719,0
11,9,0.1769,1.5131,0
11,10,0.2624,1.1844,0
11,11,0.3372,0.2368,0
