Transaction_ID,Timestamp,Stock_ID,Buyer_ID,Seller_ID,Price,Volume,Transaction_Amount,Memo
M_000001,2020-01-03T11:23:50,STK_004,USR_003,USR_009,1880.80,242,455153.60,Normal
M_000003,2020-01-04T14:00:15,STK_005,USR_005,USR_003,3949.39,75,296204.25,Normal
M_000002,2020-01-04T14:09:51,STK_003,USR_004,USR_007,2128.67,132,280984.44,Normal
M_000004,2020-01-05T12:00:27,STK_001,USR_008,USR_003,3450.22,44,151809.68,Normal
M_000005,2020-01-06T09:59:40,STK_001,USR_008,USR_003,3425.71,136,465896.56,Normal
M_000006,2020-01-07T13:08:29,STK_004,USR_003,USR_006,1818.29,209,380022.61,Normal
M_000008,2020-01-08T11:08:27,STK_002,USR_005,USR_003,1103.08,44,48535.52,Normal
M_000007,2020-01-08T13:50:03,STK_005,USR_007,USR_004,3996.19,267,1066982.73,Normal
M_000009,2020-01-09T09:39:37,STK_003,USR_005,USR_004,2067.66,171,353569.86,Normal
M_000010,2020-01-09T13:36:16,STK_005,USR_007,USR_003,4040.30,38,153531.40,Normal
M_000011,2020-01-09T15:18:00,STK_003,USR_004,USR_003,2050.82,1756,3601239.92,MM_Balance
M_000012,2020-01-10T15:21:00,STK_003,USR_003,USR_004,2057.61,2469,5080239.09,MM_Balance
M_000013,2020-01-10T15:40:00,STK_003,USR_004,USR_003,2057.61,2407,4952667.27,MM_Balance
M_000015,2020-01-11T10:20:52,STK_002,USR_006,USR_003,1092.63,199,217433.37,Normal
M_000014,2020-01-11T14:01:17,STK_002,USR_005,USR_004,1085.29,37,40155.73,Normal
M_000016,2020-01-13T13:11:23,STK_004,USR_006,USR_003,1853.28,112,207567.36,Normal
M_000017,2020-01-15T11:44:21,STK_004,USR_006,USR_004,1863.05,99,184441.95,Normal
M_000018,2020-01-20T13:00:00,STK_003,USR_004,USR_002,1654.13,45564,75368779.32,Panic_Dump_Whale
M_000019,2020-01-20T13:00:07,STK_003,USR_003,USR_005,1444.44,615,888330.60,Panic_Dump_Retail
M_000020,2020-01-20T13:00:15,STK_003,USR_003,USR_006,1419.79,227,322292.33,Panic_Dump_Retail
M_000021,2020-01-20T13:00:22,STK_003,USR_003,USR_007,1531.85,14,21445.90,Panic_Dump_Retail
M_000022,2020-01-20T13:00:29,STK_003,USR_003,USR_010,1344.13,801,1076648.13,Panic_Dump_Retail
M_000023,2020-01-21T15:47:00,STK_003,USR_003,USR_004,1592.58,1039,1654690.62,MM_Balance
M_000024,2020-01-22T10:02:28,STK_002,USR_003,USR_005,1083.03,74,80144.22,Normal
M_000025,2020-01-22T15:52:00,STK_003,USR_003,USR_004,1576.81,2592,4087091.52,MM_Balance
M_000027,2020-01-23T09:57:38,STK_003,USR_005,USR_003,1540.42,225,346594.50,Normal
M_000026,2020-01-23T12:09:37,STK_003,USR_008,USR_003,1547.62,1,1547.62,Normal
M_000028,2020-01-23T15:57:00,STK_003,USR_003,USR_004,1560.06,2301,3589698.06,MM_Balance
M_000029,2020-01-24T15:39:00,STK_003,USR_003,USR_004,1540.86,2167,3339043.62,MM_Balance
M_000030,2020-01-25T13:26:49,STK_002,USR_005,USR_003,1092.55,133,145309.15,Normal
M_000031,2020-01-25T15:45:00,STK_003,USR_004,USR_003,1544.86,2322,3587164.92,MM_Balance
M_000032,2020-01-25T15:50:00,STK_003,USR_003,USR_004,1544.86,1917,2961496.62,MM_Balance
M_000033,2020-01-26T15:13:00,STK_003,USR_004,USR_003,1548.73,1392,2155832.16,MM_Balance
M_000034,2020-01-26T15:46:00,STK_003,USR_003,USR_004,1548.73,1566,2425311.18,MM_Balance
M_000035,2020-01-27T10:08:57,STK_001,USR_003,USR_006,3322.37,293,973454.41,Normal
M_000036,2020-01-27T10:40:41,STK_003,USR_004,USR_001,1378.38,10374,14299314.12,Normal
M_000037,2020-01-27T15:52:00,STK_003,USR_003,USR_004,1577.63,1233,1945217.79,MM_Balance
M_000039,2020-01-28T09:44:20,STK_001,USR_003,USR_009,3353.52,118,395715.36,Normal
M_000038,2020-01-28T13:01:47,STK_004,USR_003,USR_008,1950.48,277,540282.96,Normal
