t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2020-01,0,38622195.384787,0.545856,5
0,2020-01,1,31990005.335419,0.452122,5
0,2020-01,2,118968.38966,0.001681,5
0,2020-01,3,24109.361459,0.000341,5
0,2020-01,4,0.0,0.0,5
1,2020-02,0,35665099.927637,0.555169,4
1,2020-02,1,28174489.720116,0.438569,4
1,2020-02,2,375862.425592,0.005851,4
1,2020-02,3,26418.616272,0.000411,4
1,2020-02,4,0.0,0.0,4
2,2020-03,0,54132443.028352,0.780069,5
2,2020-03,1,11065049.662762,0.159452,5
2,2020-03,2,4128068.96739,0.059487,5
2,2020-03,3,68869.293395,0.000992,5
2,2020-03,4,0.0,0.0,5
3,2020-04,0,3983169.593924,0.46814,5
3,2020-04,1,2401100.874158,0.2822,5
3,2020-04,2,1720437.584494,0.202202,5
3,2020-04,3,403788.42196,0.047457,5
3,2020-04,4,0.0,0.0,5
4,2020-05,0,144898217.307685,0.500943,5
4,2020-05,1,137910847.347602,0.476786,5
4,2020-05,2,6403471.084258,0.022138,5
4,2020-05,3,38567.379266,0.000133,5
4,2020-05,4,0.0,0.0,5
5,2020-06,0,16125577.926781,0.481765,5
5,2020-06,1,16034950.786829,0.479058,5
5,2020-06,2,711402.48608,0.021254,5
5,2020-06,3,599912.734477,0.017923,5
5,2020-06,4,0.0,0.0,5
6,2020-07,0,194402359.10953,0.501736,5
6,2020-07,1,192830022.954382,0.497678,5
6,2020-07,2,190063.867708,0.000491,5
6,2020-07,3,36917.93628,9.5e-05,5
6,2020-07,4,0.0,0.0,5
7,2020-08,0,172069411.457954,0.508099,6
7,2020-08,1,166551175.575505,0.491805,6
7,2020-08,2,32607.612341,9.6e-05,6
7,2020-08,3,12.140088,0.0,6
7,2020-08,4,0.0,0.0,6
8,2020-09,0,173920992.481314,0.504894,5
8,2020-09,1,170347056.708229,0.494519,5
8,2020-09,2,140415.459873,0.000408,5
8,2020-09,3,62056.107768,0.00018,5
8,2020-09,4,0.0,0.0,5
9,2020-10,0,81345135.015896,0.630715,6
9,2020-10,1,44996291.270528,0.348882,6
9,2020-10,2,2621455.504506,0.020326,6
9,2020-10,3,10000.800413,7.8e-05,6
9,2020-10,4,0.0,0.0,6
10,2020-11,0,396207617.176298,0.502331,4
10,2020-11,1,392445559.656313,0.497561,4
10,2020-11,2,76031.709652,9.6e-05,4
10,2020-11,3,8815.333322,1.1e-05,4
10,2020-11,4,0.0,0.0,4
11,2020-12,0,422145369.250909,0.500237,4
11,2020-12,1,421745220.725386,0.499763,4
11,2020-12,2,198.608657,0.0,4
11,2020-12,3,0.010033,0.0,4
11,2020-12,4,0.0,0.0,4
12,2021-01,0,388689560.66823,0.500511,4
12,2021-01,1,387876430.774016,0.499463,4
12,2021-01,2,19937.055006,2.6e-05,4
12,2021-01,3,219.556768,0.0,4
12,2021-01,4,0.0,0.0,4
13,2021-02,0,441359055.493298,0.503066,4
13,2021-02,1,435978869.13111,0.496934,4
13,2021-02,2,357.343744,0.0,4
13,2021-02,3,24.405463,0.0,4
13,2021-02,4,0.0,0.0,4
14,2021-03,0,265168277.514683,0.500424,5
14,2021-03,1,264718827.015421,0.499576,5
14,2021-03,2,177.656377,0.0,5
14,2021-03,3,9.4e-05,0.0,5
14,2021-03,4,0.0,0.0,5
15,2021-04,0,16607438.395734,0.515384,4
15,2021-04,1,15526889.130542,0.481851,4
15,2021-04,2,88419.290424,0.002744,4
15,2021-04,3,657.074375,2e-05,4
15,2021-04,4,0.0,0.0,4
16,2021-05,0,18685113.275405,0.516474,5
16,2021-05,1,17233632.453564,0.476353,5
16,2021-05,2,255807.920843,0.007071,5
16,2021-05,3,3698.331271,0.000102,5
16,2021-05,4,0.0,0.0,5
17,2021-06,0,9051871.965016,0.500661,4
17,2021-06,1,9015661.98225,0.498659,4
17,2021-06,2,9411.346535,0.000521,4
17,2021-06,3,2881.02414,0.000159,4
17,2021-06,4,0.0,0.0,4
18,2021-07,0,96633996.476967,0.512397,4
18,2021-07,1,91929147.623528,0.487449,4
18,2021-07,2,28921.865733,0.000153,4
18,2021-07,3,123.727078,1e-06,4
18,2021-07,4,0.0,0.0,4
19,2021-08,0,73330506.343639,0.500277,4
19,2021-08,1,73247325.947479,0.49971,4
19,2021-08,2,1853.728881,1.3e-05,4
19,2021-08,3,0.231935,0.0,4
19,2021-08,4,0.0,0.0,4
20,2021-09,0,2150256.607192,0.752164,4
20,2021-09,1,593054.645101,0.207452,4
20,2021-09,2,113873.327786,0.039833,4
20,2021-09,3,1574.567588,0.000551,4
20,2021-09,4,0.0,0.0,4
21,2021-10,0,1353531.907577,0.501773,4
21,2021-10,1,1343963.31878,0.498226,4
21,2021-10,2,3.820236,1e-06,4
21,2021-10,3,0.194379,0.0,4
21,2021-10,4,0.0,0.0,4
22,2021-11,0,1482474.866747,0.519507,4
22,2021-11,1,1371135.719179,0.48049,4
22,2021-11,2,4.998242,2e-06,4
22,2021-11,3,3.030824,1e-06,4
22,2021-11,4,0.0,0.0,4
23,2021-12,0,45669213.791129,0.980076,4
23,2021-12,1,908646.306622,0.0195,4
23,2021-12,2,19709.982899,0.000423,4
23,2021-12,3,32.837755,1e-06,4
23,2021-12,4,0.0,0.0,4
