t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2020-01,0.0,0.0,0.0,0.0,0
1,2020-02,0.0,0.6143,0.0,0.0,0
2,2020-03,0.0,6.2257,1.7289,3.085,1
3,2020-04,0.0,13.8361,4.4561,0.587,1
4,2020-05,0.0,9.9902,0.5954,2.0072,1
5,2020-06,0.0,6.1666,1.5022,1.817,1
6,2020-07,0.0,18.3872,1.0088,3.3577,1
7,2020-08,0.0,6.6467,1.003,1.3606,1
8,2020-09,0.0,10.8612,2.3162,0.5231,1
9,2020-10,0.0,6.2574,2.0415,6.1136,1
10,2020-11,0.0,4.3252,1.4732,1.7903,1
11,2020-12,0.0,6.9946,1.004,1.7029,1
12,2021-01,0.0,19.2671,2.6597,0.8652,1
13,2021-02,0.0,6.3269,0.8887,0.5168,1
14,2021-03,0.0,3.9832,1.2443,3.2882,1
15,2021-04,0.0,7.0993,1.2986,0.4773,1
16,2021-05,0.0,13.3363,1.709,1.6645,1
17,2021-06,0.0,9.5489,4.2255,0.881,1
18,2021-07,0.0,12.0084,2.6975,0.9991,1
19,2021-08,0.0,23.6711,4.0675,1.5644,1
20,2021-09,0.0,10.3556,1.0068,1.2527,1
21,2021-10,0.0,2.2228,0.7011,0.093,1
22,2021-11,0.0,5.5713,1.1315,1.1044,1
23,2021-12,0.0,9.1214,0.7024,240.9307,1
