t_idx,time_label,node_idx,node_label,account_category,z_score_X,z_score_v,local_kl_drift,micro_anomaly_flag
0,2020-01,0,00_USR_001,Unknown,0.0,0.0,0.0,0
0,2020-01,1,01_USR_002,Unknown,0.0,0.0,0.0,0
0,2020-01,2,02_USR_003,Unknown,0.0,0.0,0.0,0
0,2020-01,3,03_USR_004,Unknown,0.0,0.0,0.0,0
0,2020-01,4,04_USR_005,Unknown,0.0,0.0,0.0,0
0,2020-01,5,05_USR_006,Unknown,0.0,0.0,0.0,0
0,2020-01,6,06_USR_007,Unknown,0.0,0.0,0.0,0
0,2020-01,7,07_USR_008,Unknown,0.0,0.0,0.0,0
0,2020-01,8,08_USR_009,Unknown,0.0,0.0,0.0,0
0,2020-01,9,09_USR_010,Unknown,0.0,0.0,0.0,0
0,2020-01,10,10_STK_001,Unknown,0.0,0.0,0.0,0
0,2020-01,11,11_STK_002,Unknown,0.0,0.0,0.0,0
0,2020-01,12,12_STK_003,Unknown,0.0,0.0,0.0,0
0,2020-01,13,13_STK_004,Unknown,0.0,0.0,0.0,0
0,2020-01,14,14_STK_005,Unknown,0.0,0.0,0.0,0
1,2020-02,0,00_USR_001,Unknown,0.0,0.0,0.0,0
1,2020-02,1,01_USR_002,Unknown,0.0,0.0,0.0,0
1,2020-02,2,02_USR_003,Unknown,0.0,0.0,3.1766,1
1,2020-02,3,03_USR_004,Unknown,0.0,0.0,0.1664,0
1,2020-02,4,04_USR_005,Unknown,0.0,0.0,0.533,0
1,2020-02,5,05_USR_006,Unknown,0.0,0.0,0.0,0
1,2020-02,6,06_USR_007,Unknown,0.0,0.0,14.1076,1
1,2020-02,7,07_USR_008,Unknown,0.0,0.0,11.9157,1
1,2020-02,8,08_USR_009,Unknown,0.0,0.0,0.5772,0
1,2020-02,9,09_USR_010,Unknown,0.0,0.0,20.1854,1
1,2020-02,10,10_STK_001,Unknown,0.0,0.0,0.0,0
1,2020-02,11,11_STK_002,Unknown,0.0,0.0,0.0,0
1,2020-02,12,12_STK_003,Unknown,0.0,0.0,0.0,0
1,2020-02,13,13_STK_004,Unknown,0.0,0.0,0.0,0
1,2020-02,14,14_STK_005,Unknown,0.0,0.0,0.0,0
2,2020-03,0,00_USR_001,Unknown,0.7691,0.7738,0.0,0
2,2020-03,1,01_USR_002,Unknown,41.5793,41.6514,20.7233,1
2,2020-03,2,02_USR_003,Unknown,13.1595,11.4962,0.1147,1
2,2020-03,3,03_USR_004,Unknown,1.1793,1.1455,0.8011,0
2,2020-03,4,04_USR_005,Unknown,1.8573,2.068,0.2314,0
2,2020-03,5,05_USR_006,Unknown,17.3818,37.4343,0.6931,1
2,2020-03,6,06_USR_007,Unknown,12.7855,12.474,1.0359,1
2,2020-03,7,07_USR_008,Unknown,1.9562,2.1296,0.6057,0
2,2020-03,8,08_USR_009,Unknown,2.5796,2.7941,0.05,0
2,2020-03,9,09_USR_010,Unknown,1.5914,1.7931,0.7833,0
2,2020-03,10,10_STK_001,Unknown,0.0,0.0,0.0,0
2,2020-03,11,11_STK_002,Unknown,0.0,0.0,0.0,0
2,2020-03,12,12_STK_003,Unknown,0.0,0.0,0.0,0
2,2020-03,13,13_STK_004,Unknown,0.0,0.0,0.0,0
2,2020-03,14,14_STK_005,Unknown,0.0,0.0,0.0,0
3,2020-04,0,00_USR_001,Unknown,1.4063,1.4067,0.0,0
3,2020-04,1,01_USR_002,Unknown,0.6555,0.6556,0.0,0
3,2020-04,2,02_USR_003,Unknown,0.5699,0.4927,3.758,1
3,2020-04,3,03_USR_004,Unknown,0.3101,0.3482,0.6466,0
3,2020-04,4,04_USR_005,Unknown,2.8195,3.1418,0.0364,1
3,2020-04,5,05_USR_006,Unknown,2.4614,2.7543,0.4055,0
3,2020-04,6,06_USR_007,Unknown,0.5067,0.5016,0.8438,0
3,2020-04,7,07_USR_008,Unknown,4.3028,1.9983,0.6551,1
3,2020-04,8,08_USR_009,Unknown,1.025,1.0678,1.7144,0
3,2020-04,9,09_USR_010,Unknown,3.3264,4.0576,1.5306,1
3,2020-04,10,10_STK_001,Unknown,0.0,0.0,0.0,0
3,2020-04,11,11_STK_002,Unknown,0.0,0.0,0.0,0
3,2020-04,12,12_STK_003,Unknown,0.0,0.0,0.0,0
3,2020-04,13,13_STK_004,Unknown,0.0,0.0,0.0,0
3,2020-04,14,14_STK_005,Unknown,0.0,0.0,0.0,0
4,2020-05,0,00_USR_001,Unknown,25.1461,25.2037,20.7233,1
4,2020-05,1,01_USR_002,Unknown,1.0046,0.9922,1.2505,0
4,2020-05,2,02_USR_003,Unknown,0.1375,0.899,0.4739,0
4,2020-05,3,03_USR_004,Unknown,0.5203,0.375,2.7441,1
4,2020-05,4,04_USR_005,Unknown,1.0175,0.7093,2.5315,1
4,2020-05,5,05_USR_006,Unknown,0.2474,0.1922,0.4055,0
4,2020-05,6,06_USR_007,Unknown,3.3482,3.741,0.5593,1
4,2020-05,7,07_USR_008,Unknown,0.573,0.4461,0.731,0
4,2020-05,8,08_USR_009,Unknown,2.7273,2.8836,1.0042,0
4,2020-05,9,09_USR_010,Unknown,0.7491,0.3561,0.0126,0
4,2020-05,10,10_STK_001,Unknown,0.0,0.0,0.0,0
4,2020-05,11,11_STK_002,Unknown,0.0,0.0,0.0,0
4,2020-05,12,12_STK_003,Unknown,0.0,0.0,0.0,0
4,2020-05,13,13_STK_004,Unknown,0.0,0.0,0.0,0
4,2020-05,14,14_STK_005,Unknown,0.0,0.0,0.0,0
5,2020-06,0,00_USR_001,Unknown,1.3441,1.3247,20.7233,1
5,2020-06,1,01_USR_002,Unknown,0.5372,0.5429,0.0,0
5,2020-06,2,02_USR_003,Unknown,1.1842,2.0352,0.882,0
5,2020-06,3,03_USR_004,Unknown,0.7022,0.6054,0.9812,0
5,2020-06,4,04_USR_005,Unknown,1.6294,0.7441,0.5325,0
5,2020-06,5,05_USR_006,Unknown,4.6358,4.1719,0.0,1
5,2020-06,6,06_USR_007,Unknown,1.2556,1.1149,0.4046,0
5,2020-06,7,07_USR_008,Unknown,0.5119,0.2091,0.9453,0
5,2020-06,8,08_USR_009,Unknown,0.0883,0.2211,0.3572,0
5,2020-06,9,09_USR_010,Unknown,4.883,3.3071,0.3782,1
5,2020-06,10,10_STK_001,Unknown,0.0,0.0,0.0,0
5,2020-06,11,11_STK_002,Unknown,0.0,0.0,0.0,0
5,2020-06,12,12_STK_003,Unknown,0.0,0.0,0.0,0
5,2020-06,13,13_STK_004,Unknown,0.0,0.0,0.0,0
5,2020-06,14,14_STK_005,Unknown,0.0,0.0,0.0,0
6,2020-07,0,00_USR_001,Unknown,0.372,0.3798,0.0,0
6,2020-07,1,01_USR_002,Unknown,1.8227,1.8381,0.0,0
6,2020-07,2,02_USR_003,Unknown,1.0084,1.0343,1.2343,0
6,2020-07,3,03_USR_004,Unknown,2.5399,2.0839,0.3568,0
6,2020-07,4,04_USR_005,Unknown,15.8208,13.4692,0.1688,1
6,2020-07,5,05_USR_006,Unknown,3.9083,3.3466,16.6404,1
6,2020-07,6,06_USR_007,Unknown,1.9488,2.0391,1.0982,0
6,2020-07,7,07_USR_008,Unknown,0.6698,0.5037,0.0852,0
6,2020-07,8,08_USR_009,Unknown,0.2519,0.3025,8.9016,1
6,2020-07,9,09_USR_010,Unknown,1.4821,1.8398,2.0868,1
6,2020-07,10,10_STK_001,Unknown,0.0,0.0,0.0,0
6,2020-07,11,11_STK_002,Unknown,0.0,0.0,0.0,0
6,2020-07,12,12_STK_003,Unknown,0.0,0.0,0.0,0
6,2020-07,13,13_STK_004,Unknown,0.0,0.0,0.0,0
6,2020-07,14,14_STK_005,Unknown,0.0,0.0,0.0,0
7,2020-08,0,00_USR_001,Unknown,0.372,0.3798,0.0,0
7,2020-08,1,01_USR_002,Unknown,1.4026,1.4016,1.1094,0
7,2020-08,2,02_USR_003,Unknown,0.0334,0.1831,0.1043,0
7,2020-08,3,03_USR_004,Unknown,6.1441,5.2163,0.3166,1
7,2020-08,4,04_USR_005,Unknown,0.818,1.0987,0.9616,0
7,2020-08,5,05_USR_006,Unknown,0.1984,0.3253,0.0,0
7,2020-08,6,06_USR_007,Unknown,0.1146,0.0219,0.4057,0
7,2020-08,7,07_USR_008,Unknown,5.18,2.5919,0.0,1
7,2020-08,8,08_USR_009,Unknown,0.6359,0.6786,1.0986,0
7,2020-08,9,09_USR_010,Unknown,2.1031,2.8669,0.6108,0
7,2020-08,10,10_STK_001,Unknown,0.0,0.0,0.0,0
7,2020-08,11,11_STK_002,Unknown,0.0,0.0,0.0,0
7,2020-08,12,12_STK_003,Unknown,0.0,0.0,0.0,0
7,2020-08,13,13_STK_004,Unknown,0.0,0.0,0.0,0
7,2020-08,14,14_STK_005,Unknown,0.0,0.0,0.0,0
