t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2020-01,0,00_USR_001,Unknown,3274025.3699
0,2020-01,1,01_USR_002,Unknown,0.0
0,2020-01,2,02_USR_003,Unknown,-12564181.1363
0,2020-01,3,03_USR_004,Unknown,-8538755.8209
0,2020-01,4,04_USR_005,Unknown,423806.6151
0,2020-01,5,05_USR_006,Unknown,507308.6365
0,2020-01,6,06_USR_007,Unknown,-36161.527
0,2020-01,7,07_USR_008,Unknown,571789.9243
0,2020-01,8,08_USR_009,Unknown,-113692.6375
0,2020-01,9,09_USR_010,Unknown,1197139.2618
0,2020-01,10,10_STK_001,Unknown,0.0
0,2020-01,11,11_STK_002,Unknown,0.0
0,2020-01,12,12_STK_003,Unknown,0.0
0,2020-01,13,13_STK_004,Unknown,0.0
0,2020-01,14,14_STK_005,Unknown,0.0
1,2020-02,0,00_USR_001,Unknown,0.0
1,2020-02,1,01_USR_002,Unknown,2416457.9515
1,2020-02,2,02_USR_003,Unknown,-4993078.287
1,2020-02,3,03_USR_004,Unknown,-8783065.9974
1,2020-02,4,04_USR_005,Unknown,-86258.5086
1,2020-02,5,05_USR_006,Unknown,733312.0292
1,2020-02,6,06_USR_007,Unknown,-260736.1976
1,2020-02,7,07_USR_008,Unknown,-362065.1706
1,2020-02,8,08_USR_009,Unknown,834064.2156
1,2020-02,9,09_USR_010,Unknown,-20823.4619
1,2020-02,10,10_STK_001,Unknown,0.0
1,2020-02,11,11_STK_002,Unknown,0.0
1,2020-02,12,12_STK_003,Unknown,0.0
1,2020-02,13,13_STK_004,Unknown,0.0
1,2020-02,14,14_STK_005,Unknown,0.0
2,2020-03,0,00_USR_001,Unknown,5731341.6964
2,2020-03,1,01_USR_002,Unknown,-53852982.52
2,2020-03,2,02_USR_003,Unknown,9431599.1458
2,2020-03,3,03_USR_004,Unknown,14441815.3635
2,2020-03,4,04_USR_005,Unknown,609135.1845
2,2020-03,5,05_USR_006,Unknown,-69.69
2,2020-03,6,06_USR_007,Unknown,1618784.6807
2,2020-03,7,07_USR_008,Unknown,-639588.639
2,2020-03,8,08_USR_009,Unknown,-167222.9177
2,2020-03,9,09_USR_010,Unknown,1170719.7127
2,2020-03,10,10_STK_001,Unknown,0.0
2,2020-03,11,11_STK_002,Unknown,0.0
2,2020-03,12,12_STK_003,Unknown,0.0
2,2020-03,13,13_STK_004,Unknown,0.0
2,2020-03,14,14_STK_005,Unknown,0.0
3,2020-04,0,00_USR_001,Unknown,0.0
3,2020-04,1,01_USR_002,Unknown,0.0
3,2020-04,2,02_USR_003,Unknown,512794.0428
3,2020-04,3,03_USR_004,Unknown,820091.5617
3,2020-04,4,04_USR_005,Unknown,-893709.5951
3,2020-04,5,05_USR_006,Unknown,-484018.0435
3,2020-04,6,06_USR_007,Unknown,-244.08
3,2020-04,7,07_USR_008,Unknown,1225506.4186
3,2020-04,8,08_USR_009,Unknown,888988.669
3,2020-04,9,09_USR_010,Unknown,-2069408.9735
3,2020-04,10,10_STK_001,Unknown,0.0
3,2020-04,11,11_STK_002,Unknown,0.0
3,2020-04,12,12_STK_003,Unknown,0.0
3,2020-04,13,13_STK_004,Unknown,0.0
3,2020-04,14,14_STK_005,Unknown,0.0
4,2020-05,0,00_USR_001,Unknown,-39364213.68
4,2020-05,1,01_USR_002,Unknown,9585652.0373
4,2020-05,2,02_USR_003,Unknown,18613297.1873
4,2020-05,3,03_USR_004,Unknown,15855506.4743
4,2020-05,4,04_USR_005,Unknown,-423356.4029
4,2020-05,5,05_USR_006,Unknown,-291.84
4,2020-05,6,06_USR_007,Unknown,-1277575.6295
4,2020-05,7,07_USR_008,Unknown,-190366.0827
4,2020-05,8,08_USR_009,Unknown,-1839673.4941
4,2020-05,9,09_USR_010,Unknown,-958978.5697
4,2020-05,10,10_STK_001,Unknown,0.0
4,2020-05,11,11_STK_002,Unknown,0.0
4,2020-05,12,12_STK_003,Unknown,0.0
4,2020-05,13,13_STK_004,Unknown,0.0
4,2020-05,14,14_STK_005,Unknown,0.0
5,2020-06,0,00_USR_001,Unknown,13524226.1475
5,2020-06,1,01_USR_002,Unknown,0.0
5,2020-06,2,02_USR_003,Unknown,-11356382.2579
5,2020-06,3,03_USR_004,Unknown,376609.2549
5,2020-06,4,04_USR_005,Unknown,-1182710.9847
5,2020-06,5,05_USR_006,Unknown,-1408170.1261
5,2020-06,6,06_USR_007,Unknown,94279.101
5,2020-06,7,07_USR_008,Unknown,-212208.211
5,2020-06,8,08_USR_009,Unknown,-319972.9147
5,2020-06,9,09_USR_010,Unknown,484329.991
5,2020-06,10,10_STK_001,Unknown,0.0
5,2020-06,11,11_STK_002,Unknown,0.0
5,2020-06,12,12_STK_003,Unknown,0.0
5,2020-06,13,13_STK_004,Unknown,0.0
5,2020-06,14,14_STK_005,Unknown,0.0
6,2020-07,0,00_USR_001,Unknown,0.0
6,2020-07,1,01_USR_002,Unknown,9493180.0604
6,2020-07,2,02_USR_003,Unknown,-24809648.7598
6,2020-07,3,03_USR_004,Unknown,-20409507.7723
6,2020-07,4,04_USR_005,Unknown,767423.2141
6,2020-07,5,05_USR_006,Unknown,860807.0954
6,2020-07,6,06_USR_007,Unknown,1496750.8696
6,2020-07,7,07_USR_008,Unknown,-504860.4836
6,2020-07,8,08_USR_009,Unknown,-228612.7983
6,2020-07,9,09_USR_010,Unknown,2126155.5582
6,2020-07,10,10_STK_001,Unknown,0.0
6,2020-07,11,11_STK_002,Unknown,0.0
6,2020-07,12,12_STK_003,Unknown,0.0
6,2020-07,13,13_STK_004,Unknown,0.0
6,2020-07,14,14_STK_005,Unknown,0.0
7,2020-08,0,00_USR_001,Unknown,0.0
7,2020-08,1,01_USR_002,Unknown,-20946.25
7,2020-08,2,02_USR_003,Unknown,2465376.7801
7,2020-08,3,03_USR_004,Unknown,-1313391.6323
7,2020-08,4,04_USR_005,Unknown,678501.465
7,2020-08,5,05_USR_006,Unknown,286753.0862
7,2020-08,6,06_USR_007,Unknown,385590.3208
7,2020-08,7,07_USR_008,Unknown,0.0
7,2020-08,8,08_USR_009,Unknown,-266153.1804
7,2020-08,9,09_USR_010,Unknown,-3107755.0867
7,2020-08,10,10_STK_001,Unknown,0.0
7,2020-08,11,11_STK_002,Unknown,0.0
7,2020-08,12,12_STK_003,Unknown,0.0
7,2020-08,13,13_STK_004,Unknown,0.0
7,2020-08,14,14_STK_005,Unknown,0.0
8,2020-09,0,00_USR_001,Unknown,-30517.76
8,2020-09,1,01_USR_002,Unknown,7496288.6242
8,2020-09,2,02_USR_003,Unknown,-15083120.7234
8,2020-09,3,03_USR_004,Unknown,-8964583.2463
