t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
0,2020-01,0,00_USR_001,Unknown,0.0,6156480.88
0,2020-01,1,01_USR_002,Unknown,0.0,0.0
0,2020-01,2,02_USR_003,Unknown,0.0,7948336.82
0,2020-01,3,03_USR_004,Unknown,0.0,293309.3
0,2020-01,4,04_USR_005,Unknown,0.0,733551.58
0,2020-01,5,05_USR_006,Unknown,0.0,862076.43
0,2020-01,6,06_USR_007,Unknown,0.0,13190.36
0,2020-01,7,07_USR_008,Unknown,0.0,734505.81
0,2020-01,8,08_USR_009,Unknown,0.0,89191.7
0,2020-01,9,09_USR_010,Unknown,0.0,1405373.24
0,2020-01,10,10_STK_001,Unknown,-0.0,0.0
0,2020-01,11,11_STK_002,Unknown,0.0,0.0
0,2020-01,12,12_STK_003,Unknown,0.0,0.0
0,2020-01,13,13_STK_004,Unknown,0.0,0.0
0,2020-01,14,14_STK_005,Unknown,0.0,0.0
1,2020-02,0,00_USR_001,Unknown,0.0,10000000.0
1,2020-02,1,01_USR_002,Unknown,0.0,2649500.28
1,2020-02,2,02_USR_003,Unknown,0.0,1444323.97
1,2020-02,3,03_USR_004,Unknown,0.0,5999174.94
1,2020-02,4,04_USR_005,Unknown,0.0,161009.83
1,2020-02,5,05_USR_006,Unknown,0.0,909402.49
1,2020-02,6,06_USR_007,Unknown,0.0,157105.09
1,2020-02,7,07_USR_008,Unknown,0.0,299128.51
1,2020-02,8,08_USR_009,Unknown,0.0,978682.5
1,2020-02,9,09_USR_010,Unknown,0.0,312489.47
1,2020-02,10,10_STK_001,Unknown,-0.0,0.0
1,2020-02,11,11_STK_002,Unknown,-0.0,0.0
1,2020-02,12,12_STK_003,Unknown,0.0,0.0
1,2020-02,13,13_STK_004,Unknown,0.0,0.0
1,2020-02,14,14_STK_005,Unknown,0.0,0.0
2,2020-03,0,00_USR_001,Unknown,0.0,6591195.94
2,2020-03,1,01_USR_002,Unknown,0.0,53852982.52
2,2020-03,2,02_USR_003,Unknown,0.0,50737903.44
2,2020-03,3,03_USR_004,Unknown,0.0,751138.16
2,2020-03,4,04_USR_005,Unknown,0.0,144721.62
2,2020-03,5,05_USR_006,Unknown,0.0,69.69
2,2020-03,6,06_USR_007,Unknown,0.0,812446.23
2,2020-03,7,07_USR_008,Unknown,0.0,882901.42
2,2020-03,8,08_USR_009,Unknown,0.0,708730.78
2,2020-03,9,09_USR_010,Unknown,0.0,120885.86
2,2020-03,10,10_STK_001,Unknown,-0.0,0.0
2,2020-03,11,11_STK_002,Unknown,-0.0,0.0
2,2020-03,12,12_STK_003,Unknown,-0.0,0.0
2,2020-03,13,13_STK_004,Unknown,0.0,0.0
2,2020-03,14,14_STK_005,Unknown,0.0,0.0
3,2020-04,0,00_USR_001,Unknown,0.0,10000000.0
3,2020-04,1,01_USR_002,Unknown,0.0,0.0
3,2020-04,2,02_USR_003,Unknown,0.0,2064451.63
3,2020-04,3,03_USR_004,Unknown,0.0,579032.44
3,2020-04,4,04_USR_005,Unknown,0.0,893752.33
3,2020-04,5,05_USR_006,Unknown,0.0,560867.57
3,2020-04,6,06_USR_007,Unknown,0.0,244.08
3,2020-04,7,07_USR_008,Unknown,0.0,1187240.65
3,2020-04,8,08_USR_009,Unknown,0.0,855647.67
3,2020-04,9,09_USR_010,Unknown,0.0,2073443.53
3,2020-04,10,10_STK_001,Unknown,-0.0,0.0
3,2020-04,11,11_STK_002,Unknown,-0.0,0.0
3,2020-04,12,12_STK_003,Unknown,-0.0,0.0
3,2020-04,13,13_STK_004,Unknown,0.0,0.0
3,2020-04,14,14_STK_005,Unknown,0.0,0.0
4,2020-05,0,00_USR_001,Unknown,0.0,49364213.68
4,2020-05,1,01_USR_002,Unknown,0.0,8761667.94
4,2020-05,2,02_USR_003,Unknown,0.0,38841623.22
4,2020-05,3,03_USR_004,Unknown,0.0,3037137.02
4,2020-05,4,04_USR_005,Unknown,0.0,606757.44
4,2020-05,5,05_USR_006,Unknown,0.0,291.84
4,2020-05,6,06_USR_007,Unknown,0.0,1371303.46
4,2020-05,7,07_USR_008,Unknown,0.0,387035.11
4,2020-05,8,08_USR_009,Unknown,0.0,1839680.17
4,2020-05,9,09_USR_010,Unknown,0.0,996872.44
4,2020-05,10,10_STK_001,Unknown,-0.0,0.0
4,2020-05,11,11_STK_002,Unknown,-0.0,0.0
4,2020-05,12,12_STK_003,Unknown,-0.0,0.0
4,2020-05,13,13_STK_004,Unknown,0.0,0.0
4,2020-05,14,14_STK_005,Unknown,0.0,0.0
5,2020-06,0,00_USR_001,Unknown,0.0,3726422.24
5,2020-06,1,01_USR_002,Unknown,0.0,0.0
5,2020-06,2,02_USR_003,Unknown,0.0,11616965.79
5,2020-06,3,03_USR_004,Unknown,0.0,1905037.93
5,2020-06,4,04_USR_005,Unknown,0.0,777995.73
5,2020-06,5,05_USR_006,Unknown,0.0,1289746.72
5,2020-06,6,06_USR_007,Unknown,0.0,818352.6
5,2020-06,7,07_USR_008,Unknown,0.0,212124.12
5,2020-06,8,08_USR_009,Unknown,0.0,319967.29
5,2020-06,9,09_USR_010,Unknown,0.0,1577062.74
5,2020-06,10,10_STK_001,Unknown,-0.0,0.0
5,2020-06,11,11_STK_002,Unknown,-0.0,0.0
5,2020-06,12,12_STK_003,Unknown,0.0,0.0
5,2020-06,13,13_STK_004,Unknown,0.0,0.0
5,2020-06,14,14_STK_005,Unknown,0.0,0.0
6,2020-07,0,00_USR_001,Unknown,0.0,10000000.0
6,2020-07,1,01_USR_002,Unknown,0.0,10512446.68
6,2020-07,2,02_USR_003,Unknown,0.0,12274771.48
6,2020-07,3,03_USR_004,Unknown,0.0,3933759.87
6,2020-07,4,04_USR_005,Unknown,0.0,828413.0
6,2020-07,5,05_USR_006,Unknown,0.0,1149758.87
6,2020-07,6,06_USR_007,Unknown,0.0,1657640.98
6,2020-07,7,07_USR_008,Unknown,0.0,158815.3
6,2020-07,8,08_USR_009,Unknown,0.0,100919.76
6,2020-07,9,09_USR_010,Unknown,0.0,2320006.88
6,2020-07,10,10_STK_001,Unknown,-0.0,0.0
6,2020-07,11,11_STK_002,Unknown,-0.0,0.0
6,2020-07,12,12_STK_003,Unknown,0.0,0.0
