Timestamp,Src,Tgt,Transaction_Amount
2020-01,USR_004,USR_005,737803.08
2020-01,USR_004,USR_010,1405373.24
2020-01,USR_004,USR_008,754180.14
2020-01,USR_003,USR_004,38581097.39
2020-01,USR_007,USR_003,168223.0
2020-01,USR_003,USR_008,196961.07
2020-01,USR_004,USR_003,31669245.810000002
2020-01,USR_009,USR_004,561382.0
2020-01,USR_004,USR_009,1369268.46
2020-01,USR_005,USR_004,456996.06
2020-01,USR_009,USR_003,718694.76
2020-01,USR_008,USR_004,216635.4
2020-01,USR_003,USR_005,774505.96
2020-01,USR_005,USR_003,321761.4
2020-01,USR_004,USR_006,169828.56
2020-01,USR_004,USR_007,155032.64
2020-01,USR_003,USR_006,1273697.37
2020-01,USR_004,USR_001,3843519.12
2020-01,USR_006,USR_004,581449.5
2020-02,USR_005,USR_004,1533202.6600000001
2020-02,USR_010,USR_004,1956459.01
2020-02,USR_004,USR_003,35617480.519999996
2020-02,USR_003,USR_004,27790963.82
2020-02,USR_004,USR_006,909402.49
2020-02,USR_007,USR_004,947835.0
2020-02,USR_004,USR_009,387044.74
2020-02,USR_003,USR_007,1178200.76
2020-02,USR_003,USR_010,2067040.64
2020-02,USR_008,USR_003,616225.0599999999
2020-02,USR_008,USR_004,398441.7
2020-02,USR_004,USR_010,782418.01
2020-02,USR_003,USR_005,764481.12
2020-02,USR_007,USR_003,387470.85
2020-02,USR_009,USR_003,200493.92
2020-02,USR_004,USR_005,929731.37
2020-02,USR_010,USR_003,580510.17
2020-02,USR_003,USR_009,792131.68
2020-02,USR_003,USR_002,2649500.28
2020-02,USR_003,USR_008,715538.25
2020-03,USR_010,USR_003,836536.52
2020-03,USR_010,USR_004,1153321.9
2020-03,USR_004,USR_008,357111.8
2020-03,USR_004,USR_010,1773708.25
2020-03,USR_005,USR_004,1123069.41
2020-03,USR_004,USR_007,1183468.35
2020-03,USR_002,USR_003,53852982.519999996
2020-03,USR_003,USR_004,10928336.93
2020-03,USR_008,USR_003,1034744.22
2020-03,USR_004,USR_009,794774.72
2020-03,USR_004,USR_005,521756.28
2020-03,USR_003,USR_005,456591.51
