t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2020-01,0,38622198.552205,0.535046,8
0,2020-01,1,31990034.913024,0.443169,8
0,2020-01,2,1154903.044888,0.015999,8
0,2020-01,3,344652.345955,0.004775,8
0,2020-01,4,53393.627273,0.00074,8
1,2020-02,0,35665100.620004,0.551956,8
1,2020-02,1,28174498.070933,0.436031,8
1,2020-02,2,465574.030805,0.007205,8
1,2020-02,3,236123.873541,0.003654,8
1,2020-02,4,58978.565554,0.000913,8
2,2020-03,0,54132511.61607,0.775828,8
2,2020-03,1,11065085.026353,0.158585,8
2,2020-03,2,4128732.89013,0.059173,8
2,2020-03,3,264126.254767,0.003785,8
2,2020-03,4,135549.240395,0.001943,8
3,2020-04,0,3983263.489792,0.440962,8
3,2020-04,1,2418751.181345,0.267765,8
3,2020-04,2,1720895.644533,0.19051,8
3,2020-04,3,502537.09287,0.055633,8
3,2020-04,4,365406.121809,0.040452,8
4,2020-05,0,144898217.477821,0.500113,8
4,2020-05,1,137910865.870698,0.475996,8
4,2020-05,2,6407625.816,0.022116,8
4,2020-05,3,469715.838201,0.001621,8
4,2020-05,4,31069.125136,0.000107,8
5,2020-06,0,16125932.014738,0.465974,7
5,2020-06,1,16034967.718856,0.463345,7
5,2020-06,2,1067514.142042,0.030847,7
5,2020-06,3,672862.058592,0.019443,7
5,2020-06,4,418530.427637,0.012094,7
6,2020-07,0,194402359.154317,0.500983,8
6,2020-07,1,192830023.005424,0.496931,8
6,2020-07,2,575646.325087,0.001483,8
6,2020-07,3,166724.894979,0.00043,8
6,2020-07,4,34997.142041,9e-05,8
7,2020-08,0,172069411.503579,0.50745,7
7,2020-08,1,166551175.579351,0.491176,7
7,2020-08,2,273448.828002,0.000806,7
7,2020-08,3,169830.017344,0.000501,7
7,2020-08,4,22673.252523,6.7e-05,7
8,2020-09,0,173920992.496976,0.504257,8
8,2020-09,1,170347056.843874,0.493895,8
8,2020-09,2,376376.706845,0.001091,8
8,2020-09,3,136824.785517,0.000397,8
8,2020-09,4,72265.41152,0.00021,8
9,2020-10,0,81345351.652966,0.626457,9
9,2020-10,1,44996293.196739,0.346526,9
9,2020-10,2,2636783.163372,0.020306,9
9,2020-10,3,543886.630153,0.004189,9
9,2020-10,4,317933.371491,0.002448,9
10,2020-11,0,396207617.184861,0.501819,8
10,2020-11,1,392445559.667219,0.497054,8
10,2020-11,2,795498.103183,0.001008,8
10,2020-11,3,66369.417694,8.4e-05,8
10,2020-11,4,19700.58144,2.5e-05,8
11,2020-12,0,422145369.250909,0.499418,7
11,2020-12,1,421745220.725699,0.498945,7
11,2020-12,2,908569.298006,0.001075,7
11,2020-12,3,474896.030055,0.000562,7
11,2020-12,4,193.690529,0.0,7
12,2021-01,0,388689560.677365,0.49997,8
12,2021-01,1,387876430.801311,0.498924,8
12,2021-01,2,834513.912644,0.001073,8
12,2021-01,3,17524.397043,2.3e-05,8
12,2021-01,4,7970.483538,1e-05,8
13,2021-02,0,441359055.495526,0.502684,8
13,2021-02,1,435978869.131354,0.496556,8
13,2021-02,2,494151.812674,0.000563,8
13,2021-02,3,172919.38516,0.000197,8
13,2021-02,4,223.795124,0.0,8
14,2021-03,0,265168277.55677,0.499127,8
14,2021-03,1,264718827.015421,0.498281,8
14,2021-03,2,959064.051829,0.001805,8
14,2021-03,3,417540.662711,0.000786,8
14,2021-03,4,159.825777,0.0,8
15,2021-04,0,16607438.697498,0.500188,7
15,2021-04,1,15526896.573698,0.467644,7
15,2021-04,2,533518.064104,0.016069,7
15,2021-04,3,454352.661978,0.013684,7
15,2021-04,4,79735.127537,0.002401,7
16,2021-05,0,18685365.191447,0.498343,8
16,2021-05,1,17233673.220241,0.459626,8
16,2021-05,2,1145223.251473,0.030543,8
16,2021-05,3,270208.879423,0.007207,8
16,2021-05,4,158240.278946,0.00422,8
17,2021-06,0,9051895.484957,0.473747,7
17,2021-06,1,9015737.950559,0.471855,7
17,2021-06,2,583893.927047,0.030559,7
17,2021-06,3,446160.71853,0.023351,7
17,2021-06,4,6684.642445,0.00035,7
18,2021-07,0,96633996.534757,0.50971,8
18,2021-07,1,91929148.539322,0.484894,8
18,2021-07,2,617464.712394,0.003257,8
18,2021-07,3,384107.356712,0.002026,8
18,2021-07,4,21381.312565,0.000113,8
19,2021-08,0,73330506.512239,0.497982,8
19,2021-08,1,73247325.947483,0.497417,8
19,2021-08,2,377113.686447,0.002561,8
19,2021-08,3,298733.308936,0.002029,8
19,2021-08,4,1562.55407,1.1e-05,8
20,2021-09,0,2150798.152157,0.639556,6
20,2021-09,1,593117.109558,0.176368,6
20,2021-09,2,380590.25075,0.113171,6
20,2021-09,3,128669.031978,0.038261,6
20,2021-09,4,108535.187017,0.032274,6
21,2021-10,0,1353531.910069,0.375716,6
21,2021-10,1,1343963.329525,0.37306,6
21,2021-10,2,659606.338741,0.183095,6
21,2021-10,3,245435.514994,0.068128,6
21,2021-10,4,3.484876,1e-06,6
22,2021-11,0,1482474.97527,0.421318,6
22,2021-11,1,1371135.963761,0.389675,6
22,2021-11,2,385016.093246,0.109421,6
22,2021-11,3,280029.930039,0.079584,6
22,2021-11,4,3.454605,1e-06,6
23,2021-12,0,45669445.724473,0.97397,6
23,2021-12,1,908648.477616,0.019378,6
23,2021-12,2,292180.313386,0.006231,6
23,2021-12,3,19709.126699,0.00042,6
23,2021-12,4,31.708525,1e-06,6
