t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,coherence,phase_shift
3,2020-04,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
4,2020-05,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
5,2020-06,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
6,2020-07,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
7,2020-08,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
8,2020-09,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
9,2020-10,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
10,2020-11,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
11,2020-12,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
12,2021-01,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
13,2021-02,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
14,2021-03,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
15,2021-04,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
16,2021-05,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
17,2021-06,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
18,2021-07,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
19,2021-08,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,0.0
20,2021-09,0,00_ACC_Input_From_Outside,0,00_ACC_Input_From_Outside,1.0,-0.0
3,2020-04,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,2.4095
4,2020-05,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-2.4014
5,2020-06,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,0.1683
6,2020-07,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,1.8328
7,2020-08,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-1.3402
8,2020-09,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-0.3492
9,2020-10,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,0.9161
10,2020-11,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-1.4823
11,2020-12,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,0.4495
12,2021-01,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,2.1412
13,2021-02,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-0.3747
14,2021-03,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-0.8144
15,2021-04,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,1.5133
16,2021-05,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-1.1605
17,2021-06,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-0.7036
18,2021-07,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-0.3944
19,2021-08,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,-0.512
20,2021-09,0,00_ACC_Input_From_Outside,1,01_ACC_Output_To_Outside,1.0,3.1408
3,2020-04,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,0.3742
4,2020-05,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,0.8317
5,2020-06,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,1.3196
6,2020-07,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,1.534
7,2020-08,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,2.7701
8,2020-09,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,0.3724
9,2020-10,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,1.2278
10,2020-11,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-1.6316
11,2020-12,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-0.2698
12,2021-01,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,2.3742
13,2021-02,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-0.6114
14,2021-03,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,0.0576
15,2021-04,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-3.1386
16,2021-05,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-2.471
17,2021-06,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-1.7022
18,2021-07,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-0.2203
19,2021-08,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,0.5805
20,2021-09,0,00_ACC_Input_From_Outside,2,02_USR_001,1.0,-0.5711
3,2020-04,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-0.9208
4,2020-05,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,1.0758
5,2020-06,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,2.3467
6,2020-07,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-0.5411
7,2020-08,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,1.9688
8,2020-09,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-0.4644
9,2020-10,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,0.6623
10,2020-11,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,2.1935
11,2020-12,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,2.8031
12,2021-01,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-2.2173
13,2021-02,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,1.1718
14,2021-03,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,2.5265
15,2021-04,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-0.2197
16,2021-05,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,0.253
17,2021-06,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,1.4296
18,2021-07,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-2.3899
19,2021-08,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,-1.3767
20,2021-09,0,00_ACC_Input_From_Outside,3,03_USR_002,1.0,1.106
3,2020-04,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,0.4069
4,2020-05,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,1.1342
5,2020-06,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-2.1579
6,2020-07,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-1.2048
7,2020-08,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-1.1631
8,2020-09,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,1.8925
9,2020-10,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-1.3609
10,2020-11,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-0.018
11,2020-12,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,0.1741
12,2021-01,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-0.7183
13,2021-02,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,1.1242
14,2021-03,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,0.8348
15,2021-04,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-2.99
16,2021-05,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-3.1259
17,2021-06,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-2.1477
18,2021-07,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-0.7074
19,2021-08,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,-0.1826
20,2021-09,0,00_ACC_Input_From_Outside,4,04_USR_003,1.0,2.9264
3,2020-04,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,0.4318
4,2020-05,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,1.0905
5,2020-06,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-2.0433
6,2020-07,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-1.1975
7,2020-08,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-1.1516
8,2020-09,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,1.7319
9,2020-10,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-1.2105
10,2020-11,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-0.0089
11,2020-12,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,0.165
12,2021-01,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-0.7266
13,2021-02,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,1.1052
14,2021-03,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,0.8224
15,2021-04,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-2.9719
16,2021-05,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-3.041
17,2021-06,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-2.1521
18,2021-07,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-0.7311
19,2021-08,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,-0.2171
20,2021-09,0,00_ACC_Input_From_Outside,5,05_USR_004,1.0,2.8936
3,2020-04,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,0.2997
4,2020-05,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,0.1319
5,2020-06,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,0.5041
6,2020-07,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-3.1396
7,2020-08,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-1.2453
8,2020-09,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-0.0285
9,2020-10,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,0.6774
10,2020-11,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,2.2049
11,2020-12,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-1.3867
12,2021-01,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-0.2217
13,2021-02,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,3.0306
14,2021-03,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-1.8984
15,2021-04,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,0.4175
16,2021-05,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,0.6497
17,2021-06,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-2.3663
18,2021-07,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-0.5851
19,2021-08,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,-0.8119
20,2021-09,0,00_ACC_Input_From_Outside,6,06_USR_005,1.0,1.3732
3,2020-04,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,2.2623
4,2020-05,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-2.0272
5,2020-06,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-1.1558
6,2020-07,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-0.3792
7,2020-08,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,1.8855
8,2020-09,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,0.2014
9,2020-10,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-0.1274
10,2020-11,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,0.5579
11,2020-12,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,0.0784
12,2021-01,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-0.9913
13,2021-02,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,1.3539
14,2021-03,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,1.5322
15,2021-04,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-0.7032
16,2021-05,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-0.1432
17,2021-06,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-0.5207
18,2021-07,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,0.1153
19,2021-08,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,0.9749
20,2021-09,0,00_ACC_Input_From_Outside,7,07_USR_006,1.0,-1.0269
3,2020-04,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,0.0826
4,2020-05,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,0.4543
5,2020-06,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,0.3545
6,2020-07,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,0.5328
7,2020-08,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,-2.7921
8,2020-09,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,0.9553
9,2020-10,0,00_ACC_Input_From_Outside,8,08_USR_007,1.0,1.7332
