src_idx,src_label,tgt_idx,tgt_label,optimal_lag,max_correlation
0,USR_009,0,USR_009,0,1.0
0,USR_009,1,USR_003,11,0.1773
0,USR_009,2,USR_005,2,0.4058
0,USR_009,3,USR_007,8,0.2761
0,USR_009,4,USR_004,11,0.2975
0,USR_009,5,USR_008,10,0.1754
0,USR_009,6,USR_006,2,0.173
0,USR_009,7,USR_002,6,0.3229
0,USR_009,8,USR_010,6,0.2104
0,USR_009,9,USR_001,12,0.1277
1,USR_003,0,USR_009,11,0.2623
1,USR_003,1,USR_003,0,1.0
1,USR_003,2,USR_005,9,0.2919
1,USR_003,3,USR_007,10,0.4269
1,USR_003,4,USR_004,0,0.2528
1,USR_003,5,USR_008,3,0.3097
1,USR_003,6,USR_006,4,0.1457
1,USR_003,7,USR_002,4,0.1989
1,USR_003,8,USR_010,9,0.2812
1,USR_003,9,USR_001,8,0.2292
2,USR_005,0,USR_009,1,0.2907
2,USR_005,1,USR_003,12,0.2916
2,USR_005,2,USR_005,0,1.0
2,USR_005,3,USR_007,6,0.3559
2,USR_005,4,USR_004,12,0.268
2,USR_005,5,USR_008,1,0.3312
2,USR_005,6,USR_006,10,0.1889
2,USR_005,7,USR_002,8,0.1721
2,USR_005,8,USR_010,8,0.259
2,USR_005,9,USR_001,10,0.1573
3,USR_007,0,USR_009,6,0.1926
3,USR_007,1,USR_003,6,0.2597
3,USR_007,2,USR_005,11,0.4307
3,USR_007,3,USR_007,0,1.0
3,USR_007,4,USR_004,2,0.3715
3,USR_007,5,USR_008,4,0.3717
3,USR_007,6,USR_006,7,0.1484
3,USR_007,7,USR_002,12,0.239
3,USR_007,8,USR_010,7,0.2324
3,USR_007,9,USR_001,9,0.438
4,USR_004,0,USR_009,4,0.4706
4,USR_004,1,USR_003,0,0.2528
4,USR_004,2,USR_005,9,0.5189
4,USR_004,3,USR_007,12,0.3637
4,USR_004,4,USR_004,0,1.0
4,USR_004,5,USR_008,12,0.2268
4,USR_004,6,USR_006,5,0.1048
4,USR_004,7,USR_002,10,0.2551
4,USR_004,8,USR_010,1,0.1024
4,USR_004,9,USR_001,8,0.1436
5,USR_008,0,USR_009,10,0.2747
5,USR_008,1,USR_003,12,0.2323
5,USR_008,2,USR_005,4,0.2691
5,USR_008,3,USR_007,0,0.3672
5,USR_008,4,USR_004,2,0.2008
5,USR_008,5,USR_008,0,1.0
5,USR_008,6,USR_006,1,0.2406
5,USR_008,7,USR_002,8,0.1195
5,USR_008,8,USR_010,6,0.2351
5,USR_008,9,USR_001,5,0.4015
6,USR_006,0,USR_009,5,0.3028
6,USR_006,1,USR_003,11,0.2637
6,USR_006,2,USR_005,7,0.1942
6,USR_006,3,USR_007,7,0.2261
6,USR_006,4,USR_004,9,0.1843
6,USR_006,5,USR_008,7,0.1902
6,USR_006,6,USR_006,0,1.0
6,USR_006,7,USR_002,0,0.2465
6,USR_006,8,USR_010,0,0.2834
6,USR_006,9,USR_001,4,0.0978
7,USR_002,0,USR_009,6,0.3504
7,USR_002,1,USR_003,12,0.0384
7,USR_002,2,USR_005,5,0.3974
7,USR_002,3,USR_007,9,0.2334
7,USR_002,4,USR_004,10,0.3665
7,USR_002,5,USR_008,4,0.1172
7,USR_002,6,USR_006,1,0.2485
7,USR_002,7,USR_002,0,1.0
7,USR_002,8,USR_010,0,0.4062
7,USR_002,9,USR_001,9,0.0987
8,USR_010,0,USR_009,6,0.2141
8,USR_010,1,USR_003,4,0.1313
8,USR_010,2,USR_005,5,0.2554
8,USR_010,3,USR_007,11,0.1626
8,USR_010,4,USR_004,10,0.3098
8,USR_010,5,USR_008,2,0.3354
8,USR_010,6,USR_006,0,0.2834
8,USR_010,7,USR_002,0,0.4062
8,USR_010,8,USR_010,0,1.0
8,USR_010,9,USR_001,11,0.1957
9,USR_001,0,USR_009,12,0.5087
9,USR_001,1,USR_003,1,0.4078
9,USR_001,2,USR_005,4,0.1016
9,USR_001,3,USR_007,9,0.3165
9,USR_001,4,USR_004,9,0.2241
9,USR_001,5,USR_008,9,0.2675
9,USR_001,6,USR_006,11,0.1682
9,USR_001,7,USR_002,5,0.2167
9,USR_001,8,USR_010,2,0.0866
9,USR_001,9,USR_001,0,1.0
