t_idx,time_label,node_idx,node_label,curvature,density
0,2020-W01,0,00_USR_001,0.0,0.0
0,2020-W01,1,01_USR_002,0.0,0.0
0,2020-W01,2,02_USR_003,0.0,903167.53
0,2020-W01,3,03_USR_004,0.0,280984.44
0,2020-W01,4,04_USR_005,0.0,296204.25
0,2020-W01,5,05_USR_006,0.0,0.0
0,2020-W01,6,06_USR_007,0.0,280984.44
0,2020-W01,7,07_USR_008,0.0,151809.68
0,2020-W01,8,08_USR_009,0.0,455153.6
0,2020-W01,9,09_USR_010,0.0,0.0
1,2020-W02,0,00_USR_001,0.0,0.0
1,2020-W02,1,01_USR_002,0.0,0.0
1,2020-W02,2,02_USR_003,0.0,14899565.74
1,2020-W02,3,03_USR_004,0.0,15094854.6
1,2020-W02,4,04_USR_005,0.0,442261.11
1,2020-W02,5,05_USR_006,0.0,597455.98
1,2020-W02,6,06_USR_007,0.0,1220514.13
1,2020-W02,7,07_USR_008,0.0,465896.56
1,2020-W02,8,08_USR_009,0.0,0.0
1,2020-W02,9,09_USR_010,0.0,0.0
2,2020-W03,0,00_USR_001,0.0,0.0
2,2020-W03,1,01_USR_002,0.0,0.0
2,2020-W03,2,02_USR_003,7757656.99,207567.36
2,2020-W03,3,03_USR_004,3929377.07,184441.95
2,2020-W03,4,04_USR_005,588317.97,0.0
2,2020-W03,5,05_USR_006,717187.79,392009.31
2,2020-W03,6,06_USR_007,2722012.7,0.0
2,2020-W03,7,07_USR_008,779983.44,0.0
2,2020-W03,8,08_USR_009,455153.6,0.0
2,2020-W03,9,09_USR_010,0.0,0.0
3,2020-W04,0,00_USR_001,0.0,0.0
3,2020-W04,1,01_USR_002,75368779.32,75368779.32
3,2020-W04,2,02_USR_003,10645836.83,26682641.15
3,2020-W04,3,03_USR_004,65436288.46,99169108.02
3,2020-W04,4,04_USR_005,34310.06,1460378.47
3,2020-W04,5,05_USR_006,1268900.19,322292.33
3,2020-W04,6,06_USR_007,1199068.23,21445.9
3,2020-W04,7,07_USR_008,467444.18,1547.62
3,2020-W04,8,08_USR_009,0.0,0.0
3,2020-W04,9,09_USR_010,1076648.13,1076648.13
4,2020-W05,0,00_USR_001,14299314.12,14299314.12
4,2020-W05,1,01_USR_002,150737558.64,0.0
4,2020-W05,2,02_USR_003,21163266.9,41225520.8
4,2020-W05,3,03_USR_004,118254981.84,53162103.57
4,2020-W05,4,04_USR_005,1430556.42,477414.08
4,2020-W05,5,05_USR_006,63139.56,973454.41
4,2020-W05,6,06_USR_007,307847.68,350739.48
4,2020-W05,7,07_USR_008,543378.2,540282.96
4,2020-W05,8,08_USR_009,184237.86,975668.58
4,2020-W05,9,09_USR_010,2153296.26,0.0
5,2020-W06,0,00_USR_001,28598628.24,0.0
5,2020-W06,1,01_USR_002,75368779.32,0.0
5,2020-W06,2,02_USR_003,3632293.14,46791573.21
5,2020-W06,3,03_USR_004,42594975.15,47613142.53
5,2020-W06,4,04_USR_005,1431399.33,0.0
5,2020-W06,5,05_USR_006,963274.97,661341.52
5,2020-W06,6,06_USR_007,946911.36,266878.3
5,2020-W06,7,07_USR_008,1364374.75,282261.21
5,2020-W06,8,08_USR_009,524496.63,156020.91
5,2020-W06,9,09_USR_010,775782.33,300865.8
6,2020-W07,0,00_USR_001,14299314.12,0.0
6,2020-W07,1,01_USR_002,0.0,0.0
6,2020-W07,2,02_USR_003,3239590.65,43286695.49
6,2020-W07,3,03_USR_004,19258978.58,44265538.89
6,2020-W07,4,04_USR_005,477414.08,0.0
6,2020-W07,5,05_USR_006,688761.42,558616.31
6,2020-W07,6,06_USR_007,1071262.67,396168.51
6,2020-W07,7,07_USR_008,1104805.38,0.0
6,2020-W07,8,08_USR_009,420187.02,76092.66
6,2020-W07,9,09_USR_010,1130368.28,528636.68
7,2020-W08,0,00_USR_001,0.0,0.0
7,2020-W08,1,01_USR_002,0.0,0.0
7,2020-W08,2,02_USR_003,7406468.17,43965344.64
7,2020-W08,3,03_USR_004,9788326.4,45864020.47
7,2020-W08,4,04_USR_005,0.0,0.0
7,2020-W08,5,05_USR_006,1340407.1,0.0
7,2020-W08,6,06_USR_007,465444.82,174966.66
