t_idx,time_label,node_idx,node_label,ik_suggested_delta,ik_strain_energy
0,2020-W01,0,USR_003,1675978.8654,13879589867019.287
0,2020-W01,1,USR_001,3585458.9978,13879589867019.287
0,2020-W01,2,USR_004,1354837.1802,13879589867019.287
0,2020-W01,3,USR_005,1293825.6878,13879589867019.287
0,2020-W01,4,USR_007,1135263.8593,13879589867019.287
0,2020-W01,5,USR_008,1701272.571,13879589867019.287
0,2020-W01,6,USR_009,979444.6371,13879589867019.287
0,2020-W01,7,USR_002,1161691.8154,13879589867019.287
0,2020-W01,8,USR_010,1032737.5306,13879589867019.287
0,2020-W01,9,USR_006,1013237.7744,13879589867019.287
0,2020-W01,10,STK_001,0.0,13879589867019.287
0,2020-W01,11,STK_002,0.0,13879589867019.287
0,2020-W01,12,STK_003,0.0,13879589867019.287
0,2020-W01,13,STK_004,0.0,13879589867019.287
0,2020-W01,14,STK_005,0.0,13879589867019.287
1,2020-W02,0,USR_003,1571281.945,14619882759454.492
1,2020-W02,1,USR_001,3797415.5627,14619882759454.492
1,2020-W02,2,USR_004,1051743.2801,14619882759454.492
1,2020-W02,3,USR_005,1416684.4357,14619882759454.492
1,2020-W02,4,USR_007,995994.3694,14619882759454.492
1,2020-W02,5,USR_008,1029269.2554,14619882759454.492
1,2020-W02,6,USR_009,1319291.4931,14619882759454.492
1,2020-W02,7,USR_002,1387516.7043,14619882759454.492
1,2020-W02,8,USR_010,1371923.0669,14619882759454.492
1,2020-W02,9,USR_006,1279847.3973,14619882759454.492
1,2020-W02,10,STK_001,0.0,14619882759454.492
1,2020-W02,11,STK_002,0.0,14619882759454.492
1,2020-W02,12,STK_003,0.0,14619882759454.492
1,2020-W02,13,STK_004,0.0,14619882759454.492
1,2020-W02,14,STK_005,0.0,14619882759454.492
2,2020-W03,0,USR_003,816071.6037,0.5002
2,2020-W03,1,USR_001,10287081.1435,0.5002
2,2020-W03,2,USR_004,10677273.8187,0.5002
2,2020-W03,3,USR_005,-1967778.9323,0.5002
2,2020-W03,4,USR_007,1947367.621,0.5002
2,2020-W03,5,USR_008,-1859013.5022,0.5002
2,2020-W03,6,USR_009,-2726701.535,0.5002
2,2020-W03,7,USR_002,-11016482.2067,0.5002
2,2020-W03,8,USR_010,-2440582.7823,0.5002
2,2020-W03,9,USR_006,-3717235.2285,0.5002
2,2020-W03,10,STK_001,0.0,0.5002
2,2020-W03,11,STK_002,0.0,0.5002
2,2020-W03,12,STK_003,0.0,0.5002
2,2020-W03,13,STK_004,0.0,0.5002
2,2020-W03,14,STK_005,0.0,0.5002
3,2020-W04,0,USR_003,1876736.5234,7.2616
3,2020-W04,1,USR_001,9734103.9876,7.2616
3,2020-W04,2,USR_004,3540046.0154,7.2616
3,2020-W04,3,USR_005,5740361.963,7.2616
3,2020-W04,4,USR_007,15750870.5837,7.2616
3,2020-W04,5,USR_008,613084.5763,7.2616
3,2020-W04,6,USR_009,2003601.4717,7.2616
3,2020-W04,7,USR_002,-21651554.6135,7.2616
3,2020-W04,8,USR_010,-5314079.967,7.2616
3,2020-W04,9,USR_006,-12293170.5406,7.2616
3,2020-W04,10,STK_001,0.0,7.2616
3,2020-W04,11,STK_002,0.0,7.2616
3,2020-W04,12,STK_003,0.0,7.2616
3,2020-W04,13,STK_004,0.0,7.2616
3,2020-W04,14,STK_005,0.0,7.2616
4,2020-W05,0,USR_003,686318.9133,2.3614
4,2020-W05,1,USR_001,9346765.9478,2.3614
4,2020-W05,2,USR_004,12022972.7335,2.3614
4,2020-W05,3,USR_005,-7731544.6954,2.3614
4,2020-W05,4,USR_007,972344.4688,2.3614
4,2020-W05,5,USR_008,-2841525.1584,2.3614
4,2020-W05,6,USR_009,-11512488.5659,2.3614
4,2020-W05,7,USR_002,-3106311.8776,2.3614
4,2020-W05,8,USR_010,2763842.1409,2.3614
4,2020-W05,9,USR_006,-600373.9069,2.3614
4,2020-W05,10,STK_001,0.0,2.3614
4,2020-W05,11,STK_002,0.0,2.3614
4,2020-W05,12,STK_003,0.0,2.3614
4,2020-W05,13,STK_004,0.0,2.3614
4,2020-W05,14,STK_005,0.0,2.3614
5,2020-W06,0,USR_003,2787811.9728,27.8116
5,2020-W06,1,USR_001,-1785527.5065,27.8116
5,2020-W06,2,USR_004,4451744.7393,27.8116
5,2020-W06,3,USR_005,6398829.9608,27.8116
5,2020-W06,4,USR_007,-8504866.8075,27.8116
5,2020-W06,5,USR_008,2516077.3661,27.8116
5,2020-W06,6,USR_009,4514359.2725,27.8116
5,2020-W06,7,USR_002,-8884526.4964,27.8116
5,2020-W06,8,USR_010,-13918488.5068,27.8116
5,2020-W06,9,USR_006,12424586.0054,27.8116
5,2020-W06,10,STK_001,0.0,27.8116
5,2020-W06,11,STK_002,0.0,27.8116
5,2020-W06,12,STK_003,0.0,27.8116
5,2020-W06,13,STK_004,0.0,27.8116
5,2020-W06,14,STK_005,0.0,27.8116
6,2020-W07,0,USR_003,-23887458.7121,168.9874
6,2020-W07,1,USR_001,13081499.8059,168.9874
6,2020-W07,2,USR_004,9060475.209,168.9874
6,2020-W07,3,USR_005,-682174.9702,168.9874
6,2020-W07,4,USR_007,5155039.6319,168.9874
6,2020-W07,5,USR_008,-7577743.0573,168.9874
6,2020-W07,6,USR_009,594145.4637,168.9874
6,2020-W07,7,USR_002,19149075.471,168.9874
6,2020-W07,8,USR_010,-495805.2428,168.9874
6,2020-W07,9,USR_006,-14397053.5991,168.9874
6,2020-W07,10,STK_001,0.0,168.9874
6,2020-W07,11,STK_002,0.0,168.9874
6,2020-W07,12,STK_003,0.0,168.9874
6,2020-W07,13,STK_004,0.0,168.9874
6,2020-W07,14,STK_005,0.0,168.9874
7,2020-W08,0,USR_003,-10669900.9352,511.3616
7,2020-W08,1,USR_001,13731031.6684,511.3616
7,2020-W08,2,USR_004,-13926095.991,511.3616
7,2020-W08,3,USR_005,-6307155.7542,511.3616
7,2020-W08,4,USR_007,1467137.4846,511.3616
7,2020-W08,5,USR_008,6597898.1004,511.3616
7,2020-W08,6,USR_009,-3007981.2065,511.3616
7,2020-W08,7,USR_002,-18934737.92,511.3616
7,2020-W08,8,USR_010,17360254.4088,511.3616
7,2020-W08,9,USR_006,13689550.1447,511.3616
7,2020-W08,10,STK_001,0.0,511.3616
7,2020-W08,11,STK_002,0.0,511.3616
7,2020-W08,12,STK_003,0.0,511.3616
7,2020-W08,13,STK_004,0.0,511.3616
7,2020-W08,14,STK_005,0.0,511.3616
8,2020-W09,0,USR_003,12157822.5677,412.9272
8,2020-W09,1,USR_001,9216197.6234,412.9272
8,2020-W09,2,USR_004,-1518994.2595,412.9272
8,2020-W09,3,USR_005,3853400.1902,412.9272
8,2020-W09,4,USR_007,-1598575.4914,412.9272
8,2020-W09,5,USR_008,-7507513.7475,412.9272
8,2020-W09,6,USR_009,-2024722.8259,412.9272
8,2020-W09,7,USR_002,13492440.5158,412.9272
8,2020-W09,8,USR_010,-16044058.2708,412.9272
8,2020-W09,9,USR_006,-10025996.3021,412.9272
8,2020-W09,10,STK_001,0.0,412.9272
8,2020-W09,11,STK_002,0.0,412.9272
8,2020-W09,12,STK_003,0.0,412.9272
8,2020-W09,13,STK_004,0.0,412.9272
8,2020-W09,14,STK_005,0.0,412.9272
9,2020-W10,0,USR_003,-2635518.1091,211948.3659
9,2020-W10,1,USR_001,11077642.2255,211948.3659
9,2020-W10,2,USR_004,-3366545.5586,211948.3659
9,2020-W10,3,USR_005,59224345.2093,211948.3659
9,2020-W10,4,USR_007,-54817174.2297,211948.3659
9,2020-W10,5,USR_008,65030361.7822,211948.3659
9,2020-W10,6,USR_009,-45955535.1734,211948.3659
9,2020-W10,7,USR_002,-4006767.5622,211948.3659
9,2020-W10,8,USR_010,12582963.4879,211948.3659
9,2020-W10,9,USR_006,-37133772.0719,211948.3659
9,2020-W10,10,STK_001,0.0,211948.3659
9,2020-W10,11,STK_002,0.0,211948.3659
9,2020-W10,12,STK_003,0.0,211948.3659
9,2020-W10,13,STK_004,0.0,211948.3659
9,2020-W10,14,STK_005,0.0,211948.3659
10,2020-W11,0,USR_003,-5733703.8172,1207566.9665
10,2020-W11,1,USR_001,18122075.7936,1207566.9665
10,2020-W11,2,USR_004,-6726995.3136,1207566.9665
10,2020-W11,3,USR_005,-10033833.3715,1207566.9665
10,2020-W11,4,USR_007,-51431786.6054,1207566.9665
10,2020-W11,5,USR_008,166273196.0072,1207566.9665
10,2020-W11,6,USR_009,-33999802.9836,1207566.9665
10,2020-W11,7,USR_002,6935142.9303,1207566.9665
10,2020-W11,8,USR_010,-26471544.4443,1207566.9665
10,2020-W11,9,USR_006,-56932748.1954,1207566.9665
10,2020-W11,10,STK_001,0.0,1207566.9665
10,2020-W11,11,STK_002,0.0,1207566.9665
10,2020-W11,12,STK_003,0.0,1207566.9665
10,2020-W11,13,STK_004,0.0,1207566.9665
10,2020-W11,14,STK_005,0.0,1207566.9665
11,2020-W12,0,USR_003,7378453.8357,52822.7847
11,2020-W12,1,USR_001,14429456.6442,52822.7847
11,2020-W12,2,USR_004,-883242.7287,52822.7847
11,2020-W12,3,USR_005,6907255.2754,52822.7847
11,2020-W12,4,USR_007,-25989025.2834,52822.7847
11,2020-W12,5,USR_008,67391057.3241,52822.7847
11,2020-W12,6,USR_009,-21249924.0173,52822.7847
11,2020-W12,7,USR_002,17720898.7504,52822.7847
11,2020-W12,8,USR_010,-25171577.682,52822.7847
11,2020-W12,9,USR_006,-40533352.1185,52822.7847
11,2020-W12,10,STK_001,0.0,52822.7847
11,2020-W12,11,STK_002,0.0,52822.7847
11,2020-W12,12,STK_003,0.0,52822.7847
11,2020-W12,13,STK_004,0.0,52822.7847
11,2020-W12,14,STK_005,0.0,52822.7847
12,2020-W13,0,USR_003,10721644.0075,861.9809
12,2020-W13,1,USR_001,6382210.5775,861.9809
12,2020-W13,2,USR_004,2271224.6936,861.9809
12,2020-W13,3,USR_005,14648089.028,861.9809
12,2020-W13,4,USR_007,-4386663.2327,861.9809
12,2020-W13,5,USR_008,-11529756.9813,861.9809
12,2020-W13,6,USR_009,-6876963.717,861.9809
12,2020-W13,7,USR_002,16208574.3461,861.9809
12,2020-W13,8,USR_010,-11077456.16,861.9809
12,2020-W13,9,USR_006,-16360902.5615,861.9809
12,2020-W13,10,STK_001,0.0,861.9809
12,2020-W13,11,STK_002,0.0,861.9809
12,2020-W13,12,STK_003,0.0,861.9809
12,2020-W13,13,STK_004,0.0,861.9809
12,2020-W13,14,STK_005,0.0,861.9809
13,2020-W14,0,USR_003,8722791.019,729.1659
13,2020-W14,1,USR_001,11470607.0903,729.1659
13,2020-W14,2,USR_004,-3042973.0284,729.1659
13,2020-W14,3,USR_005,3032678.0903,729.1659
13,2020-W14,4,USR_007,-6297985.0139,729.1659
13,2020-W14,5,USR_008,23787469.8096,729.1659
13,2020-W14,6,USR_009,-6149484.0105,729.1659
13,2020-W14,7,USR_002,5135534.6722,729.1659
13,2020-W14,8,USR_010,-17636249.8308,729.1659
13,2020-W14,9,USR_006,-19022388.7978,729.1659
13,2020-W14,10,STK_001,0.0,729.1659
13,2020-W14,11,STK_002,0.0,729.1659
13,2020-W14,12,STK_003,0.0,729.1659
13,2020-W14,13,STK_004,0.0,729.1659
13,2020-W14,14,STK_005,0.0,729.1659
14,2020-W15,0,USR_003,10706023.9244,864.9099
14,2020-W15,1,USR_001,6599480.2227,864.9099
14,2020-W15,2,USR_004,1451677.6452,864.9099
14,2020-W15,3,USR_005,-3332207.1815,864.9099
14,2020-W15,4,USR_007,3421923.3927,864.9099
14,2020-W15,5,USR_008,1296530.5288,864.9099
14,2020-W15,6,USR_009,-982466.4943,864.9099
14,2020-W15,7,USR_002,19340230.0108,864.9099
14,2020-W15,8,USR_010,-19291831.3074,864.9099
14,2020-W15,9,USR_006,-19209360.7415,864.9099
14,2020-W15,10,STK_001,0.0,864.9099
14,2020-W15,11,STK_002,0.0,864.9099
14,2020-W15,12,STK_003,0.0,864.9099
14,2020-W15,13,STK_004,0.0,864.9099
14,2020-W15,14,STK_005,0.0,864.9099
15,2020-W16,0,USR_003,-1078564.3097,675.5057
15,2020-W16,1,USR_001,2516641.0117,675.5057
15,2020-W16,2,USR_004,-5786510.7039,675.5057
15,2020-W16,3,USR_005,5636390.5825,675.5057
15,2020-W16,4,USR_007,-8456695.2434,675.5057
15,2020-W16,5,USR_008,25915996.5843,675.5057
15,2020-W16,6,USR_009,-7660216.0021,675.5057
15,2020-W16,7,USR_002,-9359385.4862,675.5057
15,2020-W16,8,USR_010,2127011.8827,675.5057
15,2020-W16,9,USR_006,-3854668.3159,675.5057
15,2020-W16,10,STK_001,0.0,675.5057
15,2020-W16,11,STK_002,0.0,675.5057
15,2020-W16,12,STK_003,0.0,675.5057
15,2020-W16,13,STK_004,0.0,675.5057
15,2020-W16,14,STK_005,0.0,675.5057
16,2020-W17,0,USR_003,6956253.337,599.094
16,2020-W17,1,USR_001,6322036.3027,599.094
16,2020-W17,2,USR_004,-3411572.9859,599.094
16,2020-W17,3,USR_005,-1585058.9599,599.094
16,2020-W17,4,USR_007,-2697286.5233,599.094
16,2020-W17,5,USR_008,22890496.5441,599.094
16,2020-W17,6,USR_009,-4558230.7432,599.094
16,2020-W17,7,USR_002,4779259.596,599.094
16,2020-W17,8,USR_010,-14359514.0555,599.094
16,2020-W17,9,USR_006,-14336382.512,599.094
16,2020-W17,10,STK_001,0.0,599.094
16,2020-W17,11,STK_002,0.0,599.094
