t_idx,time_label,spectral_radius,is_stable
0,2020-W01,1.0,0
1,2020-W02,1.0,0
2,2020-W03,1.0,0
3,2020-W04,1.0,0
4,2020-W05,1.0,0
5,2020-W06,1.0,1
6,2020-W07,1.0,1
7,2020-W08,1.0,0
8,2020-W09,1.0,0
9,2020-W10,1.0,0
10,2020-W11,1.0,1
11,2020-W12,1.0,0
12,2020-W13,1.0,1
13,2020-W14,1.0,0
14,2020-W15,1.0,0
15,2020-W16,1.0,1
16,2020-W17,1.0,0
17,2020-W18,1.0,0
18,2020-W19,1.0,0
19,2020-W20,1.0,0
20,2020-W21,1.0,0
21,2020-W22,1.0,1
22,2020-W23,1.0,0
23,2020-W24,1.0,0
24,2020-W25,1.0,0
25,2020-W26,1.0,0
26,2020-W27,1.0,1
27,2020-W28,1.0,0
28,2020-W29,1.0,1
29,2020-W30,1.0,0
30,2020-W31,1.0,0
31,2020-W32,1.0,1
32,2020-W33,1.0,0
33,2020-W34,1.0,1
34,2020-W35,1.0,0
35,2020-W36,1.0,1
36,2020-W37,1.0,1
37,2020-W38,1.0,1
38,2020-W39,1.0,0
39,2020-W40,1.0,1
40,2020-W41,1.0,0
41,2020-W42,1.0,0
42,2020-W43,1.0,0
43,2020-W44,1.0,1
44,2020-W45,1.0,0
45,2020-W46,1.0,0
46,2020-W47,1.0,1
47,2020-W48,1.0,0
48,2020-W49,1.0,0
49,2020-W50,1.0,1
50,2020-W51,1.0,1
51,2020-W52,1.0,0
