t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2020-W01,0,USR_009,25.725,8.5,1,49.99,0.0,0
0,2020-W01,1,USR_003,18.5,5.6198,2,29.0242,4.9344,0
0,2020-W01,2,USR_005,10.0,0.0,0,32.3793,3.6395,1
0,2020-W01,3,USR_007,18.5,8.5,4,49.99,0.0,0
0,2020-W01,4,USR_004,10.0,0.0,0,29.0242,4.9344,3
0,2020-W01,5,USR_008,10.0,0.0,0,43.7409,2.5199,1
0,2020-W01,6,USR_006,10.0,0.0,0,49.99,0.0,0
0,2020-W01,7,USR_002,10.0,0.0,0,49.99,0.0,0
0,2020-W01,8,USR_010,10.0,0.0,0,49.99,0.0,0
0,2020-W01,9,USR_001,10.0,0.0,0,49.99,0.0,0
1,2020-W02,0,USR_009,10.0,0.0,0,49.99,0.0,0
1,2020-W02,1,USR_003,35.5476,13.8722,4,7.1422,2.1867,6
1,2020-W02,2,USR_005,10.0,0.0,0,49.1587,0.9365,4
1,2020-W02,3,USR_007,10.0,0.0,0,44.3428,2.307,4
1,2020-W02,4,USR_004,33.8184,11.8895,1,8.2313,2.2838,1
1,2020-W02,5,USR_008,10.0,0.0,0,49.473,0.7477,1
1,2020-W02,6,USR_006,38.2229,15.3081,1,47.4725,0.3348,1
1,2020-W02,7,USR_002,10.0,0.0,0,49.99,0.0,0
1,2020-W02,8,USR_010,10.0,0.0,0,49.99,0.0,0
1,2020-W02,9,USR_001,10.0,0.0,0,49.99,0.0,0
2,2020-W03,0,USR_009,10.0,0.0,0,0.0,-170.4397,1
2,2020-W03,1,USR_003,18.5,8.5,6,0.0,-5.0652,4
2,2020-W03,2,USR_005,10.0,0.0,0,0.0,-131.8613,1
2,2020-W03,3,USR_007,10.0,0.0,0,0.0,-28.4997,1
2,2020-W03,4,USR_004,18.5,8.5,6,0.0,-19.7427,1
2,2020-W03,5,USR_008,10.0,0.0,0,0.0,-99.4591,1
2,2020-W03,6,USR_006,10.0,0.0,0,0.0,19.5347,1
2,2020-W03,7,USR_002,10.0,0.0,0,0.0,0.0,0
2,2020-W03,8,USR_010,10.0,0.0,0,0.0,0.0,0
2,2020-W03,9,USR_001,10.0,0.0,0,0.0,0.0,0
3,2020-W04,0,USR_009,10.0,0.0,0,0.0,-173.666,1
3,2020-W04,1,USR_003,41.5153,17.5653,4,0.0,-5.2391,4
3,2020-W04,2,USR_005,41.5183,19.0746,1,0.0,-1844.5582,1
3,2020-W04,3,USR_007,41.5183,19.0746,1,0.0,-29.2155,1
3,2020-W04,4,USR_004,41.5183,19.0746,1,0.0,31.4944,1
3,2020-W04,5,USR_008,10.0,0.0,0,0.0,-102.4091,1
3,2020-W04,6,USR_006,41.5183,19.0746,1,0.0,112.9392,1
3,2020-W04,7,USR_002,41.521,18.2403,4,0.0,-60.3039,1
3,2020-W04,8,USR_010,41.5183,19.0746,1,0.0,-4209.1624,1
