t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,2024-01-01T10:00:00,0,Motor_Cortex,1,Parietal_Lobe,534.62,0.0
0,2024-01-01T10:00:00,0,Motor_Cortex,2,Prefrontal_Cortex,548.68,0.0
0,2024-01-01T10:00:00,0,Motor_Cortex,3,Temporal_Lobe,508.44,0.0
0,2024-01-01T10:00:00,0,Motor_Cortex,4,Visual_Cortex,533.19,0.0
0,2024-01-01T10:00:00,1,Parietal_Lobe,0,Motor_Cortex,545.28,0.0
0,2024-01-01T10:00:00,1,Parietal_Lobe,2,Prefrontal_Cortex,538.34,0.0
0,2024-01-01T10:00:00,1,Parietal_Lobe,3,Temporal_Lobe,538.03,0.0
0,2024-01-01T10:00:00,1,Parietal_Lobe,4,Visual_Cortex,536.28,0.0
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,0,Motor_Cortex,562.38,0.0
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,1,Parietal_Lobe,528.07,0.0
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,3,Temporal_Lobe,533.37,0.0
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,4,Visual_Cortex,521.81,0.0
0,2024-01-01T10:00:00,3,Temporal_Lobe,0,Motor_Cortex,546.87,0.0
0,2024-01-01T10:00:00,3,Temporal_Lobe,1,Parietal_Lobe,529.78,0.0
0,2024-01-01T10:00:00,3,Temporal_Lobe,2,Prefrontal_Cortex,551.0,0.0
0,2024-01-01T10:00:00,3,Temporal_Lobe,4,Visual_Cortex,549.79,0.0
0,2024-01-01T10:00:00,4,Visual_Cortex,0,Motor_Cortex,514.64,0.0
0,2024-01-01T10:00:00,4,Visual_Cortex,1,Parietal_Lobe,522.7,0.0
0,2024-01-01T10:00:00,4,Visual_Cortex,2,Prefrontal_Cortex,534.59,0.0
0,2024-01-01T10:00:00,4,Visual_Cortex,3,Temporal_Lobe,548.67,0.0
1,2024-01-01T10:00:10,0,Motor_Cortex,1,Parietal_Lobe,610.11,0.0
1,2024-01-01T10:00:10,0,Motor_Cortex,2,Prefrontal_Cortex,613.75,0.0
1,2024-01-01T10:00:10,0,Motor_Cortex,3,Temporal_Lobe,634.94,0.0
1,2024-01-01T10:00:10,0,Motor_Cortex,4,Visual_Cortex,606.44,0.0
1,2024-01-01T10:00:10,1,Parietal_Lobe,0,Motor_Cortex,641.72,0.0
1,2024-01-01T10:00:10,1,Parietal_Lobe,2,Prefrontal_Cortex,625.48,0.0
1,2024-01-01T10:00:10,1,Parietal_Lobe,3,Temporal_Lobe,627.36,0.0
1,2024-01-01T10:00:10,1,Parietal_Lobe,4,Visual_Cortex,622.11,0.0
