t_idx,time_label,component_idx,singular_value,explained_ratio,effective_rank
0,2024-01-01T10:00:00,0,2145.57469,0.499972,5
0,2024-01-01T10:00:00,1,561.186114,0.13077,5
0,2024-01-01T10:00:00,2,547.518782,0.127586,5
0,2024-01-01T10:00:00,3,530.563045,0.123634,5
0,2024-01-01T10:00:00,4,506.543436,0.118037,5
1,2024-01-01T10:00:10,0,2494.588392,0.499918,5
1,2024-01-01T10:00:10,1,639.118018,0.12808,5
1,2024-01-01T10:00:10,2,625.554266,0.125362,5
1,2024-01-01T10:00:10,3,625.288899,0.125308,5
1,2024-01-01T10:00:10,4,605.446653,0.121332,5
2,2024-01-01T10:00:20,0,2733.462187,0.499947,5
2,2024-01-01T10:00:20,1,697.283223,0.127532,5
2,2024-01-01T10:00:20,2,692.34792,0.12663,5
2,2024-01-01T10:00:20,3,684.474073,0.125189,5
2,2024-01-01T10:00:20,4,659.938143,0.120702,5
3,2024-01-01T10:00:30,0,2816.974742,0.499958,5
3,2024-01-01T10:00:30,1,736.78414,0.130765,5
3,2024-01-01T10:00:30,2,705.824076,0.12527,5
3,2024-01-01T10:00:30,3,694.108912,0.123191,5
3,2024-01-01T10:00:30,4,680.726403,0.120816,5
4,2024-01-01T10:00:40,0,2718.865398,0.499944,5
4,2024-01-01T10:00:40,1,691.595708,0.12717,5
4,2024-01-01T10:00:40,2,690.494639,0.126968,5
4,2024-01-01T10:00:40,3,674.026152,0.12394,5
4,2024-01-01T10:00:40,4,663.361363,0.121979,5
5,2024-01-01T10:00:50,0,2547.012437,0.499995,5
5,2024-01-01T10:00:50,1,654.585726,0.128499,5
5,2024-01-01T10:00:50,2,647.988779,0.127204,5
5,2024-01-01T10:00:50,3,628.173207,0.123314,5
5,2024-01-01T10:00:50,4,616.320026,0.120988,5
6,2024-01-01T10:01:00,0,2337.582276,0.499969,5
6,2024-01-01T10:01:00,1,607.082811,0.129845,5
6,2024-01-01T10:01:00,2,591.845199,0.126586,5
6,2024-01-01T10:01:00,3,574.257375,0.122824,5
6,2024-01-01T10:01:00,4,564.684699,0.120776,5
7,2024-01-01T10:01:10,0,2214.831379,0.499885,5
7,2024-01-01T10:01:10,1,570.909979,0.128854,5
7,2024-01-01T10:01:10,2,563.713619,0.12723,5
7,2024-01-01T10:01:10,3,546.911216,0.123437,5
7,2024-01-01T10:01:10,4,534.314864,0.120594,5
8,2024-01-01T10:01:20,0,2152.304269,0.499889,5
8,2024-01-01T10:01:20,1,570.44964,0.132491,5
8,2024-01-01T10:01:20,2,560.495554,0.130179,5
8,2024-01-01T10:01:20,3,516.832877,0.120038,5
8,2024-01-01T10:01:20,4,505.482399,0.117402,5
9,2024-01-01T10:01:30,0,2215.04371,0.499997,5
9,2024-01-01T10:01:30,1,566.571797,0.127891,5
9,2024-01-01T10:01:30,2,563.204932,0.127131,5
9,2024-01-01T10:01:30,3,547.333044,0.123548,5
9,2024-01-01T10:01:30,4,537.959618,0.121432,5
10,2024-01-01T10:01:40,0,2274.590954,0.499955,5
10,2024-01-01T10:01:40,1,593.57695,0.130468,5
10,2024-01-01T10:01:40,2,577.974882,0.127039,5
10,2024-01-01T10:01:40,3,565.650007,0.12433,5
10,2024-01-01T10:01:40,4,537.798961,0.118208,5
