t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2024-01-01 10:00:00,0,00_Motor_Cortex,Unknown,52.1359
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,Unknown,-39.4595
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,Unknown,-54.2611
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,Unknown,8.3007
0,2024-01-01 10:00:00,4,04_Visual_Cortex,Unknown,33.2839
1,2024-01-01 10:00:10,0,00_Motor_Cortex,Unknown,4.2485
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,Unknown,-16.9967
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,Unknown,17.4976
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,Unknown,-53.2425
1,2024-01-01 10:00:10,4,04_Visual_Cortex,Unknown,48.493
2,2024-01-01 10:00:20,0,00_Motor_Cortex,Unknown,5.7099
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,Unknown,-8.3465
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,Unknown,17.0795
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,Unknown,4.98
2,2024-01-01 10:00:20,4,04_Visual_Cortex,Unknown,-19.4229
3,2024-01-01 10:00:30,0,00_Motor_Cortex,Unknown,31.6504
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,Unknown,-42.1759
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,Unknown,60.615
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,Unknown,-30.5204
3,2024-01-01 10:00:30,4,04_Visual_Cortex,Unknown,-19.5691
4,2024-01-01 10:00:40,0,00_Motor_Cortex,Unknown,-14.8925
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,Unknown,3.9099
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,Unknown,39.3729
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,Unknown,-29.6165
