t_idx,time_label,src_idx,src_label,dst_idx,jacobian_value
0,2024-01-01 10:00:00,0,00_Motor_Cortex,0,0.0
0,2024-01-01 10:00:00,0,00_Motor_Cortex,1,0.208596
0,2024-01-01 10:00:00,0,00_Motor_Cortex,2,0.218021
0,2024-01-01 10:00:00,0,00_Motor_Cortex,3,0.205442
0,2024-01-01 10:00:00,0,00_Motor_Cortex,4,0.217941
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,0,0.214879
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,1,0.0
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,2,0.212538
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,3,0.209115
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,4,0.213467
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,0,0.218476
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,1,0.203983
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,2,0.0
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,3,0.208405
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,4,0.219136
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,0,0.216971
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,1,0.216017
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,2,0.205072
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,3,0.0
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,4,0.21194
0,2024-01-01 10:00:00,4,04_Visual_Cortex,0,0.208998
0,2024-01-01 10:00:00,4,04_Visual_Cortex,1,0.21137
0,2024-01-01 10:00:00,4,04_Visual_Cortex,2,0.214201
0,2024-01-01 10:00:00,4,04_Visual_Cortex,3,0.215431
0,2024-01-01 10:00:00,4,04_Visual_Cortex,4,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,0,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,1,0.210741
1,2024-01-01 10:00:10,0,00_Motor_Cortex,2,0.219806
1,2024-01-01 10:00:10,0,00_Motor_Cortex,3,0.210169
1,2024-01-01 10:00:10,0,00_Motor_Cortex,4,0.209285
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,0,0.216262
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,1,0.0
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,2,0.217771
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,3,0.208183
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,4,0.207784
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,0,0.213427
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,1,0.210107
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,2,0.0
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,3,0.211873
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,4,0.214593
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,0,0.209135
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,1,0.211056
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,2,0.214495
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,3,0.0
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,4,0.215314
1,2024-01-01 10:00:10,4,04_Visual_Cortex,0,0.21065
1,2024-01-01 10:00:10,4,04_Visual_Cortex,1,0.212746
1,2024-01-01 10:00:10,4,04_Visual_Cortex,2,0.213798
1,2024-01-01 10:00:10,4,04_Visual_Cortex,3,0.212806
1,2024-01-01 10:00:10,4,04_Visual_Cortex,4,0.0
2,2024-01-01 10:00:20,0,00_Motor_Cortex,0,0.0
2,2024-01-01 10:00:20,0,00_Motor_Cortex,1,0.20847
2,2024-01-01 10:00:20,0,00_Motor_Cortex,2,0.216177
2,2024-01-01 10:00:20,0,00_Motor_Cortex,3,0.215651
2,2024-01-01 10:00:20,0,00_Motor_Cortex,4,0.209702
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,0,0.212151
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,1,0.0
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,2,0.208915
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,3,0.213307
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,4,0.215627
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,0,0.215756
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,1,0.213418
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,2,0.0
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,3,0.210662
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,4,0.210164
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,0,0.214005
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,1,0.214747
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,2,0.208786
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,3,0.0
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,4,0.212462
2,2024-01-01 10:00:20,4,04_Visual_Cortex,0,0.210053
2,2024-01-01 10:00:20,4,04_Visual_Cortex,1,0.211217
2,2024-01-01 10:00:20,4,04_Visual_Cortex,2,0.216694
2,2024-01-01 10:00:20,4,04_Visual_Cortex,3,0.212035
2,2024-01-01 10:00:20,4,04_Visual_Cortex,4,0.0
3,2024-01-01 10:00:30,0,00_Motor_Cortex,0,0.0
3,2024-01-01 10:00:30,0,00_Motor_Cortex,1,0.210217
3,2024-01-01 10:00:30,0,00_Motor_Cortex,2,0.21266
3,2024-01-01 10:00:30,0,00_Motor_Cortex,3,0.216403
3,2024-01-01 10:00:30,0,00_Motor_Cortex,4,0.21072
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,0,0.217072
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,1,0.0
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,2,0.217495
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,3,0.205714
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,4,0.209718
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,0,0.212913
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,1,0.213877
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,2,0.0
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,3,0.211874
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,4,0.211336
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,0,0.211821
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,1,0.209105
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,2,0.211347
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,3,0.0
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,4,0.217728
3,2024-01-01 10:00:30,4,04_Visual_Cortex,0,0.216209
3,2024-01-01 10:00:30,4,04_Visual_Cortex,1,0.212409
3,2024-01-01 10:00:30,4,04_Visual_Cortex,2,0.211815
3,2024-01-01 10:00:30,4,04_Visual_Cortex,3,0.209567
3,2024-01-01 10:00:30,4,04_Visual_Cortex,4,0.0
4,2024-01-01 10:00:40,0,00_Motor_Cortex,0,0.0
4,2024-01-01 10:00:40,0,00_Motor_Cortex,1,0.212169
4,2024-01-01 10:00:40,0,00_Motor_Cortex,2,0.212108
4,2024-01-01 10:00:40,0,00_Motor_Cortex,3,0.213907
4,2024-01-01 10:00:40,0,00_Motor_Cortex,4,0.211816
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,0,0.217534
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,1,0.0
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,2,0.213103
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,3,0.206432
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,4,0.212931
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,0,0.212633
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,1,0.211891
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,2,0.0
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,3,0.2153
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,4,0.210177
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,0,0.211634
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,1,0.209945
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,2,0.22019
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,3,0.0
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,4,0.208231
4,2024-01-01 10:00:40,4,04_Visual_Cortex,0,0.212868
4,2024-01-01 10:00:40,4,04_Visual_Cortex,1,0.207883
4,2024-01-01 10:00:40,4,04_Visual_Cortex,2,0.216007
4,2024-01-01 10:00:40,4,04_Visual_Cortex,3,0.213242
4,2024-01-01 10:00:40,4,04_Visual_Cortex,4,0.0
5,2024-01-01 10:00:50,0,00_Motor_Cortex,0,0.0
5,2024-01-01 10:00:50,0,00_Motor_Cortex,1,0.214515
5,2024-01-01 10:00:50,0,00_Motor_Cortex,2,0.21285
5,2024-01-01 10:00:50,0,00_Motor_Cortex,3,0.211818
5,2024-01-01 10:00:50,0,00_Motor_Cortex,4,0.210817
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,0,0.208353
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,1,0.0
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,2,0.219216
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,3,0.211562
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,4,0.210869
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,0,0.210079
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,1,0.21022
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,2,0.0
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,3,0.216298
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,4,0.213402
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,0,0.210177
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,1,0.214171
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,2,0.212041
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,3,0.0
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,4,0.21361
5,2024-01-01 10:00:50,4,04_Visual_Cortex,0,0.216247
5,2024-01-01 10:00:50,4,04_Visual_Cortex,1,0.210577
5,2024-01-01 10:00:50,4,04_Visual_Cortex,2,0.205608
5,2024-01-01 10:00:50,4,04_Visual_Cortex,3,0.217569
5,2024-01-01 10:00:50,4,04_Visual_Cortex,4,0.0
6,2024-01-01 10:01:00,0,00_Motor_Cortex,0,0.0
6,2024-01-01 10:01:00,0,00_Motor_Cortex,1,0.207576
6,2024-01-01 10:01:00,0,00_Motor_Cortex,2,0.212382
6,2024-01-01 10:01:00,0,00_Motor_Cortex,3,0.211452
6,2024-01-01 10:01:00,0,00_Motor_Cortex,4,0.218589
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,0,0.208633
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,1,0.0
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,2,0.207259
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,3,0.219481
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,4,0.214627
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,0,0.209911
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,1,0.210541
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,2,0.0
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,3,0.215831
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,4,0.213716
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,0,0.209477
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,1,0.212444
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,2,0.211138
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,3,0.0
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,4,0.21694
6,2024-01-01 10:01:00,4,04_Visual_Cortex,0,0.213133
6,2024-01-01 10:01:00,4,04_Visual_Cortex,1,0.208575
6,2024-01-01 10:01:00,4,04_Visual_Cortex,2,0.214596
6,2024-01-01 10:01:00,4,04_Visual_Cortex,3,0.213695
6,2024-01-01 10:01:00,4,04_Visual_Cortex,4,0.0
7,2024-01-01 10:01:10,0,00_Motor_Cortex,0,0.0
7,2024-01-01 10:01:10,0,00_Motor_Cortex,1,0.209148
7,2024-01-01 10:01:10,0,00_Motor_Cortex,2,0.219555
