t_idx,time_label,node_idx,node_label,optimal_input_u,state_error_x
0,2024-01-01T10:00:00,0,Motor_Cortex,411.8513,44.24
0,2024-01-01T10:00:00,1,Parietal_Lobe,0.0,42.76
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,0.0,973.02
0,2024-01-01T10:00:00,3,Temporal_Lobe,0.0,48.93
0,2024-01-01T10:00:00,4,Visual_Cortex,0.0,20.47
1,2024-01-01T10:00:10,0,Motor_Cortex,400.5821,44.53
1,2024-01-01T10:00:10,1,Parietal_Lobe,0.0,16.87
1,2024-01-01T10:00:10,2,Prefrontal_Cortex,0.0,1065.3
1,2024-01-01T10:00:10,3,Temporal_Lobe,0.0,35.1
1,2024-01-01T10:00:10,4,Visual_Cortex,0.0,2.54
2,2024-01-01T10:00:20,0,Motor_Cortex,395.2361,16.08
2,2024-01-01T10:00:20,1,Parietal_Lobe,0.0,13.76
2,2024-01-01T10:00:20,2,Prefrontal_Cortex,0.0,1069.66
2,2024-01-01T10:00:20,3,Temporal_Lobe,0.0,34.67
2,2024-01-01T10:00:20,4,Visual_Cortex,0.0,32.67
3,2024-01-01T10:00:30,0,Motor_Cortex,400.3669,55.62
3,2024-01-01T10:00:30,1,Parietal_Lobe,0.0,37.18
3,2024-01-01T10:00:30,2,Prefrontal_Cortex,0.0,1027.25
3,2024-01-01T10:00:30,3,Temporal_Lobe,0.0,9.38
3,2024-01-01T10:00:30,4,Visual_Cortex,0.0,74.93
4,2024-01-01T10:00:40,0,Motor_Cortex,398.5314,31.69
4,2024-01-01T10:00:40,1,Parietal_Lobe,0.0,12.37
4,2024-01-01T10:00:40,2,Prefrontal_Cortex,0.0,962.95
4,2024-01-01T10:00:40,3,Temporal_Lobe,0.0,16.27
4,2024-01-01T10:00:40,4,Visual_Cortex,0.0,34.0
5,2024-01-01T10:00:50,0,Motor_Cortex,390.9816,18.73
5,2024-01-01T10:00:50,1,Parietal_Lobe,0.0,38.71
5,2024-01-01T10:00:50,2,Prefrontal_Cortex,0.0,1026.29
5,2024-01-01T10:00:50,3,Temporal_Lobe,0.0,33.36
5,2024-01-01T10:00:50,4,Visual_Cortex,0.0,50.37
6,2024-01-01T10:01:00,0,Motor_Cortex,395.3274,12.69
6,2024-01-01T10:01:00,1,Parietal_Lobe,0.0,21.62
6,2024-01-01T10:01:00,2,Prefrontal_Cortex,0.0,951.7
6,2024-01-01T10:01:00,3,Temporal_Lobe,0.0,16.96
6,2024-01-01T10:01:00,4,Visual_Cortex,0.0,2.97
7,2024-01-01T10:01:10,0,Motor_Cortex,383.4515,25.63
7,2024-01-01T10:01:10,1,Parietal_Lobe,0.0,19.08
7,2024-01-01T10:01:10,2,Prefrontal_Cortex,0.0,1058.08
7,2024-01-01T10:01:10,3,Temporal_Lobe,0.0,14.67
7,2024-01-01T10:01:10,4,Visual_Cortex,0.0,49.96
8,2024-01-01T10:01:20,0,Motor_Cortex,405.3004,14.14
8,2024-01-01T10:01:20,1,Parietal_Lobe,0.0,18.33
8,2024-01-01T10:01:20,2,Prefrontal_Cortex,0.0,1037.84
8,2024-01-01T10:01:20,3,Temporal_Lobe,0.0,19.32
8,2024-01-01T10:01:20,4,Visual_Cortex,0.0,13.95
9,2024-01-01T10:01:30,0,Motor_Cortex,399.8825,51.03
9,2024-01-01T10:01:30,1,Parietal_Lobe,0.0,9.33
9,2024-01-01T10:01:30,2,Prefrontal_Cortex,0.0,1077.64
9,2024-01-01T10:01:30,3,Temporal_Lobe,0.0,9.02
9,2024-01-01T10:01:30,4,Visual_Cortex,0.0,8.26
10,2024-01-01T10:01:40,0,Motor_Cortex,395.5885,10.19
10,2024-01-01T10:01:40,1,Parietal_Lobe,0.0,0.24
10,2024-01-01T10:01:40,2,Prefrontal_Cortex,0.0,992.74
10,2024-01-01T10:01:40,3,Temporal_Lobe,0.0,23.81
10,2024-01-01T10:01:40,4,Visual_Cortex,0.0,21.12
11,2024-01-01T10:01:50,0,Motor_Cortex,378.7839,76.77
11,2024-01-01T10:01:50,1,Parietal_Lobe,0.0,33.46
11,2024-01-01T10:01:50,2,Prefrontal_Cortex,0.0,1056.83
11,2024-01-01T10:01:50,3,Temporal_Lobe,0.0,48.32
11,2024-01-01T10:01:50,4,Visual_Cortex,0.0,51.82
12,2024-01-01T10:02:00,0,Motor_Cortex,390.7695,15.6
12,2024-01-01T10:02:00,1,Parietal_Lobe,0.0,51.31
12,2024-01-01T10:02:00,2,Prefrontal_Cortex,0.0,950.67
12,2024-01-01T10:02:00,3,Temporal_Lobe,0.0,14.26
12,2024-01-01T10:02:00,4,Visual_Cortex,0.0,3.32
13,2024-01-01T10:02:10,0,Motor_Cortex,401.4367,13.64
13,2024-01-01T10:02:10,1,Parietal_Lobe,0.0,41.61
13,2024-01-01T10:02:10,2,Prefrontal_Cortex,0.0,1052.58
13,2024-01-01T10:02:10,3,Temporal_Lobe,0.0,27.3
13,2024-01-01T10:02:10,4,Visual_Cortex,0.0,24.63
14,2024-01-01T10:02:20,0,Motor_Cortex,377.1215,66.88
