t_idx,time_label,node_idx,node_label,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,2024-01-01T10:00:00,0,Motor_Cortex,41.5234,6.7564,2,12.4076,1.6781,2
0,2024-01-01T10:00:00,1,Parietal_Lobe,41.5234,6.7073,0,12.6903,1.6784,0
0,2024-01-01T10:00:00,2,Prefrontal_Cortex,41.5234,6.762,0,12.3538,1.6694,0
0,2024-01-01T10:00:00,3,Temporal_Lobe,41.5234,6.7266,2,12.5784,1.6828,4
0,2024-01-01T10:00:00,4,Visual_Cortex,41.5234,6.7209,2,12.5885,1.6741,3
1,2024-01-01T10:00:10,0,Motor_Cortex,41.5234,6.7113,3,12.4785,1.6717,1
1,2024-01-01T10:00:10,1,Parietal_Lobe,41.5234,6.6983,0,12.4658,1.6759,4
1,2024-01-01T10:00:10,2,Prefrontal_Cortex,41.5234,6.684,4,12.7045,1.6752,0
1,2024-01-01T10:00:10,3,Temporal_Lobe,41.5234,6.7081,4,12.4847,1.6758,0
1,2024-01-01T10:00:10,4,Visual_Cortex,41.5234,6.7218,1,12.4839,1.6749,3
2,2024-01-01T10:00:20,0,Motor_Cortex,41.5234,6.6863,4,0.1853,-37.8399,2
2,2024-01-01T10:00:20,1,Parietal_Lobe,41.5234,6.6777,0,0.2613,-44.922,2
2,2024-01-01T10:00:20,2,Prefrontal_Cortex,41.5234,6.7144,0,0.0189,-11.6198,3
2,2024-01-01T10:00:20,3,Temporal_Lobe,41.5234,6.7176,1,0.0205,-12.5812,2
2,2024-01-01T10:00:20,4,Visual_Cortex,41.5234,6.6887,0,0.0628,22.0435,2
3,2024-01-01T10:00:30,0,Motor_Cortex,41.5234,6.6808,3,0.0777,-23.8788,4
3,2024-01-01T10:00:30,1,Parietal_Lobe,41.5234,6.6667,2,0.1585,-32.9156,4
3,2024-01-01T10:00:30,2,Prefrontal_Cortex,41.5234,6.722,0,0.0194,-10.7085,3
3,2024-01-01T10:00:30,3,Temporal_Lobe,41.5234,6.6952,1,0.0282,-13.3275,2
3,2024-01-01T10:00:30,4,Visual_Cortex,41.5234,6.7067,1,0.0188,-6.1503,0
4,2024-01-01T10:00:40,0,Motor_Cortex,41.5234,6.7478,2,0.0995,-6.1476,3
4,2024-01-01T10:00:40,1,Parietal_Lobe,41.5234,6.7139,2,0.1239,21.6796,0
4,2024-01-01T10:00:40,2,Prefrontal_Cortex,41.5234,6.7506,3,0.0271,-4.5955,3
4,2024-01-01T10:00:40,3,Temporal_Lobe,41.5234,6.6917,2,0.107,-5.2456,2
4,2024-01-01T10:00:40,4,Visual_Cortex,41.5234,6.7361,2,0.056,-3.614,0
5,2024-01-01T10:00:50,0,Motor_Cortex,41.5234,6.6763,1,0.0745,-7.3492,3
5,2024-01-01T10:00:50,1,Parietal_Lobe,41.5234,6.6977,3,0.3199,-8.5731,0
5,2024-01-01T10:00:50,2,Prefrontal_Cortex,41.5234,6.6956,0,0.049,-4.1918,0
5,2024-01-01T10:00:50,3,Temporal_Lobe,41.5234,6.7047,1,0.106,-8.611,0
5,2024-01-01T10:00:50,4,Visual_Cortex,41.5234,6.7098,1,0.0834,-7.3075,3
6,2024-01-01T10:01:00,0,Motor_Cortex,41.5234,6.6894,1,0.0806,-6.7902,3
6,2024-01-01T10:01:00,1,Parietal_Lobe,41.5234,6.7101,2,0.3468,-8.456,0
6,2024-01-01T10:01:00,2,Prefrontal_Cortex,41.5234,6.7123,0,0.0663,-7.158,0
6,2024-01-01T10:01:00,3,Temporal_Lobe,41.5234,6.7224,0,0.1284,-9.1849,0
6,2024-01-01T10:01:00,4,Visual_Cortex,41.5234,6.7088,1,0.0931,-7.8661,3
7,2024-01-01T10:01:10,0,Motor_Cortex,41.5234,6.7576,4,0.0697,-4.2192,3
7,2024-01-01T10:01:10,1,Parietal_Lobe,41.5234,6.715,4,0.1033,-5.5155,4
7,2024-01-01T10:01:10,2,Prefrontal_Cortex,41.5234,6.7475,4,0.0232,-5.3011,0
