t_idx,src_idx,tgt_idx,weight,stress
0,0,1,102.7900,0.0000
0,0,2,90.5000,0.0000
0,0,3,95.5000,0.0000
0,0,4,94.4600,0.0000
0,1,0,104.7300,0.0000
0,1,2,103.5300,0.0000
0,1,3,107.8400,0.0000
0,1,4,91.7400,0.0000
0,2,0,98.4400,0.0000
0,2,1,90.6000,0.0000
0,2,3,94.3700,0.0000
0,2,4,100.1100,0.0000
0,3,0,90.5300,0.0000
0,3,1,93.9800,0.0000
0,3,2,103.0000,0.0000
0,3,4,100.9000,0.0000
0,4,0,94.4100,0.0000
0,4,1,101.7900,0.0000
0,4,2,106.1900,0.0000
0,4,3,90.1300,0.0000
1,0,1,110.0100,0.0000
1,0,2,107.8600,0.0000
1,0,3,100.7000,0.0000
1,0,4,97.0000,0.0000
1,1,0,113.0400,0.0000
1,1,2,100.6300,0.0000
1,1,3,95.7500,0.0000
1,1,4,95.8300,0.0000
1,2,0,110.8400,0.0000
1,2,1,105.9700,0.0000
1,2,3,110.0400,0.0000
1,2,4,108.4900,0.0000
1,3,0,104.6200,0.0000
1,3,1,113.3600,0.0000
1,3,2,101.4600,0.0000
1,3,4,104.9300,0.0000
1,4,0,110.4800,0.0000
1,4,1,106.2600,0.0000
1,4,2,111.1300,0.0000
1,4,3,105.4400,0.0000
2,0,1,111.8400,1.5069
2,0,2,98.6700,0.0588
2,0,3,102.3100,1.6192
2,0,4,103.5400,6.1496
2,1,0,99.3400,2.2972
2,1,2,102.4000,0.2207
2,1,3,99.7700,0.3350
2,1,4,103.3100,4.6577
2,2,0,110.4600,0.9387
2,2,1,105.0500,0.8803
2,2,3,105.1500,0.3759
2,2,4,101.9400,0.5632
2,3,0,103.0900,0.7828
2,3,1,116.4800,1.3220
2,3,2,110.7100,11.0130
2,3,4,109.9300,3.4814
2,4,0,101.1700,0.1587
2,4,1,112.3300,3.7159
2,4,2,101.0200,3.0931
2,4,3,105.3400,0.9869
3,0,1,121.3200,3.3547
3,0,2,114.3300,2.1604
3,0,3,112.6700,4.5307
3,0,4,115.2200,4.4149
3,1,0,118.3900,2.2513
3,1,2,117.0500,12.4537
3,1,3,106.1100,0.9926
3,1,4,102.1700,1.0876
3,2,0,107.8400,0.2188
3,2,1,106.8800,0.9007
3,2,3,105.7500,0.3916
3,2,4,120.3900,4.6913
3,3,0,119.0600,3.1124
3,3,1,107.8200,0.0121
3,3,2,114.6400,2.3682
3,3,4,109.4400,1.1335
3,4,0,119.8200,2.7019
3,4,1,110.7100,0.9068
3,4,2,106.8300,0.1736
3,4,3,106.4600,0.8558
4,0,1,116.4200,0.7461
4,0,2,110.4500,0.8418
4,0,3,116.8900,2.2617
4,0,4,123.1500,2.5656
4,1,0,113.1800,0.5859
4,1,2,109.5800,0.5642
4,1,3,125.1500,4.6874
4,1,4,115.3900,3.6268
4,2,0,107.0100,0.0229
4,2,1,106.1400,0.6006
4,2,3,107.3900,0.6167
4,2,4,117.7400,1.2597
4,3,0,121.0400,1.6529
4,3,1,113.6400,0.6648
4,3,2,106.4700,0.1809
4,3,4,112.8300,1.7760
4,4,0,125.1200,1.9448
4,4,1,115.7800,1.9496
4,4,2,124.6200,5.1077
4,4,3,122.4100,3.0352
5,0,1,108.9400,0.5676
5,0,2,123.1300,2.1723
