t_idx,src_idx,tgt_idx,value
0,0,1,544.45
0,2,1,567.88
0,2,3,540.07
0,2,0,528.61
0,2,4,566.17
0,3,0,538.42
0,3,4,540.8
0,3,2,511.14
0,1,3,543.2
0,1,0,532.96
0,3,1,528.26
0,1,4,526.98
0,4,2,543.33
0,4,3,511.98
0,4,0,519.84
0,4,1,543.13
0,0,4,548.05
0,0,3,533.35
0,0,2,542.08
0,1,2,540.1
1,3,0,626.15
1,4,2,641.59
1,4,3,613.46
1,4,1,610.88
1,4,0,615.13
1,2,1,632.78
1,2,0,619.55
1,2,4,629.34
1,2,3,624.76
1,3,2,636.3499999999999
1,3,1,638.78
1,3,4,620.45
1,1,0,608.79
1,1,3,608.96
1,1,2,611.8
1,1,4,602.79
1,0,3,609.9200000000001
1,0,4,633.59
1,0,2,638.01
1,0,1,608.75
2,3,1,681.4200000000001
2,0,4,681.21
2,0,3,684.9200000000001
2,0,1,692.37
2,0,2,670.8199999999999
2,3,0,688.75
2,3,4,686.37
2,3,2,669.63
2,1,0,680.94
2,1,2,698.6
2,4,2,693.36
2,1,3,683.58
2,2,4,688.3
2,2,1,670.46
2,2,0,680.8399999999999
2,2,3,672.05
2,4,3,691.67
2,4,0,668.6400000000001
2,4,1,672.5899999999999
2,1,4,677.1899999999999
3,4,3,710.51
3,3,2,699.46
3,3,4,701.03
3,3,1,720.58
3,1,4,716.79
3,1,2,702.22
3,1,0,704.19
3,1,3,694.77
3,4,1,691.85
3,3,0,692.04
3,4,0,690.1999999999999
3,2,3,685.55
3,2,4,688.91
3,2,1,683.81
3,2,0,692.03
3,4,2,698.22
3,0,3,684.84
3,0,4,722.65
3,0,2,724.06
3,0,1,698.17
4,3,2,718.25
4,3,4,690.34
4,3,1,679.24
4,3,0,684.8299999999999
4,0,1,681.86
4,0,3,661.05
4,0,4,696.6
4,4,1,691.03
4,0,2,682.4100000000001
4,4,3,697.85
4,4,0,692.18
4,4,2,691.98
4,2,0,682.5
4,2,1,676.98
4,2,3,693.48
4,2,4,684.89
4,1,0,667.1
4,1,2,693.1700000000001
4,1,3,684.3000000000001
4,1,4,683.0999999999999
5,4,2,639.4399999999999
5,3,2,631.26
5,3,1,635.9300000000001
5,3,4,625.71
5,2,1,635.86
5,2,4,625.96
5,2,3,644.49
5,2,0,626.38
5,4,0,644.44
5,3,0,637.6
5,4,3,636.34
5,1,3,641.93
5,1,0,621.3
5,1,2,606.64
5,1,4,638.03
5,4,1,633.33
5,0,2,648.21
5,0,1,623.53
5,0,4,616.09
5,0,3,625.58
6,1,2,595.58
6,0,2,576.4
6,0,3,610.39
6,0,4,580.22
6,3,0,585.83
6,3,4,577.65
6,3,1,598.23
6,3,2,582.23
6,1,3,593.08
6,0,1,596.89
6,1,0,578.87
6,1,4,591.52
6,2,4,569.87
6,2,0,571.58
6,2,3,585.94
6,2,1,580.2
6,4,0,580.53
6,4,2,593.97
6,4,3,591.37
6,4,1,611.3299999999999
7,2,1,560.76
7,2,4,546.2
7,2,0,530.62
7,2,3,557.9
7,1,3,562.67
7,1,4,558.24
7,1,2,547.28
7,4,1,553.56
7,1,0,545.13
7,4,2,574.87
7,3,4,550.53
7,4,0,547.62
7,3,0,540.41
7,3,1,532.27
7,3,2,543.62
7,4,3,549.54
7,0,2,536.59
7,0,1,548.65
7,0,3,558.91
7,0,4,549.52
8,3,0,554.97
8,3,1,534.55
8,3,4,534.84
8,3,2,530.71
8,1,0,554.15
8,1,4,539.52
8,1,3,542.52
8,4,3,526.76
8,1,2,531.78
8,4,1,525.58
8,0,3,538.22
8,4,0,547.48
8,0,4,526.01
8,0,2,541.54
8,0,1,525.99
8,4,2,548.89
8,2,3,535.22
8,2,0,543.0
8,2,1,527.09
8,2,4,539.72
9,3,4,537.63
9,2,1,541.52
9,2,3,562.64
9,2,4,550.23
9,1,3,554.11
9,1,2,544.5
9,1,4,549.07
9,1,0,560.42
9,3,1,536.55
9,2,0,537.37
9,3,2,563.14
9,4,0,547.73
9,4,3,549.16
9,4,1,549.84
9,4,2,542.92
9,0,1,553.25
9,0,4,555.12
9,0,2,538.12
9,0,3,546.77
9,3,0,548.46
10,1,0,571.06
10,4,1,594.03
10,4,3,562.28
10,4,2,577.62
10,2,1,557.22
10,2,0,570.64
10,2,4,571.49
10,2,3,564.7
10,1,2,576.87
10,4,0,563.96
10,1,3,594.82
10,0,1,574.61
10,0,2,597.8
10,0,3,565.83
10,0,4,554.85
10,1,4,565.6800000000001
10,3,0,588.8199999999999
10,3,4,568.9300000000001
10,3,1,568.03
10,3,2,569.71
11,0,2,596.21
11,0,3,592.36
11,0,4,593.5
11,3,1,575.01
11,4,2,602.97
11,4,1,604.66
11,4,3,584.01
11,0,1,578.62
11,3,0,589.38
11,4,0,610.25
11,3,2,598.99
11,2,3,576.29
11,2,4,575.98
11,2,0,606.1700000000001
11,2,1,594.62
11,3,4,594.25
11,1,2,611.96
11,1,0,614.59
11,1,4,603.73
11,1,3,601.4300000000001
12,1,2,583.1
12,0,1,614.8
12,0,3,606.9300000000001
12,0,4,612.62
12,0,2,600.31
12,2,4,619.4300000000001
12,2,3,594.89
12,2,0,581.9
12,2,1,600.68
12,1,4,619.67
12,1,3,601.53
12,1,0,596.69
12,4,0,592.59
12,4,3,583.23
12,4,1,615.8
12,4,2,588.61
12,3,2,608.09
12,3,1,582.64
12,3,4,593.42
12,3,0,591.78
13,4,1,539.83
13,4,2,569.25
13,4,3,537.15
13,4,0,584.28
13,1,4,559.44
13,1,2,567.37
13,1,0,569.44
13,2,0,564.24
13,2,4,560.47
13,1,3,590.17
13,2,1,554.26
13,2,3,570.85
13,0,3,585.11
13,0,4,572.06
13,0,2,565.99
13,0,1,574.08
13,3,0,565.4300000000001
13,3,1,533.82
13,3,2,582.39
13,3,4,557.41
14,3,0,481.35
14,3,1,515.67
14,3,4,486.6
14,3,2,488.98
14,0,1,514.22
14,0,2,503.52
14,0,4,501.28999999999996
14,4,0,504.31
14,0,3,489.40000000000003
14,4,3,509.7
14,4,2,530.72
14,4,1,525.0699999999999
14,1,2,501.18
14,1,3,497.11
14,1,0,517.27
14,1,4,476.15
14,2,0,532.56
14,2,1,500.08
14,2,4,506.09000000000003
14,2,3,501.43
15,2,1,420.27
15,0,3,414.75
15,0,4,421.19
15,0,1,404.27
15,0,2,425.89
15,4,2,416.27
15,4,1,416.5
15,4,3,416.16
15,4,0,410.6
15,2,4,423.07
15,2,0,416.56
15,2,3,445.59000000000003
15,1,0,420.18
15,1,3,417.34000000000003
15,1,4,430.42
15,1,2,421.61
15,3,4,418.14
15,3,1,439.1
15,3,0,415.2
15,3,2,448.33000000000004
16,0,2,341.68
16,1,0,337.71999999999997
16,1,3,340.28
16,1,4,337.92
16,3,0,342.96
16,3,1,345.37
16,3,4,322.93
16,3,2,327.91999999999996
16,0,1,342.57
16,1,2,338.67
16,0,4,329.51
16,2,0,346.95
16,2,1,329.69
16,2,3,369.78999999999996
16,2,4,345.15999999999997
16,0,3,354.26
16,4,2,339.86
16,4,3,330.26
16,4,1,348.06
16,4,0,357.99
17,1,2,269.63
17,1,3,283.52
17,1,0,261.89
17,1,4,269.97
17,4,0,268.25
17,2,0,267.16
17,2,1,299.65
17,2,4,263.05
17,2,3,273.61
17,4,3,295.15
17,4,2,302.29
17,4,1,278.33
17,3,4,291.8
17,3,2,269.65999999999997
17,3,0,278.83
17,3,1,267.33
17,0,2,294.6
17,0,4,290.3
17,0,1,268.03999999999996
17,0,3,254.05
18,0,2,255.14
18,4,2,226.47
18,4,1,250.29
18,4,0,253.14
18,1,3,258.61
18,1,4,262.79
18,1,0,245.5
18,1,2,228.78
18,0,1,266.02
18,4,3,251.71
18,0,3,237.52
18,3,0,258.61
18,3,2,239.89
18,3,1,271.71
18,3,4,270.09
18,0,4,272.14
18,2,4,244.24
18,2,3,272.78
18,2,0,283.66
18,2,1,239.99
19,0,1,272.21
19,0,2,270.48
19,0,3,286.36
19,0,4,269.27
19,3,2,253.43
19,3,1,276.96000000000004
19,3,4,295.92
19,1,4,266.5
19,3,0,248.53
19,1,3,285.55
19,1,2,274.64
19,1,0,293.4
19,4,0,261.72
19,4,1,262.84
19,4,2,288.28
19,4,3,271.39
19,2,4,257.33
19,2,1,249.07999999999998
19,2,3,250.92000000000002
19,2,0,290.08
20,1,2,330.31
20,0,4,323.43
20,0,3,322.27
20,0,2,346.41999999999996
20,3,2,343.02
20,3,1,336.96
20,3,4,338.91
20,3,0,338.65999999999997
20,1,4,341.28
20,0,1,335.57
20,1,3,311.98
20,4,1,335.55
20,4,2,345.82
20,4,3,340.34999999999997
20,4,0,335.28
20,2,3,332.83
20,2,0,330.28
20,2,4,330.65
20,2,1,332.42
20,1,0,339.83
21,0,3,406.28
21,1,0,407.68
21,1,2,401.23
21,1,3,389.03000000000003
21,1,4,406.53
21,0,4,395.0
21,0,2,399.34
21,0,1,417.40999999999997
21,3,2,389.24
21,3,4,389.46000000000004
21,3,1,412.36
21,4,0,411.4
21,4,1,381.22
21,4,3,419.57
21,4,2,425.23
21,2,3,373.65
21,2,0,403.41
21,2,4,416.89
21,2,1,401.28
21,3,0,404.9
22,3,1,468.56
22,0,3,468.26
22,0,4,488.89
22,0,2,470.45
22,1,2,468.52000000000004
22,1,3,483.2
22,1,4,510.87
22,1,0,477.09000000000003
22,3,0,466.51
22,0,1,493.16999999999996
22,3,2,478.96000000000004
22,4,3,488.05
22,4,2,484.16
22,4,1,487.09000000000003
22,4,0,481.69
22,2,4,501.06
22,2,3,510.13
22,2,1,473.26
22,2,0,477.94
22,3,4,481.0
23,2,4,533.93
23,4,2,544.09
23,2,3,541.3199999999999
23,2,1,520.13
23,2,0,549.04
23,0,1,528.75
23,0,2,549.87
23,0,4,537.81
23,0,3,536.51
23,4,0,530.22
23,4,3,503.34
23,1,3,527.3199999999999
23,1,0,541.62
23,1,2,557.78
23,1,4,546.67
23,3,1,560.68
23,3,4,534.46
23,3,0,532.85
23,3,2,513.29
23,4,1,541.79
24,0,2,572.3199999999999
24,0,1,536.13
24,0,4,550.08
24,1,2,556.65
24,4,0,565.06
24,4,1,565.64
24,4,2,561.86
24,0,3,552.52
24,1,3,564.84
24,4,3,575.39
24,1,4,554.41
24,2,4,541.03
24,2,1,559.29
24,2,0,543.99
24,2,3,561.04
24,1,0,521.15
24,3,2,561.85
24,3,0,572.52
24,3,4,546.18
24,3,1,550.76
25,2,0,568.35
25,2,4,552.95
25,2,3,544.13
25,2,1,519.02
25,4,2,557.97
25,3,4,560.59
25,3,2,567.51
25,3,0,571.81
25,3,1,545.1
25,4,3,561.62
25,4,1,541.06
25,4,0,557.25
25,0,3,562.03
25,0,4,558.31
25,0,2,564.06
25,0,1,536.9
25,1,4,563.87
25,1,3,552.62
25,1,0,549.66
25,1,2,559.88
26,0,2,527.45
26,0,1,513.0
26,0,4,555.83
26,0,3,542.4
26,3,2,525.58
26,3,4,549.01
26,3,1,508.06
26,3,0,520.69
26,1,3,524.92
26,1,2,550.4
26,1,0,534.35
26,4,3,520.48
26,2,1,522.88
26,2,0,520.63
26,2,4,515.34
26,1,4,523.4
26,4,0,553.01
26,4,1,516.09
26,4,2,552.67
26,2,3,517.3299999999999
27,4,3,506.07
27,3,0,511.79
27,3,4,529.01
27,3,2,488.44
27,3,1,503.90999999999997
27,0,4,507.58000000000004
27,0,3,537.91
27,0,1,518.59
27,0,2,520.15
27,4,1,503.45000000000005
27,4,2,483.53999999999996
27,4,0,510.35
27,2,3,538.6800000000001
27,2,1,517.34
27,2,0,515.11
27,2,4,511.73
27,1,0,496.22
27,1,4,519.04
27,1,3,503.51
27,1,2,509.86
28,3,0,529.33
28,3,4,493.06
28,3,2,518.9
28,3,1,520.03
28,4,3,496.03
28,4,0,500.68
28,4,2,482.52
28,2,3,507.75
28,2,4,506.48
28,4,1,506.39
28,2,1,517.03
28,2,0,524.69
28,1,2,507.01
28,1,0,509.81
28,1,3,510.05
28,1,4,538.69
28,0,1,523.15
28,0,3,522.1700000000001
28,0,4,502.15
28,0,2,509.48
29,2,3,543.88
29,2,4,536.19
29,2,0,550.65
29,2,1,530.95
29,3,0,536.64
29,3,4,532.0
29,3,2,526.49
29,4,3,561.59
29,3,1,539.24
29,4,0,538.45
29,4,2,570.86
29,4,1,535.64
29,1,3,524.62
29,1,4,536.03
29,1,0,541.45
29,1,2,540.35
29,0,2,533.16
29,0,1,532.52
29,0,4,559.14
29,0,3,527.64
30,1,3,2336.88
30,3,0,2336.88
30,3,4,2336.88
30,3,1,2336.88
30,3,2,2336.88
30,2,0,573.52
30,2,4,599.62
30,2,1,605.74
30,2,3,2336.88
30,1,4,583.21
30,1,0,586.34
30,1,2,592.39
30,0,3,2336.88
30,0,2,597.85
30,0,1,602.1899999999999
30,0,4,564.53
30,4,0,574.96
30,4,3,2336.88
30,4,2,592.64
30,4,1,591.03
31,4,0,639.3199999999999
31,0,2,679.98
31,0,1,634.82
31,0,3,2480.01
31,3,2,2480.01
31,3,4,2480.01
31,3,0,2480.01
31,3,1,2480.01
31,4,2,651.45
31,0,4,666.88
31,4,3,2480.01
31,2,0,666.34
31,2,1,648.69
31,2,4,682.46
31,2,3,2480.01
31,4,1,656.74
31,1,4,648.91
31,1,3,2480.01
31,1,0,656.87
31,1,2,633.39
32,3,2,2649.26
32,3,1,2649.26
32,3,4,2649.26
32,3,0,2649.26
32,2,0,720.92
32,4,0,702.98
32,4,3,2649.26
32,4,2,688.16
32,4,1,694.14
32,2,4,707.78
32,2,3,2649.26
32,2,1,687.32
32,0,4,672.5799999999999
32,0,2,696.55
32,0,3,2649.26
32,0,1,691.05
32,1,0,712.89
32,1,4,679.9
32,1,2,700.12
32,1,3,2649.26
33,4,0,738.79
33,0,4,708.78
33,0,1,742.4200000000001
33,0,2,739.35
33,2,0,736.36
33,2,1,720.48
33,2,3,2623.45
33,2,4,715.24
33,4,1,744.02
33,0,3,2623.45
33,4,3,2623.45
33,3,4,2623.45
33,3,2,2623.45
33,3,0,2623.45
33,3,1,2623.45
33,4,2,721.29
33,1,2,711.99
33,1,0,713.79
33,1,4,722.24
33,1,3,2623.45
34,2,0,712.9200000000001
34,2,1,701.85
34,2,4,694.28
34,2,3,2436.33
34,1,0,713.78
34,1,4,742.34
34,1,3,2436.33
34,4,1,713.82
34,1,2,698.14
34,4,0,710.25
34,4,3,2436.33
34,4,2,716.12
34,3,4,2436.33
34,3,0,2436.33
34,3,2,2436.33
34,3,1,2436.33
34,0,1,710.53
34,0,4,712.24
34,0,2,704.02
34,0,3,2436.33
35,3,4,2332.4
35,0,2,643.66
35,0,4,654.62
35,0,1,634.79
35,4,1,660.97
35,4,0,637.9300000000001
