t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,stiffness_k,partial_corr
0,2024-01-01 10:00:00,0,00_Motor_Cortex,0,00_Motor_Cortex,0.0,0.0
0,2024-01-01 10:00:00,0,00_Motor_Cortex,1,01_Parietal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,0,00_Motor_Cortex,2,02_Prefrontal_Cortex,0.0,0.0
0,2024-01-01 10:00:00,0,00_Motor_Cortex,3,03_Temporal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,0,00_Motor_Cortex,4,04_Visual_Cortex,0.0,0.0
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,0,00_Motor_Cortex,0.0,0.0
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,1,01_Parietal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,2,02_Prefrontal_Cortex,0.0,0.0
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,3,03_Temporal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,4,04_Visual_Cortex,0.0,0.0
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,0,00_Motor_Cortex,0.0,0.0
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,1,01_Parietal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,2,02_Prefrontal_Cortex,0.0,0.0
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,3,03_Temporal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,4,04_Visual_Cortex,0.0,0.0
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,0,00_Motor_Cortex,0.0,0.0
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,1,01_Parietal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,2,02_Prefrontal_Cortex,0.0,0.0
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,3,03_Temporal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,4,04_Visual_Cortex,0.0,0.0
0,2024-01-01 10:00:00,4,04_Visual_Cortex,0,00_Motor_Cortex,0.0,0.0
0,2024-01-01 10:00:00,4,04_Visual_Cortex,1,01_Parietal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,4,04_Visual_Cortex,2,02_Prefrontal_Cortex,0.0,0.0
0,2024-01-01 10:00:00,4,04_Visual_Cortex,3,03_Temporal_Lobe,0.0,0.0
0,2024-01-01 10:00:00,4,04_Visual_Cortex,4,04_Visual_Cortex,0.0,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,0,00_Motor_Cortex,0.0,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,1,01_Parietal_Lobe,0.0,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,2,02_Prefrontal_Cortex,0.0,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,3,03_Temporal_Lobe,0.0,0.0
1,2024-01-01 10:00:10,0,00_Motor_Cortex,4,04_Visual_Cortex,0.0,0.0
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,0,00_Motor_Cortex,0.0,0.0
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,1,01_Parietal_Lobe,0.0,0.0
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,2,02_Prefrontal_Cortex,0.0,0.0
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,3,03_Temporal_Lobe,0.0,0.0
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,4,04_Visual_Cortex,0.0,0.0
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,0,00_Motor_Cortex,0.0,0.0
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,1,01_Parietal_Lobe,0.0,0.0
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,2,02_Prefrontal_Cortex,0.0,0.0
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,3,03_Temporal_Lobe,0.0,0.0
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,4,04_Visual_Cortex,0.0,0.0
