t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2024-01-01 10:00:00,500000.0,9.9983,0.0,-9.98,9.98,0.0,500000.0
1,2024-01-01 10:00:10,500000.0,9.9992,85.28,64.63,-64.63,0.0,499147.2669
2,2024-01-01 10:00:20,500000.0,9.9994,88.2122,-6.05,6.05,0.0,499117.926
3,2024-01-01 10:00:30,500000.0,9.9992,150.964,37.44,-37.44,0.0,498490.475
4,2024-01-01 10:00:40,500000.0,9.9992,177.2495,35.98,-35.98,0.0,498227.645
5,2024-01-01 10:00:50,500000.0,9.9992,179.5703,-17.84,17.84,0.0,498204.4406
6,2024-01-01 10:01:00,500000.0,9.9991,206.3457,-36.84,36.84,0.0,497936.7351
7,2024-01-01 10:01:10,500000.0,9.999,229.5736,-62.19,62.19,0.0,497704.4929
8,2024-01-01 10:01:20,500000.0,9.9991,238.1551,12.35,-12.35,0.0,497618.6639
9,2024-01-01 10:01:30,500000.0,9.9993,247.4174,-26.9,26.9,0.0,497526.0005
10,2024-01-01 10:01:40,500000.0,9.9986,263.2357,7.86,-7.86,0.0,497368.0107
11,2024-01-01 10:01:50,500000.0,9.9991,300.276,3.54,-3.54,0.0,496997.4983
12,2024-01-01 10:02:00,500000.0,9.9987,310.0122,-10.65,10.65,0.0,496900.2663
13,2024-01-01 10:02:10,500000.0,9.9979,334.6027,-44.23,44.23,0.0,496654.6724
14,2024-01-01 10:02:20,500000.0,9.9978,350.0931,-25.04,25.04,0.0,496499.8262
15,2024-01-01 10:02:30,500000.0,9.9983,355.9248,26.93,-26.93,0.0,496441.3418
16,2024-01-01 10:02:40,500000.0,9.9971,364.1865,-55.41,55.41,0.0,496359.1994
17,2024-01-01 10:02:50,500000.0,9.9925,371.7588,1.29,-1.29,0.0,496285.213
18,2024-01-01 10:03:00,500000.0,9.9892,366.9082,19.68,-19.68,0.0,496334.8891
19,2024-01-01 10:03:10,500000.0,9.9911,365.8317,-19.38,19.38,0.0,496344.9555
20,2024-01-01 10:03:20,500000.0,9.9983,362.9713,50.12,-50.12,0.0,496370.9023
21,2024-01-01 10:03:30,500000.0,9.9966,361.7794,7.43,-7.43,0.0,496383.4358
22,2024-01-01 10:03:40,500000.0,9.998,359.2038,-54.61,54.61,0.0,496408.6808
23,2024-01-01 10:03:50,500000.0,9.9979,355.573,32.79,-32.79,0.0,496445.021
24,2024-01-01 10:04:00,500000.0,9.9984,356.0563,-22.48,22.48,0.0,496439.9896
25,2024-01-01 10:04:10,500000.0,9.9985,361.8999,24.61,-24.61,0.0,496381.5488
26,2024-01-01 10:04:20,500000.0,9.9977,376.7399,-1.79,1.79,0.0,496233.4643
27,2024-01-01 10:04:30,500000.0,9.9983,384.5777,-53.02,53.02,0.0,496154.8799
28,2024-01-01 10:04:40,500000.0,9.9985,388.2123,25.32,-25.32,0.0,496118.4732
29,2024-01-01 10:04:50,500000.0,9.9988,391.269,-23.36,23.36,0.0,496087.7867
30,2024-01-01 10:05:00,500000.0,8.6723,392.9389,0.0,0.0,0.0,496592.3203
31,2024-01-01 10:05:10,500000.0,8.7645,394.548,0.0,0.0,0.0,496541.9875
32,2024-01-01 10:05:20,500000.0,8.7538,393.5632,0.0,0.0,0.0,496554.816
33,2024-01-01 10:05:30,500000.0,8.8511,390.7553,0.0,0.0,0.0,496541.3706
34,2024-01-01 10:05:40,500000.0,8.946,388.7529,-0.0,0.0,0.0,496522.1984
35,2024-01-01 10:05:50,500000.0,8.859,386.0927,-0.0,0.0,0.0,496579.5895
36,2024-01-01 10:06:00,500000.0,8.487,383.7849,-0.0,0.0,0.0,496742.8112
37,2024-01-01 10:06:10,500000.0,7.9381,382.217,-0.0,0.0,0.0,496965.9298
38,2024-01-01 10:06:20,500000.0,7.4331,381.1616,0.0,0.0,0.0,497166.7941
39,2024-01-01 10:06:30,500000.0,7.3591,381.8337,-0.0,0.0,0.0,497190.0363
40,2024-01-01 10:06:40,500000.0,7.3885,382.4601,0.0,0.0,0.0,497174.1859
41,2024-01-01 10:06:50,500000.0,7.4938,384.665,0.0,0.0,0.0,497117.4096
42,2024-01-01 10:07:00,500000.0,7.5253,386.722,0.0,0.0,0.0,497089.804
43,2024-01-01 10:07:10,500000.0,7.7125,388.5209,0.0,0.0,0.0,497003.5282
44,2024-01-01 10:07:20,500000.0,7.9608,390.3692,0.0,0.0,0.0,496892.3415
45,2024-01-01 10:07:30,500000.0,8.0836,393.3892,-0.0,0.0,0.0,496819.9963
46,2024-01-01 10:07:40,500000.0,7.8823,395.9635,-0.0,0.0,0.0,496878.8942
47,2024-01-01 10:07:50,500000.0,7.499,398.1869,0.0,0.0,0.0,497013.981
48,2024-01-01 10:08:00,500000.0,7.311,398.0044,0.0,0.0,0.0,497090.2022
49,2024-01-01 10:08:10,500000.0,7.4848,398.0588,-0.0,0.0,0.0,497020.6182
50,2024-01-01 10:08:20,500000.0,7.9032,395.8859,0.0,0.0,0.0,496871.2265
51,2024-01-01 10:08:30,500000.0,8.2732,392.8189,-0.0,0.0,0.0,496750.1426
52,2024-01-01 10:08:40,500000.0,8.4422,390.5016,0.0,0.0,0.0,496703.3025
53,2024-01-01 10:08:50,500000.0,8.6316,389.963,-0.0,0.0,0.0,496633.993
54,2024-01-01 10:09:00,500000.0,8.8769,390.7961,0.0,0.0,0.0,496530.9365
55,2024-01-01 10:09:10,500000.0,9.0574,393.3205,-0.0,0.0,0.0,496437.5381
56,2024-01-01 10:09:20,500000.0,9.0068,394.1141,0.0,0.0,0.0,496450.2868
