t_idx,time_label,node_idx,node_label,account_category,ik_suggested_delta,ik_strain_energy
0,2024-01-01 10:00:00,0,00_Motor_Cortex,Unknown,167.6187,127535.2844
0,2024-01-01 10:00:00,1,01_Parietal_Lobe,Unknown,168.5312,127535.2844
0,2024-01-01 10:00:00,2,02_Prefrontal_Cortex,Unknown,166.3445,127535.2844
0,2024-01-01 10:00:00,3,03_Temporal_Lobe,Unknown,378.2877,127535.2844
0,2024-01-01 10:00:00,4,04_Visual_Cortex,Unknown,166.7324,127535.2844
1,2024-01-01 10:00:10,0,00_Motor_Cortex,Unknown,165.8217,123757.3585
1,2024-01-01 10:00:10,1,01_Parietal_Lobe,Unknown,166.3936,123757.3585
1,2024-01-01 10:00:10,2,02_Prefrontal_Cortex,Unknown,166.1336,123757.3585
1,2024-01-01 10:00:10,3,03_Temporal_Lobe,Unknown,370.0082,123757.3585
1,2024-01-01 10:00:10,4,04_Visual_Cortex,Unknown,166.8072,123757.3585
2,2024-01-01 10:00:20,0,00_Motor_Cortex,Unknown,502.2451,69.4422
2,2024-01-01 10:00:20,1,01_Parietal_Lobe,Unknown,-141.2874,69.4422
2,2024-01-01 10:00:20,2,02_Prefrontal_Cortex,Unknown,-732.6117,69.4422
2,2024-01-01 10:00:20,3,03_Temporal_Lobe,Unknown,1210.8489,69.4422
2,2024-01-01 10:00:20,4,04_Visual_Cortex,Unknown,-839.6574,69.4422
3,2024-01-01 10:00:30,0,00_Motor_Cortex,Unknown,59.4436,140.0751
3,2024-01-01 10:00:30,1,01_Parietal_Lobe,Unknown,231.3044,140.0751
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,Unknown,-646.1668,140.0751
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,Unknown,1216.2595,140.0751
3,2024-01-01 10:00:30,4,04_Visual_Cortex,Unknown,-860.4642,140.0751
4,2024-01-01 10:00:40,0,00_Motor_Cortex,Unknown,61.939,199.5145
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,Unknown,239.0567,199.5145
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,Unknown,-704.367,199.5145
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,Unknown,1215.4167,199.5145
4,2024-01-01 10:00:40,4,04_Visual_Cortex,Unknown,-811.8056,199.5145
5,2024-01-01 10:00:50,0,00_Motor_Cortex,Unknown,-301.2361,1871.0204
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,Unknown,-18.1148,1871.0204
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,Unknown,-154.6655,1871.0204
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,Unknown,1213.382,1871.0204
5,2024-01-01 10:00:50,4,04_Visual_Cortex,Unknown,-739.4133,1871.0204
6,2024-01-01 10:01:00,0,00_Motor_Cortex,Unknown,-49.4377,462.8613
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,Unknown,-355.6752,462.8613
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,Unknown,-416.5146,462.8613
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,Unknown,1212.8727,462.8613
6,2024-01-01 10:01:00,4,04_Visual_Cortex,Unknown,-391.2619,462.8613
7,2024-01-01 10:01:10,0,00_Motor_Cortex,Unknown,-143.6329,474.7356
