t_idx,time_label,spectral_radius,is_stable
0,2024-01-01 10:00:00,1.0,0
1,2024-01-01 10:00:10,1.0,1
2,2024-01-01 10:00:20,1.0,1
3,2024-01-01 10:00:30,1.0,1
4,2024-01-01 10:00:40,1.0,1
5,2024-01-01 10:00:50,1.0,0
6,2024-01-01 10:01:00,1.0,0
7,2024-01-01 10:01:10,1.0,1
8,2024-01-01 10:01:20,1.0,0
9,2024-01-01 10:01:30,1.0,1
10,2024-01-01 10:01:40,1.0,0
11,2024-01-01 10:01:50,1.0,0
12,2024-01-01 10:02:00,1.0,0
13,2024-01-01 10:02:10,1.0,1
14,2024-01-01 10:02:20,1.0,1
15,2024-01-01 10:02:30,1.0,0
16,2024-01-01 10:02:40,1.0,0
17,2024-01-01 10:02:50,1.0,0
18,2024-01-01 10:03:00,1.0,0
19,2024-01-01 10:03:10,1.0,1
20,2024-01-01 10:03:20,1.0,1
21,2024-01-01 10:03:30,1.0,1
22,2024-01-01 10:03:40,1.0,1
23,2024-01-01 10:03:50,1.0,1
24,2024-01-01 10:04:00,1.0,1
25,2024-01-01 10:04:10,1.0,0
26,2024-01-01 10:04:20,1.0,1
27,2024-01-01 10:04:30,1.0,0
28,2024-01-01 10:04:40,1.0,0
29,2024-01-01 10:04:50,1.0,1
30,2024-01-01 10:05:00,1.0,0
31,2024-01-01 10:05:10,1.0,1
32,2024-01-01 10:05:20,1.0,1
33,2024-01-01 10:05:30,1.0,0
34,2024-01-01 10:05:40,1.0,1
35,2024-01-01 10:05:50,1.0,1
36,2024-01-01 10:06:00,1.0,0
37,2024-01-01 10:06:10,1.0,1
38,2024-01-01 10:06:20,1.0,1
39,2024-01-01 10:06:30,1.0,1
40,2024-01-01 10:06:40,1.0,1
41,2024-01-01 10:06:50,1.0,1
42,2024-01-01 10:07:00,1.0,0
43,2024-01-01 10:07:10,1.0,0
44,2024-01-01 10:07:20,1.0,1
45,2024-01-01 10:07:30,1.0,0
46,2024-01-01 10:07:40,1.0,1
47,2024-01-01 10:07:50,1.0,0
48,2024-01-01 10:08:00,1.0,0
49,2024-01-01 10:08:10,1.0,1
50,2024-01-01 10:08:20,1.0,1
51,2024-01-01 10:08:30,1.0,0
52,2024-01-01 10:08:40,1.0,0
53,2024-01-01 10:08:50,1.0,0
54,2024-01-01 10:09:00,1.0,1
55,2024-01-01 10:09:10,1.0,1
56,2024-01-01 10:09:20,1.0,0
57,2024-01-01 10:09:30,1.0,0
58,2024-01-01 10:09:40,1.0,0
59,2024-01-01 10:09:50,1.0,1
