Trans_Date,Src,Tgt,Amount
2024-01-01,PFC,Motor,102.79
2024-01-01,PFC,Visual,90.5
2024-01-01,PFC,Parietal,95.5
2024-01-01,PFC,Temporal,94.46
2024-01-01,Motor,PFC,104.73
2024-01-01,Motor,Visual,103.53
2024-01-01,Motor,Parietal,107.84
2024-01-01,Motor,Temporal,91.74
2024-01-01,Visual,PFC,98.44
2024-01-01,Visual,Motor,90.6
2024-01-01,Visual,Parietal,94.37
2024-01-01,Visual,Temporal,100.11
2024-01-01,Parietal,PFC,90.53
2024-01-01,Parietal,Motor,93.98
2024-01-01,Parietal,Visual,103.0
2024-01-01,Parietal,Temporal,100.9
2024-01-01,Temporal,PFC,94.41
2024-01-01,Temporal,Motor,101.79
2024-01-01,Temporal,Visual,106.19
2024-01-01,Temporal,Parietal,90.13
2024-01-02,PFC,Motor,110.01
2024-01-02,PFC,Visual,107.86
2024-01-02,PFC,Parietal,100.7
2024-01-02,PFC,Temporal,97.0
2024-01-02,Motor,PFC,113.04
2024-01-02,Motor,Visual,100.63
2024-01-02,Motor,Parietal,95.75
2024-01-02,Motor,Temporal,95.83
2024-01-02,Visual,PFC,110.84
2024-01-02,Visual,Motor,105.97
2024-01-02,Visual,Parietal,110.04
2024-01-02,Visual,Temporal,108.49
2024-01-02,Parietal,PFC,104.62
2024-01-02,Parietal,Motor,113.36
2024-01-02,Parietal,Visual,101.46
2024-01-02,Parietal,Temporal,104.93
2024-01-02,Temporal,PFC,110.48
2024-01-02,Temporal,Motor,106.26
2024-01-02,Temporal,Visual,111.13
2024-01-02,Temporal,Parietal,105.44
2024-01-03,PFC,Motor,111.84
2024-01-03,PFC,Visual,98.67
2024-01-03,PFC,Parietal,102.31
2024-01-03,PFC,Temporal,103.54
2024-01-03,Motor,PFC,99.34
2024-01-03,Motor,Visual,102.4
2024-01-03,Motor,Parietal,99.77
2024-01-03,Motor,Temporal,103.31
2024-01-03,Visual,PFC,110.46
2024-01-03,Visual,Motor,105.05
2024-01-03,Visual,Parietal,105.15
2024-01-03,Visual,Temporal,101.94
2024-01-03,Parietal,PFC,103.09
2024-01-03,Parietal,Motor,116.48
2024-01-03,Parietal,Visual,110.71
2024-01-03,Parietal,Temporal,109.93
2024-01-03,Temporal,PFC,101.17
2024-01-03,Temporal,Motor,112.33
2024-01-03,Temporal,Visual,101.02
2024-01-03,Temporal,Parietal,105.34
2024-01-04,PFC,Motor,121.32
2024-01-04,PFC,Visual,114.33
2024-01-04,PFC,Parietal,112.67
2024-01-04,PFC,Temporal,115.22
2024-01-04,Motor,PFC,118.39
2024-01-04,Motor,Visual,117.05
2024-01-04,Motor,Parietal,106.11
2024-01-04,Motor,Temporal,102.17
2024-01-04,Visual,PFC,107.84
2024-01-04,Visual,Motor,106.88
2024-01-04,Visual,Parietal,105.75
2024-01-04,Visual,Temporal,120.39
2024-01-04,Parietal,PFC,119.06
2024-01-04,Parietal,Motor,107.82
2024-01-04,Parietal,Visual,114.64
2024-01-04,Parietal,Temporal,109.44
2024-01-04,Temporal,PFC,119.82
2024-01-04,Temporal,Motor,110.71
2024-01-04,Temporal,Visual,106.83
2024-01-04,Temporal,Parietal,106.46
2024-01-05,PFC,Motor,116.42
2024-01-05,PFC,Visual,110.45
2024-01-05,PFC,Parietal,116.89
2024-01-05,PFC,Temporal,123.15
2024-01-05,Motor,PFC,113.18
2024-01-05,Motor,Visual,109.58
2024-01-05,Motor,Parietal,125.15
2024-01-05,Motor,Temporal,115.39
2024-01-05,Visual,PFC,107.01
2024-01-05,Visual,Motor,106.14
2024-01-05,Visual,Parietal,107.39
2024-01-05,Visual,Temporal,117.74
2024-01-05,Parietal,PFC,121.04
2024-01-05,Parietal,Motor,113.64
2024-01-05,Parietal,Visual,106.47
2024-01-05,Parietal,Temporal,112.83
2024-01-05,Temporal,PFC,125.12
2024-01-05,Temporal,Motor,115.78
2024-01-05,Temporal,Visual,124.62
2024-01-05,Temporal,Parietal,122.41
2024-01-06,PFC,Motor,108.94
2024-01-06,PFC,Visual,123.13
2024-01-06,PFC,Parietal,122.35
2024-01-06,PFC,Temporal,119.45
2024-01-06,Motor,PFC,114.05
2024-01-06,Motor,Visual,121.53
2024-01-06,Motor,Parietal,110.95
2024-01-06,Motor,Temporal,117.41
2024-01-06,Visual,PFC,117.79
2024-01-06,Visual,Motor,127.79
2024-01-06,Visual,Parietal,126.23
2024-01-06,Visual,Temporal,113.98
2024-01-06,Parietal,PFC,118.73
2024-01-06,Parietal,Motor,112.29
2024-01-06,Parietal,Visual,126.97
2024-01-06,Parietal,Temporal,126.13
