t_idx,component_idx,singular_value,explained_ratio,effective_rank
0,0,391.285957,0.499159,5
0,1,106.355151,0.135676,5
0,2,103.557929,0.132108,5
0,3,94.623942,0.120711,5
0,4,88.067409,0.112347,5
1,0,423.189871,0.500128,5
1,1,114.106419,0.134852,5
1,2,109.664819,0.129602,5
1,3,103.001568,0.121728,5
1,4,96.200362,0.113690,5
2,0,421.210308,0.500176,5
2,1,110.739347,0.131500,5
2,2,108.306001,0.128611,5
2,3,102.120711,0.121266,5
2,4,99.747039,0.118447,5
3,0,448.779717,0.499523,5
3,1,125.360506,0.139535,5
3,2,111.083936,0.123644,5
3,3,107.229197,0.119354,5
3,4,105.963119,0.117944,5
4,0,462.433656,0.500000,5
4,1,127.581953,0.137946,5
4,2,120.697466,0.130503,5
4,3,113.150651,0.122343,5
4,4,101.003089,0.109208,5
5,0,475.465830,0.499700,5
5,1,132.044670,0.138775,5
5,2,120.000924,0.126117,5
5,3,116.078953,0.121995,5
5,4,107.912407,0.113413,5
6,0,488.901365,0.499715,5
6,1,133.465867,0.136418,5
6,2,128.670474,0.131517,5
6,3,117.254510,0.119848,5
6,4,110.067326,0.112502,5
7,0,496.523786,0.499886,5
7,1,132.576098,0.133474,5
7,2,125.764312,0.126616,5
7,3,121.806077,0.122631,5
7,4,116.603381,0.117393,5
8,0,509.148039,0.499377,5
8,1,139.214010,0.136542,5
8,2,128.314376,0.125852,5
8,3,125.850021,0.123435,5
8,4,117.039685,0.114794,5
9,0,525.377038,0.499862,5
9,1,144.440274,0.137425,5
9,2,131.799911,0.125399,5
9,3,128.605641,0.122360,5
9,4,120.822292,0.114954,5
10,0,536.568336,0.499566,5
10,1,140.244860,0.130573,5
10,2,136.101458,0.126716,5
10,3,134.268265,0.125009,5
10,4,126.885732,0.118136,5
11,0,541.180111,0.499622,5
11,1,143.798847,0.132756,5
11,2,141.542478,0.130673,5
11,3,130.754419,0.120713,5
11,4,125.903918,0.116235,5
12,0,547.652611,0.499923,5
12,1,147.517649,0.134661,5
12,2,139.589958,0.127424,5
12,3,132.771695,0.121200,5
12,4,127.942097,0.116792,5
13,0,555.118625,0.499572,5
13,1,152.229586,0.136997,5
13,2,139.824168,0.125833,5
13,3,136.854175,0.123160,5
13,4,127.162698,0.114438,5
14,0,553.793355,0.499513,5
14,1,148.533834,0.133975,5
14,2,143.272144,0.129229,5
14,3,134.457474,0.121279,5
14,4,128.609515,0.116004,5
15,0,564.934363,0.499997,5
15,1,156.868744,0.138837,5
15,2,142.661149,0.126263,5
15,3,134.530172,0.119066,5
15,4,130.881835,0.115837,5
16,0,572.430967,0.499995,5
16,1,156.044404,0.136298,5
16,2,146.885696,0.128299,5
16,3,139.891351,0.122189,5
16,4,129.620753,0.113218,5
17,0,562.596686,0.499459,5
17,1,150.308189,0.133440,5
17,2,144.057654,0.127891,5
17,3,139.381693,0.123740,5
17,4,130.067796,0.115471,5
18,0,561.675895,0.499652,5
18,1,149.188901,0.132715,5
18,2,142.022644,0.126340,5
18,3,139.887472,0.124440,5
18,4,131.359217,0.116854,5
19,0,556.181556,0.500082,5
19,1,144.195758,0.129651,5
19,2,139.412150,0.125350,5
19,3,137.950542,0.124036,5
19,4,134.439874,0.120880,5
20,0,550.755749,0.499789,5
20,1,149.106116,0.135308,5
20,2,142.829799,0.129612,5
20,3,131.244137,0.119099,5
20,4,128.041332,0.116192,5
21,0,548.672580,0.499761,5
21,1,144.919585,0.132001,5
21,2,141.690523,0.129059,5
21,3,135.843529,0.123734,5
21,4,126.743851,0.115445,5
22,0,556.603491,0.499925,5
22,1,146.239825,0.131348,5
22,2,140.384744,0.126090,5
22,3,136.422888,0.122531,5
22,4,133.722346,0.120106,5
23,0,536.076261,0.500048,5
23,1,145.390335,0.135619,5
23,2,135.279913,0.126188,5
23,3,129.470882,0.120770,5
23,4,125.831963,0.117375,5
24,0,527.644089,0.500066,5
24,1,140.894235,0.133530,5
24,2,134.197519,0.127184,5
24,3,129.029716,0.122286,5
24,4,123.382996,0.116934,5
25,0,515.280585,0.500034,5
25,1,138.683006,0.134580,5
25,2,131.248574,0.127365,5
25,3,126.895376,0.123141,5
25,4,118.382683,0.114880,5
26,0,518.410124,0.499773,5
26,1,138.579630,0.133598,5
26,2,131.813963,0.127075,5
26,3,130.402715,0.125715,5
26,4,118.084320,0.113839,5
27,0,513.166800,0.499854,5
27,1,145.208100,0.141441,5
27,2,127.914866,0.124596,5
27,3,125.186563,0.121939,5
27,4,115.157145,0.112170,5
28,0,508.895802,0.499744,5
28,1,135.036228,0.132608,5
28,2,129.630241,0.127299,5
28,3,124.139792,0.121907,5
28,4,120.611077,0.118442,5
29,0,492.134128,0.499403,5
29,1,134.608776,0.136597,5
29,2,127.329130,0.129210,5
29,3,119.371571,0.121135,5
29,4,112.002000,0.113656,5
30,0,484.714971,0.499981,5
30,1,128.642478,0.132694,5
30,2,121.784338,0.125620,5
30,3,118.789217,0.122530,5
30,4,115.536158,0.119175,5
31,0,464.122205,0.500043,5
31,1,127.535320,0.137406,5
31,2,114.432735,0.123289,5
31,3,113.245530,0.122010,5
31,4,108.828008,0.117251,5
32,0,468.231163,0.499873,5
32,1,128.370886,0.137046,5
32,2,120.955214,0.129129,5
32,3,114.254431,0.121975,5
32,4,104.888315,0.111976,5
33,0,466.441870,0.499355,5
33,1,125.792692,0.134669,5
33,2,118.242244,0.126586,5
33,3,115.658196,0.123819,5
33,4,107.954593,0.115572,5
34,0,455.303156,0.500186,5
34,1,119.985627,0.131814,5
34,2,116.346241,0.127816,5
34,3,112.627870,0.123731,5
34,4,106.004077,0.116454,5
35,0,444.965642,0.499777,5
35,1,121.127718,0.136048,5
35,2,119.615522,0.134350,5
35,3,106.188221,0.119269,5
35,4,98.431402,0.110556,5
36,0,446.720560,0.499771,5
36,1,120.621351,0.134946,5
36,2,117.609914,0.131577,5
36,3,107.935314,0.120753,5
36,4,100.962602,0.112953,5
37,0,443.715767,0.499754,5
37,1,115.177830,0.129724,5
37,2,112.884210,0.127141,5
37,3,110.951893,0.124964,5
37,4,105.137965,0.118416,5
38,0,437.753335,0.499753,5
38,1,120.045305,0.137047,5
38,2,113.967714,0.130109,5
38,3,105.342364,0.120262,5
38,4,98.830960,0.112829,5
39,0,442.639530,0.499519,5
39,1,118.650310,0.133897,5
39,2,110.129164,0.124281,5
39,3,107.768807,0.121617,5
39,4,106.943344,0.120686,5
40,0,427.577131,0.499543,5
40,1,116.418115,0.136013,5
40,2,110.059360,0.128584,5
40,3,105.350531,0.123082,5
40,4,96.530837,0.112778,5
41,0,435.617980,0.499644,5
41,1,119.677474,0.137267,5
41,2,114.099938,0.130870,5
41,3,103.776951,0.119030,5
41,4,98.684833,0.113189,5
42,0,435.313764,0.499595,5
42,1,125.380874,0.143895,5
42,2,111.171109,0.127587,5
42,3,103.756174,0.119077,5
42,4,95.711421,0.109845,5
43,0,428.599642,0.499974,5
43,1,117.154387,0.136664,5
43,2,109.316822,0.127521,5
43,3,102.049227,0.119043,5
43,4,100.123208,0.116797,5
44,0,425.819247,0.499363,5
44,1,116.023697,0.136062,5
44,2,107.635457,0.126225,5
44,3,103.904768,0.121850,5
44,4,99.342049,0.116499,5
45,0,439.648970,0.500032,5
45,1,117.450303,0.133581,5
45,2,112.971790,0.128488,5
45,3,108.484966,0.123385,5
45,4,100.685659,0.114514,5
46,0,439.308820,0.499702,5
46,1,119.489341,0.135916,5
46,2,113.767749,0.129408,5
46,3,104.460170,0.118821,5
46,4,102.115945,0.116154,5
47,0,448.144770,0.500228,5
47,1,122.311408,0.136526,5
47,2,113.411782,0.126592,5
47,3,108.975875,0.121641,5
47,4,103.038051,0.115013,5
48,0,443.040507,0.500168,5
48,1,122.591536,0.138399,5
48,2,115.916103,0.130863,5
48,3,103.440143,0.116778,5
48,4,100.795607,0.113793,5
49,0,446.874251,0.500357,5
49,1,120.259713,0.134653,5
49,2,112.881582,0.126391,5
49,3,109.191142,0.122259,5
49,4,103.904550,0.116340,5
50,0,446.273627,0.499347,5
50,1,120.963248,0.135349,5
50,2,114.413065,0.128020,5
50,3,109.475509,0.122495,5
50,4,102.588160,0.114789,5
51,0,440.235021,0.499890,5
51,1,121.238378,0.137667,5
51,2,116.251282,0.132004,5
51,3,107.355086,0.121902,5
51,4,95.584188,0.108537,5
52,0,462.877854,0.499655,5
52,1,126.589333,0.136647,5
52,2,121.365783,0.131009,5
52,3,110.217338,0.118974,5
52,4,105.345427,0.113715,5
53,0,463.422822,0.499272,5
53,1,122.318951,0.131781,5
53,2,120.370595,0.129682,5
53,3,113.904358,0.122716,5
53,4,108.179466,0.116548,5
54,0,462.603319,0.499594,5
54,1,122.511309,0.132307,5
54,2,119.057779,0.128578,5
54,3,114.810486,0.123991,5
54,4,106.976479,0.115530,5
55,0,474.490919,0.499908,5
55,1,127.983297,0.134839,5
55,2,118.848339,0.125215,5
55,3,116.015725,0.122230,5
55,4,111.817544,0.117807,5
56,0,474.977595,0.499887,5
56,1,129.208211,0.135984,5
56,2,122.535311,0.128962,5
56,3,115.284645,0.121331,5
56,4,108.163708,0.113836,5
57,0,471.994405,0.499934,5
57,1,125.367772,0.132789,5
57,2,120.435727,0.127565,5
57,3,118.173770,0.125169,5
57,4,108.142545,0.114544,5
58,0,468.319232,0.499727,5
58,1,125.120559,0.133512,5
58,2,119.379312,0.127385,5
58,3,114.975271,0.122686,5
58,4,109.355662,0.116690,5
59,0,481.935677,0.499131,5
59,1,130.120754,0.134763,5
59,2,127.241564,0.131782,5
59,3,114.780014,0.118875,5
59,4,111.471217,0.115449,5
60,0,476.994994,0.499910,5
60,1,128.828354,0.135017,5
60,2,120.232276,0.126008,5
60,3,116.040556,0.121615,5
60,4,112.065780,0.117449,5
61,0,483.630385,0.499851,5
61,1,128.138072,0.132436,5
61,2,123.754065,0.127905,5
61,3,121.859511,0.125947,5
61,4,110.166681,0.113862,5
62,0,480.602379,0.499927,5
62,1,133.304413,0.138664,5
62,2,121.426638,0.126309,5
62,3,115.445623,0.120088,5
62,4,110.566285,0.115012,5
63,0,468.441551,0.499699,5
63,1,126.762017,0.135221,5
63,2,117.744345,0.125601,5
63,3,115.557644,0.123269,5
63,4,108.940964,0.116210,5
64,0,475.251199,0.500201,5
64,1,128.186861,0.134916,5
64,2,120.318994,0.126635,5
64,3,118.730356,0.124963,5
64,4,107.633868,0.113284,5
65,0,467.312395,0.499698,5
65,1,126.298147,0.135051,5
65,2,120.631618,0.128992,5
65,3,112.402877,0.120193,5
65,4,108.543788,0.116066,5
66,0,460.299942,0.499841,5
66,1,127.651655,0.138617,5
66,2,116.065893,0.126036,5
66,3,110.699590,0.120209,5
66,4,106.175169,0.115296,5
